city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
玉林市,2013-01-01,53.962948,62.346947,16.218678,12.570771,0.52819735,44.93666,282.9748,41.598022,99944.445,-3.1333063,-4.3720675
玉林市,2013-01-02,64.536385,72.06445,13.575915,13.40116,0.5963896,42.710724,286.8841,58.92984,99859.8,-3.8578904,-2.781379
玉林市,2013-01-03,58.285378,64.81961,16.994984,12.792396,0.61899453,32.700962,281.65732,75.4112,100372.69,-5.4678416,-9.46098
玉林市,2013-01-04,52.691933,59.027798,13.033912,10.220626,0.56035817,34.754562,278.61877,74.49888,100199.26,-4.1783824,-7.7396193
玉林市,2013-01-05,64.712395,73.699875,11.845893,11.140689,0.66244084,34.509647,279.84882,76.01443,99876.59,-3.3510082,-5.7206664
玉林市,2013-01-06,67.55608,77.2538,13.023553,8.927451,0.66492003,46.669834,281.51978,71.39694,99958.88,-3.2440786,-6.8082337
玉林市,2013-01-07,74.71225,84.605934,12.771899,9.085625,0.68667394,50.81657,282.57867,67.80452,99847.414,-2.881548,-5.6092467
玉林市,2013-01-08,77.12847,87.263664,12.649594,9.007703,0.69990957,53.020718,284.17,64.36337,99810.266,-2.9287567,-5.843079
玉林市,2013-01-09,93.310295,108.72607,22.638048,8.5471945,0.93360955,51.765213,282.53745,60.64348,99984.77,-4.091069,-8.196029
玉林市,2013-01-10,115.0214,127.899086,22.630745,10.623234,0.9133498,50.73311,282.62717,60.28517,100010.766,-4.677132,-6.3194966
玉林市,2013-01-11,123.02725,128.22539,16.921648,11.52535,0.8842761,39.92285,282.25626,71.00731,100073.25,-3.628011,-6.639688
玉林市,2013-01-12,95.01543,103.53493,16.633913,9.816004,0.7834343,43.626625,283.65463,72.68427,99927.58,-2.2778413,-6.6893263
玉林市,2013-01-13,94.408104,105.38824,14.705273,9.965452,0.8361665,49.71361,284.90982,67.008896,99621.445,-1.4358608,-5.5905066
玉林市,2013-01-14,82.85478,92.30064,15.734641,12.691858,0.8227183,49.88993,287.24634,55.270752,99761.09,-4.7569747,-2.0409267
玉林市,2013-01-15,90.03822,102.90139,19.950108,19.927584,1.0019013,38.472126,287.57043,63.135426,99981.44,-3.6112468,-2.3338175
玉林市,2013-01-16,78.95842,87.92596,16.416899,12.970971,0.7847997,45.735214,288.27124,66.54985,100061.914,-3.2913487,-3.6455276
玉林市,2013-01-17,86.49615,99.39928,21.735878,9.78472,0.941025,43.622158,286.59753,72.53386,100404.555,-5.271775,-6.9373994
玉林市,2013-01-18,104.888336,120.15045,20.847052,10.553228,0.9433476,47.729946,284.6953,60.416412,100545.36,-5.1256466,-6.1341515
玉林市,2013-01-19,69.52443,78.47813,16.533997,13.56875,0.6462141,48.425594,287.56824,61.65333,100072.84,-4.0649405,0.72623557
