city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
珠海市,2013-01-01,51.58845,82.96775,35.51052,67.18807,1.267606,25.096626,285.75104,50.361774,101874.65,-1.0646188,-6.5255957
珠海市,2013-01-02,64.22678,99.508736,36.48747,73.25542,1.329633,37.76209,288.4875,60.385376,101853.375,-2.163055,-6.4591856
珠海市,2013-01-03,59.20928,82.8375,31.643036,53.362408,1.3042548,27.461294,286.11633,69.76361,102226.81,-2.7868228,-10.753157
珠海市,2013-01-04,40.060993,55.362526,25.381191,38.15142,1.2529695,17.11889,282.5857,73.7392,102098.266,-2.4157553,-10.20571
珠海市,2013-01-05,43.28474,60.772198,25.596317,43.308914,1.3436768,17.73042,283.29865,74.45103,101791.016,-1.2757599,-8.241433
珠海市,2013-01-06,46.597683,67.51195,30.398624,45.86146,1.2231307,18.169018,284.60727,73.23614,101847.336,-1.0295645,-8.93273
珠海市,2013-01-07,62.77068,88.09375,32.734997,57.111713,1.322912,25.69563,285.6618,72.16795,101749.79,-0.86188424,-7.608878
珠海市,2013-01-08,83.34381,110.740135,42.117714,75.99092,1.4397714,29.891973,286.98804,70.36342,101706.484,-0.98536444,-7.3309126
珠海市,2013-01-09,59.100403,78.70213,28.35699,48.90398,1.2163541,28.017756,286.0537,64.65623,101854.836,-2.5289683,-9.177859
珠海市,2013-01-10,81.20949,101.54918,32.38257,51.29104,1.2032404,36.880165,285.74872,66.987015,101916.305,-3.052929,-7.5545588
珠海市,2013-01-11,86.40698,107.864784,32.06076,68.39098,1.1875243,38.57101,288.1527,70.255615,101924.17,-2.734885,-7.6910105
珠海市,2013-01-12,86.787796,102.24138,29.708303,58.919212,1.1922393,39.244087,288.52814,67.60924,101763.21,-2.0810022,-7.3984957
珠海市,2013-01-13,66.28287,85.17941,28.402866,50.17774,1.2537916,49.33089,289.0844,67.081894,101461.73,-0.006685716,-7.0271187
珠海市,2013-01-14,55.15531,68.95396,19.106268,40.04087,1.0596597,63.810448,288.71075,63.122875,101740.74,-5.465352,-4.8521485
