city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
甘南藏族自治州,2013-01-01,3.3045013,3.9175887,0.91231596,1.0891057,0.18302272,84.11071,264.82535,27.615513,66929.94,9.49385,-1.034528
甘南藏族自治州,2013-01-02,13.879813,16.492428,4.68075,2.2864468,0.26271102,65.40718,264.66675,46.391296,67068.61,2.5379453,-0.14294918
甘南藏族自治州,2013-01-03,23.69857,27.15571,7.521379,3.5676432,0.34767067,57.040882,259.76724,76.46454,67150.61,0.19992122,0.74483746
甘南藏族自治州,2013-01-04,14.6252775,17.094646,3.6561394,2.419283,0.28015855,63.054302,264.65073,62.53102,66784.83,4.0593834,0.0072989534
甘南藏族自治州,2013-01-05,11.111601,12.79051,2.8708596,2.0429516,0.24369344,61.043636,264.2014,50.29219,66862.43,1.860394,-0.88128394
甘南藏族自治州,2013-01-06,28.257961,31.127045,6.03742,3.9422243,0.39601314,54.765854,261.1299,76.2165,66865.25,-1.1416314,-1.0969906
甘南藏族自治州,2013-01-07,14.866036,16.83846,2.5068407,2.9326234,0.28233814,63.957844,261.13113,56.93071,66940.38,1.3608737,-1.012401
甘南藏族自治州,2013-01-08,19.57441,22.549568,4.427089,4.050341,0.38245964,66.69904,258.1175,78.242805,67068.17,0.028190458,-1.324172
甘南藏族自治州,2013-01-09,5.6030283,6.5808306,1.2105267,1.6045377,0.2006146,72.79631,261.46567,41.785496,67021.5,4.040435,-0.28426936
甘南藏族自治州,2013-01-10,7.1026993,7.9738407,1.633299,1.5749828,0.21650839,67.28799,262.74158,28.2834,67064.91,3.886575,-1.9611472
甘南藏族自治州,2013-01-11,4.2380934,5.166045,1.0368854,1.3521104,0.21102063,71.924675,261.8895,26.80631,67328.35,4.530817,-0.6249375
甘南藏族自治州,2013-01-12,3.435745,3.938062,0.7346114,1.1154017,0.1696347,71.51472,263.0718,30.996323,67105.41,6.9038434,-1.5646224
甘南藏族自治州,2013-01-13,3.9700472,4.5854135,0.9154349,1.2792295,0.17504393,66.45169,266.15164,26.822266,66986.96,6.059608,-0.57980883
甘南藏族自治州,2013-01-14,22.564293,26.636976,5.1839614,2.7659667,0.35821155,62.001472,264.763,47.6244,67089.56,1.1121256,-0.21577398
甘南藏族自治州,2013-01-15,14.711148,17.844238,3.3653667,2.0779538,0.2819069,63.11218,263.7113,56.93842,67304.0,2.0067801,0.038906198
甘南藏族自治州,2013-01-16,8.283201,10.483124,2.4210873,2.3927324,0.24204782,61.63083,264.08298,50.957355,67486.29,1.6467923,-0.9923911
甘南藏族自治州,2013-01-17,7.7356157,9.480498,2.0715384,1.8023232,0.22156057,64.38345,266.62692,41.300766,67653.03,4.430008,0.3691096
甘南藏族自治州,2013-01-18,6.5964127,7.664943,1.6629324,1.2245283,0.189265,67.36993,271.30328,25.936073,67598.36,7.667995,-0.007993104
甘南藏族自治州,2013-01-19,9.50511,10.996034,2.5873208,1.5240568,0.21204051,73.687996,274.1556,32.23067,66975.73,8.528224,2.7730749
甘南藏族自治州,2013-01-20,24.071835,26.630583,5.5738635,3.014278,0.65106875,61.011745,265.51505,65.83731,66974.17,1.2032511,0.1452
甘南藏族自治州,2013-01-21,14.641169,15.718146,2.7047932,2.3207047,0.3055076,65.5064,263.61136,69.56152,67169.28,0.99247116,0.59182954
甘南藏族自治州,2013-01-22,4.593752,4.896861,0.7612168,1.1259667,0.17269193,74.1736,263.2923,38.563988,67418.914,8.863905,-3.0418866
