city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
石河子市,2013-01-01,82.57938,113.02173,41.16547,55.681145,1.5145969,28.310484,261.1087,50.44861,95009.61,0.31671178,0.03766063
石河子市,2013-01-02,56.11583,66.20874,31.368515,47.77057,1.4888296,35.725964,263.5819,49.82264,95979.14,2.8336282,-0.24862842
石河子市,2013-01-03,110.624886,124.518326,32.29034,64.077545,0.8772266,24.007635,257.64804,65.25601,95629.31,1.4495902,-0.12742844
石河子市,2013-01-04,67.125885,74.39178,38.214584,44.538006,1.0763185,25.342167,258.8635,60.533745,95453.0,1.3319151,0.1688414
石河子市,2013-01-05,54.200817,65.77741,25.134953,33.870895,0.81092095,33.558357,260.70868,59.499752,95588.91,2.940641,0.075463556
石河子市,2013-01-06,39.17522,45.349712,22.595211,29.639553,0.91494536,39.1427,259.87424,59.11962,95717.58,0.8167399,0.2194311
石河子市,2013-01-07,102.69495,118.22052,44.773697,55.21728,1.3426112,17.243406,257.68027,70.416985,95623.266,-0.90841436,-0.18334721
石河子市,2013-01-08,108.36315,147.50125,75.22811,65.34068,0.68567675,15.724682,258.71063,60.03419,95418.2,0.3721897,-0.26108894
石河子市,2013-01-09,151.81984,238.69833,186.66216,63.255196,1.7850636,22.4259,264.0558,45.906036,95097.19,0.61765754,0.11402242
石河子市,2013-01-10,87.65319,106.63119,37.357166,48.04314,1.0285797,27.245539,264.27914,55.66105,95306.0,1.0649608,-0.18323876
石河子市,2013-01-11,107.78268,111.79241,2.7181373,26.232082,0.4831186,21.280327,263.38004,58.847206,94936.86,0.64018786,-0.21352625
石河子市,2013-01-12,137.33482,154.48285,11.269712,22.87823,0.36405617,15.065561,262.7528,55.54896,94325.39,2.5760417,-0.63539743
石河子市,2013-01-13,11.840455,10.056371,7.3180323,11.691709,0.49741274,52.663284,271.5697,65.487686,95266.234,4.7880754,1.3338532
石河子市,2013-01-14,29.754719,26.773268,19.175623,23.796085,0.3269688,43.94316,268.04434,52.348675,95546.06,0.882023,1.4029452
石河子市,2013-01-15,111.26225,103.47901,35.461327,32.831276,0.5060222,15.853733,262.3999,63.070717,95104.59,2.0137582,-0.63845605
石河子市,2013-01-16,57.02134,56.389313,18.146715,22.81036,1.1330916,36.180332,267.41315,42.29329,95337.57,2.9968286,0.30561945
石河子市,2013-01-17,35.580353,37.02249,19.900696,30.362068,1.088448,40.498734,265.97845,56.196358,95887.805,0.15507439,0.69292974
石河子市,2013-01-18,62.988045,73.312256,33.319878,48.74221,1.2330867,26.948437,263.01343,66.203606,95620.2,-0.2829897,0.13475414
石河子市,2013-01-19,86.93826,101.08678,47.934155,61.72705,1.4634433,19.685091,263.96484,58.652534,95478.766,0.028275438,0.2952045
石河子市,2013-01-20,105.89624,125.061966,77.53946,63.183964,1.1132766,12.967869,260.85956,69.1085,95563.44,-0.09448786,-0.35108125
石河子市,2013-01-21,110.406784,132.85109,49.979076,55.02754,1.3482138,24.05037,264.75226,60.001778,95349.37,1.3082488,0.38867447
石河子市,2013-01-22,112.30256,133.81946,44.40267,55.523342,2.0734916,24.484539,266.71857,53.72329,95083.05,1.2124608,-0.13878164
石河子市,2013-01-23,80.5793,102.31023,47.021206,59.48893,1.1210597,20.605259,266.14908,55.81765,95447.445,0.26029047,0.13681318
石河子市,2013-01-24,144.55032,178.18076,54.869793,69.473564,1.8583981,21.976007,267.73688,53.383614,95467.51,0.2812453,0.20634952
石河子市,2013-01-25,233.97784,306.70193,79.29416,73.69814,0.99214554,9.728195,267.0582,50.761948,95258.75,-0.21160804,-0.19550055
石河子市,2013-01-26,158.38927,189.22977,74.23571,82.20204,1.6333174,16.707762,269.7809,45.655113,95352.09,0.59860045,0.29206398
石河子市,2013-01-27,192.15852,221.0852,76.297066,58.687366,1.9496747,24.185871,269.99896,59.208496,95209.81,1.8139099,-0.053012192
石河子市,2013-01-28,156.41643,189.41605,41.559097,48.642242,2.5313168,30.22967,272.5208,47.63405,94631.11,2.9339883,0.61634636
石河子市,2013-01-29,48.87213,52.644478,29.657244,41.01842,1.634408,31.425617,268.24792,84.61595,95154.36,-0.01905927,-0.5597414
石河子市,2013-01-30,22.578959,21.876844,16.223534,19.865599,0.74560356,40.823196,264.56494,84.71425,95251.62,1.6653011,-0.09577576
石河子市,2013-01-31,34.755966,38.546326,19.579323,25.709223,0.9468032,42.747375,261.79385,72.5583,95515.09,-0.9030014,0.5362065
石河子市,2013-02-01,59.962784,63.146935,36.993797,41.240902,1.5501459,28.899204,259.66254,71.81079,95698.42,-1.304891,-0.27772066
石河子市,2013-02-02,74.61038,70.470566,44.25485,55.78361,1.7499361,24.565247,262.24103,69.44371,94593.86,0.67670065,0.013770267
石河子市,2013-02-03,55.29216,67.58823,28.625002,46.36256,1.5008003,37.164913,269.4972,54.45832,94712.89,0.25371355,0.32786548
石河子市,2013-02-04,72.75654,81.364456,39.782284,47.04465,1.5804667,26.986647,267.62885,80.629944,94978.42,0.3758445,-0.21820094
石河子市,2013-02-05,86.08598,100.87433,34.11439,54.839478,1.5233504,31.953377,266.49365,83.189255,95451.93,1.0205427,0.05955026
石河子市,2013-02-06,62.381073,66.616234,29.050058,47.733276,1.6968343,35.338478,267.19128,87.58775,95814.11,3.257741,-0.35652417
石河子市,2013-02-07,25.098991,24.338667,17.81612,18.4426,0.7388314,42.943176,268.81915,74.741806,96099.664,2.9661884,0.26027954
石河子市,2013-02-08,54.9206,53.353157,41.72715,34.216892,1.4425769,28.847961,264.81384,69.81518,95320.2,0.27403042,-0.22519624
石河子市,2013-02-09,17.501772,16.56556,12.624355,13.5521965,0.7190785,49.534233,264.54984,68.03519,95523.16,6.1738677,-0.31526306
石河子市,2013-02-10,18.801386,20.826708,13.612793,13.02026,0.9345008,54.971916,261.9655,64.07231,96351.2,3.950719,-0.09718067
石河子市,2013-02-11,40.821903,49.225315,27.505335,25.545126,1.0536108,46.05288,260.30673,67.649994,96594.3,0.37063527,0.3429989
石河子市,2013-02-12,58.82397,74.751175,25.278841,33.504704,1.2994683,52.25798,264.0187,45.60853,95876.33,0.7170302,0.5446855
