city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
神农架林区,2013-01-01,25.14002,27.88715,11.001583,4.1602015,0.28984123,71.29461,270.31766,40.890217,83240.15,2.0129263,0.18400635
神农架林区,2013-01-02,54.85974,60.055336,22.730978,12.618225,0.48939165,42.1509,265.4121,71.47258,83664.09,-2.936818,0.59125406
神农架林区,2013-01-03,48.42089,54.09592,21.82749,11.639602,0.43982118,38.146828,262.64676,69.70942,84108.0,-1.7639959,-0.681416
神农架林区,2013-01-04,60.770508,68.08182,27.223408,10.707203,0.53007,40.433674,264.989,64.762535,83474.305,-0.17794797,1.9713734
神农架林区,2013-01-05,61.277412,68.06687,23.995611,6.4352336,0.5230335,52.225098,266.88422,61.918663,83272.27,-0.20420055,-0.23224086
神农架林区,2013-01-06,75.07889,82.89822,26.51169,5.364047,0.5816645,57.78407,266.97568,66.997,83332.42,0.017848276,0.055194505
神农架林区,2013-01-07,75.69746,83.298256,27.922808,4.0022144,0.5562447,64.57449,268.43854,60.203274,83235.41,0.62745476,-1.3388257
神农架林区,2013-01-08,81.58484,89.73955,33.141254,5.9173956,0.5935474,53.088177,267.79218,51.159935,83457.2,-0.8412222,-3.3191495
神农架林区,2013-01-09,103.724144,114.56847,37.1171,11.122156,0.72535676,46.268135,267.62488,49.200367,83609.29,-0.9373194,0.7011626
神农架林区,2013-01-10,102.39876,113.10509,35.930923,8.418517,0.75581056,54.51569,270.01556,51.136375,83506.195,1.0198869,2.8198857
神农架林区,2013-01-11,77.88494,85.231285,26.24193,4.016532,0.5843082,62.669224,271.22638,47.51946,83622.18,1.815754,-2.4584553
神农架林区,2013-01-12,48.585632,53.31151,18.96005,3.722823,0.43871677,68.06013,272.45737,37.85594,83444.71,1.1824441,2.7443802
神农架林区,2013-01-13,83.63991,92.12216,32.631485,4.648012,0.65091074,63.55826,273.88464,49.408005,83163.41,0.94389904,0.8842515
神农架林区,2013-01-14,87.04241,96.72252,38.62002,5.778554,0.6809544,59.092953,274.00662,46.05329,83420.01,-0.56728894,4.841235
神农架林区,2013-01-15,97.19661,107.145874,35.107975,4.8545246,0.71689373,61.000538,272.4957,67.47303,83534.65,1.8346908,-0.9249268
神农架林区,2013-01-16,74.899734,82.25196,28.746202,4.81441,0.59052837,59.511986,272.13898,71.10731,83756.63,-0.627236,-0.6676069
神农架林区,2013-01-17,75.409645,83.51855,28.021772,10.674386,0.5899044,45.384617,269.88867,58.705086,84209.336,-1.1984589,-0.8285882
神农架林区,2013-01-18,77.23735,85.339325,28.058737,9.605248,0.6468579,46.26807,272.72604,54.151283,83894.28,2.2386878,3.0679116
神农架林区,2013-01-19,75.05728,82.33203,26.24742,5.9352403,0.6061679,54.52871,274.62784,69.8964,83189.1,1.8464627,5.93983
神农架林区,2013-01-20,91.511246,100.405174,27.10732,9.007031,0.6970465,47.295113,272.19266,93.09805,83223.79,0.72412753,1.8571191
神农架林区,2013-01-21,92.37998,101.11839,28.356056,7.2666183,0.69291013,54.65727,270.64584,84.417625,83569.92,1.3204877,-0.86921406
神农架林区,2013-01-22,131.05592,144.17645,44.593464,10.483091,0.9330433,50.013546,270.7712,90.488716,83615.734,1.6838914,1.5669291
神农架林区,2013-01-23,43.17056,46.96228,13.399341,2.8718622,0.38935852,65.796616,275.0914,48.672787,83385.555,3.5754087,-0.59201425
神农架林区,2013-01-24,15.541226,17.004183,8.753538,3.6146085,0.23839183,57.323254,271.51276,42.6979,83623.68,3.5773752,-5.3625693
神农架林区,2013-01-25,22.543491,25.161688,12.210079,4.243041,0.30127293,61.679348,274.47412,41.322796,83502.54,3.0875,-0.4193289
