city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
福州市,2013-01-01,40.913418,73.03319,9.314791,27.918312,0.5703689,30.017988,280.99377,65.68416,97995.734,-1.8134001,-3.6865041
福州市,2013-01-02,55.49755,88.66877,9.331648,33.476868,1.074265,23.247902,283.4709,88.56835,98113.086,-2.3944478,-5.2851987
福州市,2013-01-03,18.665663,26.64606,7.497938,16.068356,0.4134046,30.900738,279.60233,80.86553,98548.96,-3.3108468,-7.7607193
福州市,2013-01-04,19.247324,30.126589,7.330245,17.958673,0.42366204,28.511211,278.08038,84.60785,98249.6,-0.33606508,-6.2506557
福州市,2013-01-05,20.503925,29.826538,7.5284734,20.423948,0.63778156,24.641098,279.63834,90.8849,97900.37,0.6429431,-4.632356
福州市,2013-01-06,25.905853,38.173077,7.924153,22.105246,0.78104496,22.624796,280.9646,89.74844,97940.35,0.41242433,-4.2889075
福州市,2013-01-07,30.096758,45.47384,9.238517,22.176462,0.78069955,24.252756,283.06168,89.18888,97855.71,-0.43944168,-3.036926
福州市,2013-01-08,30.925947,41.343765,9.449227,25.223408,0.8390808,22.929018,282.66623,88.12313,97869.05,-2.011378,-3.3385408
福州市,2013-01-09,42.512825,52.40135,9.497283,24.42675,0.9036026,22.0146,280.0089,78.01271,98038.45,-2.2405546,-5.854859
福州市,2013-01-10,41.77031,48.658443,12.111473,19.349854,0.85911304,32.922,279.1095,79.619316,98201.76,-3.461712,-7.4058356
福州市,2013-01-11,41.670174,63.558178,11.219244,23.228176,0.607534,36.904644,281.37726,83.030846,98168.94,-2.326585,-5.852637
福州市,2013-01-12,42.67685,52.451424,5.9592876,24.655062,0.6825519,29.266016,283.00974,86.05834,97973.13,-2.0645542,-5.338699
福州市,2013-01-13,24.196924,33.053185,6.4902954,17.211855,0.43309778,32.800293,284.59732,83.87407,97503.375,0.45137364,-4.9786954
福州市,2013-01-14,31.628794,45.382954,8.372292,23.03021,0.5779265,35.867897,282.03842,65.19587,97917.36,-2.4407315,-5.34544
福州市,2013-01-15,51.596405,72.441605,8.586479,28.409727,0.6698663,47.236565,282.01425,79.285805,98161.31,-2.9785151,-3.5100183
福州市,2013-01-16,56.507866,76.18474,9.193807,22.53841,0.7408777,49.591606,283.54257,78.686386,98149.45,-0.88150847,-2.8054535
福州市,2013-01-17,94.69704,87.40733,11.11711,30.6629,1.2151033,28.152018,280.32928,68.38331,98602.516,-4.137108,-6.3960047
福州市,2013-01-18,52.369656,56.965977,9.953769,21.789145,0.73537683,42.208145,277.41702,52.931805,98758.836,-4.12287,-6.341136
福州市,2013-01-19,38.909687,66.5825,7.984947,32.07983,0.6385151,36.858047,280.5807,87.135796,98385.83,-2.6776414,-5.0107403
福州市,2013-01-20,23.388004,49.13167,6.0686345,25.47631,0.5406632,45.284496,286.3927,86.98911,98168.5,-1.5588769,-2.4201388
福州市,2013-01-21,41.776768,87.67999,8.724199,37.225292,0.82580864,37.408833,288.7835,81.10379,98024.56,2.1729033,-0.74349254
福州市,2013-01-22,87.70724,81.84716,11.467208,43.826767,1.1581097,18.717556,284.77374,93.97231,98104.04,-2.3500876,-2.8253129
福州市,2013-01-23,69.68755,66.114204,14.149065,41.73952,1.3664807,25.057217,283.40134,88.5777,98001.28,-1.9574201,-2.0344923
福州市,2013-01-24,60.969498,68.42892,13.170788,30.146008,1.2765439,37.18968,283.96802,85.58283,97863.055,-0.22759219,-2.2326648
福州市,2013-01-25,97.236145,90.01801,16.059267,24.314793,1.2121614,42.0112,281.64526,76.73213,98036.195,-2.7128806,-4.556521
福州市,2013-01-26,58.51431,67.301834,10.308683,22.917894,0.91809106,51.73367,282.8622,76.169685,97918.28,-1.3782218,-2.8715694
福州市,2013-01-27,56.93602,70.7986,15.239238,24.02194,0.7933131,59.0021,282.39615,70.36502,98276.74,-3.9742963,-5.1563044
福州市,2013-01-28,24.810019,32.04407,8.603769,17.23187,0.4713067,57.256443,282.02527,76.74639,98351.125,-4.9930506,-4.576414
福州市,2013-01-29,21.478813,29.849174,6.6542225,20.999208,0.44676536,54.673977,284.6854,77.16583,98192.09,-0.68833333,-2.4609456
福州市,2013-01-30,32.50906,44.221745,7.3564696,23.902412,0.5685511,49.956985,284.7172,84.94175,98372.46,-3.2102218,-2.711157
福州市,2013-01-31,39.401318,58.22356,6.9415708,31.426296,0.6028543,50.463573,285.40863,79.731,98234.72,-1.1999689,-1.9979455
福州市,2013-02-01,46.442547,78.456055,9.67759,33.194042,0.76706773,52.90395,290.42966,63.03067,98042.56,1.8898317,-0.4459347
福州市,2013-02-02,59.588844,71.69962,10.529879,32.986694,1.0175416,48.971333,287.27756,84.35775,98303.26,-4.4835224,-4.966523
福州市,2013-02-03,25.351717,35.963493,6.3022246,21.991014,0.8977725,42.323517,285.49847,92.52494,98085.805,-2.1991491,-3.6233826
福州市,2013-02-04,31.292704,57.158184,6.5202093,29.104202,0.8910193,40.929005,291.51398,86.956665,97910.54,0.5990298,0.5778937
