city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
红河哈尼族彝族自治州,2013-01-01,28.507076,34.94424,11.208344,5.669415,0.5234441,56.863186,280.32248,88.65887,85263.305,1.2033756,2.863764
红河哈尼族彝族自治州,2013-01-02,25.262018,32.151077,9.500429,5.481807,0.48024425,61.788803,284.29346,85.79477,85226.03,3.2487528,3.321601
红河哈尼族彝族自治州,2013-01-03,49.86655,54.90869,14.472119,6.0514383,0.59112704,48.031776,279.42828,91.90511,85597.84,-4.8585258,1.5040302
红河哈尼族彝族自治州,2013-01-04,46.090084,56.39219,13.01307,7.143689,0.74947625,47.551018,280.11252,94.83897,85339.484,-0.09173871,4.1819205
红河哈尼族彝族自治州,2013-01-05,32.609776,39.983154,9.51474,5.4951205,0.55016947,59.758663,283.92862,89.08233,85123.94,3.6371355,3.816974
红河哈尼族彝族自治州,2013-01-06,32.146175,40.471325,9.094181,5.1471286,0.523348,59.93228,282.37564,90.85314,85239.03,1.4046001,4.234525
红河哈尼族彝族自治州,2013-01-07,29.974209,38.9207,8.268004,5.102549,0.5055964,65.44416,283.16055,89.72653,85152.69,2.8819878,4.736228
红河哈尼族彝族自治州,2013-01-08,27.970211,33.017506,7.606151,4.547699,0.41965276,63.626934,283.55695,88.026955,85097.695,2.5431938,5.02552
红河哈尼族彝族自治州,2013-01-09,52.08157,59.215153,13.924848,5.7082825,0.6070728,54.889366,278.87085,89.54785,85256.66,-2.7478342,2.7137449
红河哈尼族彝族自治州,2013-01-10,56.43019,63.962906,12.601344,5.381626,0.67893827,54.470226,277.7763,91.25833,85224.48,-2.5660062,3.4922872
红河哈尼族彝族自治州,2013-01-11,59.80739,67.84254,12.705611,5.0581284,0.7607771,53.38766,278.16016,92.2219,85301.195,-3.1176093,2.9394739
红河哈尼族彝族自治州,2013-01-12,60.94604,70.55367,16.168652,6.2255707,0.81346345,54.983547,277.7438,91.89032,85339.27,-2.1792595,1.1836034
红河哈尼族彝族自治州,2013-01-13,48.44459,58.399727,12.2186775,7.4887815,0.7516349,65.836075,281.76837,75.84973,85172.414,2.527874,1.1778953
红河哈尼族彝族自治州,2013-01-14,41.985275,52.306965,9.963203,6.5519447,0.7550708,63.97001,281.8823,87.433655,85179.86,0.7352725,3.1183827
红河哈尼族彝族自治州,2013-01-15,47.18313,55.266872,10.424369,5.1548276,0.6848162,65.472084,283.24454,87.74094,85378.36,0.8803983,4.393141
红河哈尼族彝族自治州,2013-01-16,45.01519,54.901165,9.670482,5.63181,0.7510822,66.197525,283.83585,87.69985,85499.9,1.8677222,4.2915063
红河哈尼族彝族自治州,2013-01-17,56.794453,65.5364,16.669727,6.619482,0.7614091,53.234455,281.7663,91.06971,85790.38,-3.206549,1.5945733
红河哈尼族彝族自治州,2013-01-18,65.04278,78.7777,17.763927,6.136253,0.8304588,54.914944,280.39243,91.46179,85846.0,-1.0509791,2.631735
红河哈尼族彝族自治州,2013-01-19,51.205093,61.1594,12.643438,5.990085,0.756606,66.38327,283.19656,84.94492,85441.43,3.601195,3.1368544
红河哈尼族彝族自治州,2013-01-20,36.659393,43.248943,9.755285,5.5229197,0.56482804,69.944916,286.00027,75.262054,85361.99,4.324496,2.587538
红河哈尼族彝族自治州,2013-01-21,36.017178,43.808613,9.091905,5.916778,0.52071875,73.28406,286.7934,73.05287,85479.92,1.8080484,3.1727474
红河哈尼族彝族自治州,2013-01-22,35.452564,42.015556,9.283954,4.8896737,0.48305416,72.258095,286.5086,78.062454,85492.93,0.88610035,4.021026
红河哈尼族彝族自治州,2013-01-23,38.593174,45.44378,9.89742,4.9450326,0.48761356,66.6212,285.29764,88.61503,85377.48,0.21925223,5.072637
红河哈尼族彝族自治州,2013-01-24,36.99691,44.420567,11.508538,5.1916895,0.43052113,68.95069,285.2812,75.60739,85360.21,-0.28463194,2.5230072
红河哈尼族彝族自治州,2013-01-25,55.570812,67.591965,18.018335,4.864885,0.5826911,59.91099,282.46683,89.3345,85355.25,-2.2054753,4.390679
红河哈尼族彝族自治州,2013-01-26,45.544746,53.22014,11.641307,4.562259,0.47872257,64.24458,283.87955,85.24233,85300.03,-0.48491675,3.3809426
红河哈尼族彝族自治州,2013-01-27,55.128788,58.999718,11.992777,3.9003086,0.52963233,63.457767,282.55206,84.15492,85550.26,-3.9703746,3.3838735
红河哈尼族彝族自治州,2013-01-28,46.04239,54.421486,12.094806,4.7384787,0.5145622,66.144646,282.44888,80.63843,85474.71,0.014570664,3.8097951
红河哈尼族彝族自治州,2013-01-29,44.371964,55.261444,11.0538025,5.595239,0.5311829,68.12796,284.29535,85.193596,85447.25,1.253269,3.6166837
红河哈尼族彝族自治州,2013-01-30,44.381454,54.0731,10.094181,5.116296,0.5479001,64.12464,285.20325,92.4021,85471.99,0.14093477,4.553882
红河哈尼族彝族自治州,2013-01-31,23.900951,28.778059,6.8391004,4.125324,0.39638445,69.50957,286.94418,77.423546,85472.25,3.2918441,2.8965528
红河哈尼族彝族自治州,2013-02-01,21.331331,27.860159,6.416028,5.9044676,0.40618443,76.10918,286.64517,58.642612,85529.92,2.7928593,2.2058654
红河哈尼族彝族自治州,2013-02-02,26.4059,35.69201,6.3087683,6.7503448,0.41671184,81.70459,286.0915,64.663925,85598.26,-0.24703117,2.964111
红河哈尼族彝族自治州,2013-02-03,26.84124,35.193047,6.279595,5.6027646,0.42748544,73.74406,286.49207,76.24978,85484.65,2.509014,2.8978047
红河哈尼族彝族自治州,2013-02-04,28.928106,36.177628,6.6601715,6.481489,0.44313604,76.75205,286.9404,70.12306,85480.84,3.7031057,2.6743078
红河哈尼族彝族自治州,2013-02-05,23.36471,28.374378,5.526888,6.533909,0.36140022,78.344864,288.76236,48.98394,85510.53,5.273541,0.8114969
红河哈尼族彝族自治州,2013-02-06,20.72995,26.49445,4.886832,6.821861,0.40099117,77.20089,290.25494,38.95858,85258.22,5.7980633,1.7049009
