city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
茂名市,2013-01-01,39.05284,47.45459,14.242944,15.166386,0.45869133,42.82415,284.5555,36.36897,99808.36,-2.7793367,-3.071945
茂名市,2013-01-02,43.84076,53.026516,13.2249365,17.590164,0.5191802,38.56507,287.83868,56.809902,99755.78,-4.3553796,-2.603583
茂名市,2013-01-03,44.706272,55.861595,13.546942,12.962457,0.54134774,33.529716,283.80557,73.32059,100140.484,-6.399476,-8.996527
茂名市,2013-01-04,38.42216,46.77514,9.481587,10.615339,0.4694602,34.34295,281.29886,71.50178,99994.445,-4.8455744,-6.884678
茂名市,2013-01-05,45.614243,54.60771,8.690749,12.408314,0.5400843,33.017998,282.21814,74.47148,99715.03,-3.3458345,-4.6482863
茂名市,2013-01-06,53.250874,62.395573,10.007811,11.048623,0.613561,39.912846,283.45563,73.014725,99785.26,-3.0186603,-5.540635
茂名市,2013-01-07,57.695263,64.54611,9.713724,11.04289,0.6552421,47.73121,285.26257,70.71244,99687.914,-2.5790255,-3.8969293
茂名市,2013-01-08,60.880154,66.80486,9.570968,10.469644,0.65080297,53.03624,286.67676,66.55966,99650.71,-2.6112187,-4.24893
茂名市,2013-01-09,68.51948,74.790115,15.058693,8.961815,0.74506456,48.351517,284.48563,61.98929,99792.71,-4.3727465,-7.1250105
茂名市,2013-01-10,91.14488,95.00062,18.05169,10.913717,0.80637103,53.7403,284.23697,56.012066,99841.695,-5.3341284,-5.5072207
茂名市,2013-01-11,96.657684,105.56334,15.478843,12.6507,0.78538656,42.887413,284.94196,68.74794,99884.77,-3.9154012,-5.7793007
茂名市,2013-01-12,74.83463,82.26176,12.212285,9.212182,0.6666582,50.78465,286.80945,67.10137,99743.945,-2.7264152,-5.40299
茂名市,2013-01-13,67.24221,79.90985,11.921047,9.4428835,0.7206352,53.5218,287.58154,64.10229,99467.22,-1.0406152,-4.542754
茂名市,2013-01-14,60.078377,70.10505,15.266662,14.669067,0.63980836,52.121857,288.11188,49.81556,99656.51,-6.139745,-1.9769078
茂名市,2013-01-15,54.642483,62.04986,15.822743,20.480478,0.59277946,52.55023,289.20078,67.05382,99860.17,-5.599073,-1.2993141
茂名市,2013-01-16,67.259186,75.21447,17.877472,22.713627,0.673636,51.81194,289.76807,57.828377,99940.78,-3.8575401,-2.5400136
茂名市,2013-01-17,68.377625,81.56866,16.989805,11.849166,0.7212153,50.9166,288.19946,65.29132,100225.555,-6.3743196,-6.4163985
茂名市,2013-01-18,93.98765,107.01104,20.33597,11.1951,0.8792378,54.826794,285.82922,55.92631,100379.766,-6.1078215,-5.6974607
茂名市,2013-01-19,60.903545,67.14641,16.89125,17.760525,0.6103508,51.86454,287.82526,64.654564,99985.29,-5.945736,-0.07780952
茂名市,2013-01-20,21.528921,27.335602,4.447744,7.927629,0.3190189,64.12911,291.57938,83.76823,99776.945,-5.054577,2.942593
茂名市,2013-01-21,23.199394,28.987751,5.055542,9.69871,0.35412446,63.310253,293.29352,78.05989,99761.695,-3.3791947,-0.64655316
茂名市,2013-01-22,59.672592,70.23046,14.432638,15.275705,0.6945018,44.87673,290.7834,78.58602,99816.414,-4.498639,-4.4093523
茂名市,2013-01-23,61.05518,76.1298,14.070018,11.838048,0.81688297,55.63444,289.9317,70.35516,99763.14,-4.800405,-3.1111808
茂名市,2013-01-24,77.09132,92.407845,17.033882,13.082392,0.8444168,57.003258,290.2623,73.559166,99701.734,-2.4472682,-2.7171242
茂名市,2013-01-25,70.58015,93.50918,19.581772,9.801002,0.9421035,53.831432,288.32196,66.08004,99775.42,-3.754818,-3.8207595
茂名市,2013-01-26,105.306335,117.89071,25.362337,18.547539,0.9983232,38.876347,288.8442,75.41374,99681.484,-4.1194687,-2.7195854
茂名市,2013-01-27,68.02181,75.40868,15.98395,9.720682,0.70930284,52.266624,289.0717,69.30235,99933.26,-5.4648504,-4.8957405
茂名市,2013-01-28,50.67432,59.49503,16.061615,14.010094,0.6101522,55.30386,289.1466,64.876816,99918.09,-6.3592844,-0.47163624
茂名市,2013-01-29,35.994144,41.13545,7.935369,12.077491,0.418171,60.02133,290.76157,82.897026,99876.03,-5.321184,0.09428647
茂名市,2013-01-30,24.227674,28.92374,5.523515,7.9888787,0.32826054,65.25006,291.9199,80.279976,99912.68,-6.186008,2.445418
茂名市,2013-01-31,19.299345,25.458626,3.5004041,6.801733,0.28935012,69.163124,291.8183,83.74992,99862.016,-5.298287,3.3920023
茂名市,2013-02-01,18.77019,23.717373,3.7508976,7.2645855,0.29271472,70.63627,293.05377,80.07853,99814.39,-3.9405882,1.9890287
茂名市,2013-02-02,44.903767,49.161995,14.897895,14.373591,0.44839725,67.96492,293.93445,69.7308,99831.836,-4.111495,-1.9803008
茂名市,2013-02-03,40.63359,51.36383,9.127237,11.399776,0.45399427,52.066338,293.51733,84.7156,99654.96,-4.0589247,0.63273114
茂名市,2013-02-04,44.98769,55.250805,4.6668415,11.548173,0.48841828,37.5662,293.77463,90.95815,99699.766,-2.4462366,0.49854344
茂名市,2013-02-05,37.340725,46.010857,13.247468,15.844965,0.46238807,43.936607,294.60696,85.724335,99651.664,-1.8547316,2.8986132
茂名市,2013-02-06,22.162397,27.649294,4.862018,8.337531,0.2878229,56.126266,293.26337,91.27489,99452.555,-2.1004062,2.8344173
茂名市,2013-02-07,17.654318,23.04076,2.6393402,5.37287,0.27143532,64.61787,293.45306,89.46512,99153.74,-3.6248028,4.5985947
茂名市,2013-02-08,50.70413,64.10873,14.72047,13.271495,0.64353454,31.022663,286.818,83.457535,99690.875,-6.6441593,-7.4615316
茂名市,2013-02-09,40.49489,48.80868,9.783226,9.690674,0.47840744,40.295452,283.81357,74.98405,100045.766,-5.105159,-6.0402827
茂名市,2013-02-10,51.648407,59.494137,10.810041,12.514387,0.5295976,45.638874,287.2221,69.986824,99848.23,-2.482475,-1.3624979
茂名市,2013-02-11,56.877068,63.51183,17.330132,14.892657,0.5498223,55.854164,290.71753,71.518814,99689.77,-4.8931084,0.21375708
茂名市,2013-02-12,53.92021,63.54499,16.15136,11.77451,0.56496084,56.771015,290.47064,72.70493,99849.4,-4.872406,-4.7348986
茂名市,2013-02-13,51.482246,63.426487,12.401689,9.03129,0.59821886,64.79652,289.01453,64.51089,99759.05,-4.531255,-2.7345855
茂名市,2013-02-14,46.86778,54.455723,10.401,10.629417,0.50153697,67.79688,292.4571,77.13391,99508.305,-3.3580115,1.8080792
茂名市,2013-02-15,51.970882,63.106335,11.838339,10.799634,0.5294509,52.666058,290.98178,82.55469,99599.6,-3.5333114,-3.6849437
茂名市,2013-02-16,48.97215,62.291264,13.014655,10.534716,0.62940884,58.55429,290.6112,72.83596,99571.47,-5.116458,-0.69359094
茂名市,2013-02-17,28.60468,36.713406,3.3680506,5.5503545,0.37701482,75.20028,293.23883,85.88322,99287.33,-3.5072706,4.7100754
茂名市,2013-02-18,25.706755,32.200626,2.9458048,6.1279387,0.34779355,69.80168,293.57196,87.96262,99118.87,-2.0054317,4.7452445
茂名市,2013-02-19,41.04921,50.84783,9.727079,11.659447,0.5422554,50.29482,291.2596,82.60475,99342.41,-3.8694553,-2.689468
茂名市,2013-02-20,48.34872,56.353027,11.876953,11.43536,0.5824468,41.1005,287.34912,69.9327,99758.27,-5.766182,-5.268497
茂名市,2013-02-21,46.76393,53.892933,12.649338,11.96845,0.53793764,53.680256,289.63635,70.1354,99829.555,-5.33707,-3.5941248
茂名市,2013-02-22,50.275078,61.847874,10.797634,8.984024,0.57020545,53.664814,289.22784,68.35468,100000.695,-3.6308491,-6.255375
茂名市,2013-02-23,46.84351,55.962513,12.853557,9.156679,0.54725254,64.852806,290.38052,59.651505,99985.195,-5.587314,-3.8302157
茂名市,2013-02-24,43.475346,50.97144,15.191761,11.798145,0.4936376,62.843388,292.0439,71.007,99785.695,-5.606041,-0.37711874
茂名市,2013-02-25,31.004637,38.650097,6.6361575,7.6826954,0.3687807,66.73505,293.975,84.06981,99605.11,-5.6665688,2.384282
茂名市,2013-02-26,24.105673,31.363811,3.1549501,7.7806673,0.33906955,68.86061,294.82507,88.25441,99432.08,-2.1997747,3.7214715
茂名市,2013-02-27,30.493177,35.489975,4.7141533,10.661803,0.42022625,61.326153,294.57373,87.90455,99262.44,-0.76491123,1.4652593
茂名市,2013-02-28,17.072277,21.600306,2.9603498,6.4126487,0.24756603,57.96992,293.89175,90.96946,99036.516,-2.5949085,5.5118575
茂名市,2013-03-01,13.866158,18.17797,2.8535416,6.407918,0.24220802,55.574326,294.29114,94.26296,99126.39,-2.6439352,5.1461587
茂名市,2013-03-02,41.158005,51.0471,15.591205,11.0597105,0.5775627,43.292652,289.129,78.11693,99832.91,-6.212556,-7.8782687
茂名市,2013-03-03,41.28649,47.51329,12.74011,8.268336,0.4770117,54.10999,287.17023,64.89403,100170.32,-4.053691,-6.663965
茂名市,2013-03-04,35.404335,40.958645,11.813316,11.344175,0.4465353,62.39721,288.86182,43.857784,100109.266,-5.4224024,-4.411061
茂名市,2013-03-05,43.31227,49.82233,18.573019,20.938923,0.51692563,68.88769,291.0527,43.00284,100043.87,-4.977022,-1.1997381
茂名市,2013-03-06,31.034765,35.81705,8.492667,9.80083,0.3673116,74.50633,292.41223,62.552425,99871.03,-4.460515,1.4662857
茂名市,2013-03-07,36.029293,39.676655,8.659779,8.786589,0.37334317,85.68511,293.49982,65.60343,99808.91,-2.1836107,0.5688756
茂名市,2013-03-08,45.43708,49.223286,10.897937,10.839911,0.47682363,95.339226,294.45078,60.23238,99565.805,-0.45643577,1.5774757
茂名市,2013-03-09,33.58763,37.586166,7.4826846,8.328924,0.37410563,94.8833,294.07275,58.06075,99308.445,-1.0826627,4.4281473
