city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
荆州市,2013-01-01,54.358482,70.8331,47.715237,27.575897,0.79722655,45.554165,277.10495,52.36965,101818.95,1.4862866,0.65806144
荆州市,2013-01-02,81.93546,98.750725,33.117252,30.849314,0.9509942,28.574785,275.24142,62.110348,102531.75,-5.264954,-8.943259
荆州市,2013-01-03,43.951794,52.99436,22.22559,15.22689,0.72118634,39.89769,271.61685,38.495323,103429.95,-4.189491,-8.278785
荆州市,2013-01-04,66.39541,70.882965,26.278051,17.468313,0.85826725,36.189907,271.69022,39.730515,102713.54,-2.4733686,-4.469767
荆州市,2013-01-05,105.563034,103.29403,34.982056,22.568203,1.0498766,34.29961,273.2515,40.899487,102258.87,-1.6259774,-3.3087924
荆州市,2013-01-06,142.53928,134.84941,49.33471,20.38915,1.1482409,39.668373,273.9649,42.616817,102252.39,-0.105266534,-3.2466695
荆州市,2013-01-07,162.34396,150.83775,62.913395,24.83359,1.2653611,61.12141,274.65683,42.73303,102028.62,0.88656795,-1.1553038
荆州市,2013-01-08,212.77632,197.10995,83.010414,31.898088,1.4813751,43.021687,276.3759,42.935627,102159.87,-0.12359289,-3.8870316
荆州市,2013-01-09,223.34402,207.98979,56.973248,31.984533,1.6702241,34.357994,276.37897,47.13049,102426.28,-2.5635986,-5.544679
荆州市,2013-01-10,227.79573,211.11383,53.163097,41.510788,1.569738,30.056698,277.10983,54.362473,102287.7,-2.5776992,-1.3828303
荆州市,2013-01-11,200.29628,188.19371,56.759506,33.53191,1.4558718,36.192665,279.56848,51.521328,102157.195,-0.50256675,-1.4000499
荆州市,2013-01-12,160.27289,145.27946,53.885998,40.45576,1.4028873,27.927427,279.9654,47.56031,101976.26,-2.324665,-2.2481415
荆州市,2013-01-13,166.96086,155.80338,56.001293,29.099394,1.3745254,48.993862,280.88513,52.962486,101528.43,-0.8374814,-0.063097216
荆州市,2013-01-14,197.15921,187.79854,65.36687,37.83434,1.5093427,45.308186,280.65994,53.263496,101890.32,-2.7657576,-2.805482
荆州市,2013-01-15,205.6146,198.26274,59.314983,27.725187,1.5795935,45.001686,281.2749,56.622288,101941.3,-1.2465113,-2.5923364
荆州市,2013-01-16,196.196,201.6468,54.9911,36.16576,1.5820497,30.110224,280.7899,50.196987,102244.336,-2.41201,-4.1683207
荆州市,2013-01-17,195.06985,186.49457,41.066532,26.323666,1.4748238,37.981586,277.64557,56.91362,103033.88,-3.6408055,-7.22926
荆州市,2013-01-18,193.43187,188.27037,41.34667,31.636251,1.4206002,28.27988,277.14014,57.691097,102754.35,-1.4262296,-0.092985936
荆州市,2013-01-19,156.7871,161.61305,43.262135,34.940315,1.2916834,25.46767,279.22855,63.2684,101841.27,-0.7919026,3.5095894
荆州市,2013-01-20,151.82768,141.7632,41.566395,32.364037,1.2469994,16.801775,279.60974,85.63555,101685.13,-1.4554061,-4.227862
荆州市,2013-01-21,162.88745,137.76717,49.846935,35.789413,1.4896657,24.785177,277.6987,68.19053,102232.35,-1.7028278,-5.1445184
荆州市,2013-01-22,221.85178,196.57266,61.76555,35.60415,1.8122132,27.896578,278.08438,63.26055,102332.6,-2.1457074,-2.776803
荆州市,2013-01-23,164.19604,152.07343,54.71022,24.471062,1.6106857,41.35161,279.574,63.517445,101847.23,-0.052515112,2.8583362
荆州市,2013-01-24,114.27205,101.59481,37.874958,20.274479,0.9533145,35.992065,280.7697,50.622032,101996.695,-1.6668111,-5.506126
荆州市,2013-01-25,87.72244,94.01304,37.84046,29.13714,0.79376054,39.121037,280.59335,43.78609,101934.16,-0.61783177,1.465969
荆州市,2013-01-26,111.214424,125.249374,50.99776,28.611902,0.9015692,48.085545,282.1615,48.596382,101838.664,-1.7079043,-2.2371635
荆州市,2013-01-27,223.24907,209.10736,44.41334,33.95877,1.3889047,46.385754,280.749,51.97377,102292.35,-2.2777808,-3.0568922
荆州市,2013-01-28,190.06868,184.86229,48.613102,34.312443,1.3225,41.509922,282.92014,53.718594,101846.62,0.4334877,2.3504121
荆州市,2013-01-29,130.28584,124.615395,45.541134,19.79054,1.0010138,53.27686,284.22897,61.432964,101734.38,-0.5123174,0.5724729
荆州市,2013-01-30,144.31232,153.21342,45.43086,27.64346,1.2445533,30.869625,283.44193,81.00218,101637.61,-2.3853724,0.10640354
荆州市,2013-01-31,181.01363,181.29398,55.858032,31.020458,1.8399304,15.266408,282.79562,94.77709,101333.336,-0.4195112,-2.822219
荆州市,2013-02-01,101.33744,97.246346,42.215107,27.4107,1.6072637,32.03574,283.31824,76.19446,101778.98,-1.9259726,-4.1658373
荆州市,2013-02-02,157.1831,149.18788,43.05858,38.230755,1.9317758,14.388627,280.09808,81.822945,102272.055,-1.6863071,-6.5250773
荆州市,2013-02-03,144.11426,149.2192,42.69121,34.826374,2.0950239,18.30069,282.618,85.50666,101326.945,-0.09084679,0.59449077
荆州市,2013-02-04,100.347984,99.45455,40.90465,23.202694,1.1019784,19.052092,281.0685,83.52151,101520.52,-2.0593355,-6.493663
荆州市,2013-02-05,70.72122,76.41484,35.824436,24.145527,0.8913156,23.696653,280.35797,78.67469,101678.49,-0.9567454,-5.516309
荆州市,2013-02-06,103.612495,109.3143,43.129307,31.288683,1.1640966,19.913935,278.69843,81.02868,101695.195,-2.3307836,-2.7511213
荆州市,2013-02-07,64.0204,64.276535,29.580498,18.668467,0.81501716,34.432373,276.19113,82.68497,102158.68,-5.3203444,-10.75043
荆州市,2013-02-08,40.89014,42.33901,17.248537,12.192263,0.46924952,53.153698,271.58377,49.287437,102985.97,-3.3781023,-7.9489307
荆州市,2013-02-09,68.13989,70.341354,25.690002,14.232586,0.551436,51.596878,273.66504,60.058323,102457.09,-0.34118515,0.7647201
荆州市,2013-02-10,112.39245,118.09941,37.72357,17.967438,0.72413963,47.81449,276.56134,73.81789,101939.85,-0.95812994,1.1079808
荆州市,2013-02-11,126.54581,121.64891,36.804375,18.141615,0.8263835,46.703655,278.04477,77.22257,102092.9,-1.9465636,-4.9737325
荆州市,2013-02-12,153.51376,140.1537,38.402534,15.528516,0.93937755,59.662426,278.86395,60.06275,102443.91,-1.4701453,-5.364548
荆州市,2013-02-13,145.14008,136.92668,48.675777,21.617287,0.99574894,40.93928,279.4883,57.246616,101919.234,-1.5688568,0.29508036
荆州市,2013-02-14,124.49067,120.01357,41.214066,17.331484,0.9048894,39.28671,279.87418,69.98421,101668.805,-1.588578,-1.7714024
荆州市,2013-02-15,148.11427,140.56258,42.31969,22.060036,1.0253748,49.372593,280.84332,51.06404,102114.42,-3.005983,-4.1534767
荆州市,2013-02-16,118.17067,118.41612,37.873524,15.994117,0.93819696,56.854443,282.03354,55.09067,101430.305,-1.7715403,3.1649313
荆州市,2013-02-17,108.39804,113.18183,38.14357,21.887188,0.9256674,36.99404,282.6273,74.801895,100982.64,-1.6585832,-1.3896676
荆州市,2013-02-18,106.46903,99.41112,37.765186,20.611315,0.92885625,36.69567,279.67157,85.49031,101363.51,-3.2700446,-8.345537
荆州市,2013-02-19,50.51881,49.217236,20.738882,17.59721,0.648316,43.82991,275.25912,85.25407,102307.586,-2.8732517,-6.961838
荆州市,2013-02-20,63.893276,67.84689,26.857279,17.39818,0.6262576,48.09587,277.49854,76.08422,102289.984,-2.4703374,-2.0395598
荆州市,2013-02-21,87.75925,92.28977,44.902596,21.797028,0.6916365,39.306835,278.69788,76.14957,102302.66,-0.8555723,-2.2024572
荆州市,2013-02-22,91.03153,95.42882,41.50494,15.325543,0.6717237,56.705753,281.11334,62.109207,102430.1,-0.6259087,-2.4626603
荆州市,2013-02-23,106.66843,114.77855,40.54235,21.779974,0.86011136,64.36271,283.48743,55.706867,102236.61,-2.1433554,0.50311136
荆州市,2013-02-24,87.32749,93.05663,29.485636,16.404974,0.71722835,51.437218,285.70956,61.61366,101629.04,-2.0359132,1.8824697
荆州市,2013-02-25,148.66808,149.14725,46.705673,30.928478,1.0569301,31.97741,285.257,81.94026,101489.83,-2.3588746,-2.9249072
荆州市,2013-02-26,200.09215,167.33907,34.483555,16.398603,1.1710926,47.315243,285.18634,81.50221,101438.35,-1.6697217,-4.234263
荆州市,2013-02-27,199.3364,194.18506,38.05223,22.337332,1.2945974,48.23531,284.82394,78.10814,101326.53,-1.7948624,-1.4127834
荆州市,2013-02-28,135.3842,143.59148,42.53307,25.527483,1.3897039,37.718796,285.8809,86.175865,100644.234,-1.3540905,0.92913777
荆州市,2013-03-01,50.554382,61.120644,21.06495,13.323053,0.6387625,49.40998,281.11954,47.576748,101848.625,-4.670886,-11.585104
荆州市,2013-03-02,32.135612,46.51251,21.61624,13.29637,0.46824846,47.569717,279.2821,29.447376,102755.89,-2.9129233,-5.8845572
荆州市,2013-03-03,47.696533,62.003292,31.467787,16.388382,0.5043747,53.72648,282.50238,31.223442,102334.01,0.7152164,1.3471801
荆州市,2013-03-04,46.571312,69.70454,29.027584,17.60595,0.4945005,55.36055,287.66696,37.072586,102012.48,1.6879398,2.7161746
荆州市,2013-03-05,56.11294,92.82886,28.063362,22.558538,0.5998088,54.90853,289.5496,34.649242,101762.086,0.5682021,6.5267944
荆州市,2013-03-06,60.854565,86.81646,25.11273,21.861927,0.6442935,67.49507,291.54514,37.272957,101388.34,1.1133325,5.1948786
荆州市,2013-03-07,58.17591,89.965355,27.314623,17.199942,0.51910806,61.928257,291.95587,42.683544,101404.86,-0.35143772,0.8126032
荆州市,2013-03-08,65.67042,89.20151,22.86226,17.620026,0.61633503,78.399315,296.0425,30.926323,100823.35,3.691263,5.1893454
荆州市,2013-03-09,75.207565,99.56569,23.77537,20.063877,0.727824,81.292885,297.10068,46.700504,100355.02,2.7177992,6.2129803
荆州市,2013-03-10,32.612217,92.164665,16.72504,13.964203,0.42631435,53.113724,285.81107,38.59258,101554.12,-4.8509007,-10.459416
荆州市,2013-03-11,50.398014,71.712326,30.404482,20.878063,0.5899508,35.93861,284.72684,62.349037,101449.04,-3.0828261,-2.2559536
荆州市,2013-03-12,108.36424,126.78625,46.54744,28.458906,0.9123257,29.243038,286.84598,75.53199,100716.29,-1.0147351,-2.600311
荆州市,2013-03-13,99.54633,106.85931,37.49683,24.493778,0.752034,29.689522,285.5969,55.98224,101650.586,-4.075789,-7.3476496
荆州市,2013-03-14,55.051994,60.49629,26.592474,18.943481,0.56111467,47.382046,283.2221,51.81836,102152.87,-4.8919573,-2.7063537
荆州市,2013-03-15,61.136757,74.91029,25.757324,18.816454,0.5872221,56.2645,286.4573,50.011036,101650.09,-1.8757937,1.9317073
荆州市,2013-03-16,88.501724,103.572716,36.20969,28.986315,0.83763224,31.721022,287.80487,80.03347,101242.24,-3.0172875,-0.69071263
荆州市,2013-03-17,88.95561,92.59575,37.1296,23.802195,0.8407377,34.376965,285.04303,89.346275,100824.4,-0.86289245,-5.2835784
荆州市,2013-03-18,64.1409,77.530106,31.466799,19.305876,0.6875273,54.126595,289.8304,60.900574,100652.83,2.8556983,3.7257586
荆州市,2013-03-19,73.01836,73.979004,31.810404,24.530664,0.8516542,49.466183,289.58105,71.601875,100300.39,-0.39432916,3.1223269
荆州市,2013-03-20,91.29153,86.358154,35.016068,24.570051,0.7551269,37.29018,286.6929,62.089436,101258.16,-3.40315,-7.8521123
