city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
莱芜市,2013-01-01,88.536125,206.01112,85.28937,59.36669,1.4522018,18.65068,264.78036,58.699963,98434.39,4.278146,-5.1054773
莱芜市,2013-01-02,27.426702,53.598904,34.787655,27.55434,1.1250491,40.235634,258.81714,48.17682,99714.93,2.5475917,-8.061348
莱芜市,2013-01-03,37.632908,73.45067,38.58347,50.09357,1.1326205,39.463627,259.72577,47.887432,100147.78,1.0174993,-7.671202
莱芜市,2013-01-04,50.106285,132.98154,96.0674,68.348625,1.3834523,23.498985,262.15463,46.312485,99439.016,-0.70787203,-1.4323267
莱芜市,2013-01-05,92.7268,187.31006,124.13094,83.43065,1.3933184,18.678556,263.41724,40.322258,98957.82,0.57335806,-3.0562155
莱芜市,2013-01-06,169.12154,295.3913,115.7427,106.105316,2.518194,28.742329,265.5286,50.55113,98926.0,-0.61855805,-2.2188294
莱芜市,2013-01-07,147.59274,275.81232,138.87524,108.688675,1.4834726,19.595736,267.36115,51.722244,98706.92,-0.20542791,-0.30218628
莱芜市,2013-01-08,234.31012,470.42166,236.86385,183.60782,3.6021473,18.764269,267.01135,68.628716,98981.78,-1.0125828,-6.1155224
莱芜市,2013-01-09,85.10486,151.35414,72.0134,65.940735,1.2464974,27.084688,264.32318,67.443306,99222.695,0.22018671,-4.2951784
莱芜市,2013-01-10,157.71898,297.08655,122.12854,95.85942,2.7389975,30.404552,267.09497,73.48681,99067.17,-0.34567258,3.4580905
莱芜市,2013-01-11,185.77576,318.3957,93.47959,80.36475,2.2965584,32.821568,270.13196,83.972046,98730.83,1.7852042,3.9660225
莱芜市,2013-01-12,183.4877,322.92767,92.7256,83.27017,2.8511994,26.982183,270.85678,55.14625,98704.66,-0.7019192,1.6062336
莱芜市,2013-01-13,225.98633,376.02277,69.29342,97.308365,1.8888198,27.439095,271.85403,79.249466,98458.74,-0.81313837,2.7318668
莱芜市,2013-01-14,386.68277,686.7208,197.30417,166.64272,4.774467,17.542892,270.07672,82.148575,98760.195,-2.8780398,-3.039379
莱芜市,2013-01-15,216.01299,423.68152,157.61209,110.883766,2.9976878,6.4832788,268.0801,94.34122,98725.71,-0.6797598,1.346437
莱芜市,2013-01-16,194.95628,357.00995,291.97464,103.17047,2.3818018,9.149195,268.60947,79.437416,99164.82,-1.285342,-6.608555
莱芜市,2013-01-17,151.80673,236.77618,119.725426,89.09421,1.9303088,14.550107,265.98154,69.52319,99847.55,0.44607615,-5.5381856
莱芜市,2013-01-18,93.8035,207.21133,65.19334,63.795708,1.5813253,34.961067,267.5037,62.452137,99334.25,1.7890539,4.0414004
莱芜市,2013-01-19,207.39713,357.74432,101.83018,98.93087,2.1119215,26.374498,271.12863,66.129875,98964.414,-2.2590423,2.3303497
莱芜市,2013-01-20,265.2031,373.39813,106.20093,83.91461,2.5271413,16.913803,272.0214,85.09201,98850.914,-4.4362297,-0.42030227
