city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
菏泽市,2013-01-01,76.79593,195.8108,54.598495,42.091545,2.3938627,18.375732,269.56494,48.630375,102013.086,0.64662415,-5.361924
菏泽市,2013-01-02,45.01071,92.74149,43.5194,33.618786,2.3649657,24.474573,264.27145,47.12182,103407.195,-1.556286,-6.586609
菏泽市,2013-01-03,60.986507,108.4712,60.593,39.397392,2.500531,23.009321,263.69937,48.41217,103849.74,-0.6423513,-3.6290386
菏泽市,2013-01-04,92.084045,147.52338,72.31284,50.420036,2.2036562,21.552963,265.02936,43.122475,103002.484,-0.954484,0.6484483
菏泽市,2013-01-05,117.26415,190.18518,72.05367,54.665653,2.6919703,20.260096,268.41214,39.79648,102445.65,-0.18482162,0.9944992
菏泽市,2013-01-06,185.37634,292.0977,129.9343,79.30109,3.9732625,20.20324,269.82806,43.77346,102412.484,-1.0347173,-0.18763115
菏泽市,2013-01-07,230.31554,316.21735,91.18622,62.16236,3.6398945,24.672182,272.09274,50.451992,102083.195,-0.28908065,2.2068195
菏泽市,2013-01-08,257.6619,346.7689,113.97532,85.811485,3.9824455,11.601015,270.53653,64.67989,102470.36,-1.0032333,-5.5257883
菏泽市,2013-01-09,156.06898,218.77502,83.596115,63.65522,2.9240108,15.724125,269.20193,66.96769,102748.336,-1.4204881,-2.9412656
菏泽市,2013-01-10,220.53667,296.67468,60.15239,59.32615,2.7778144,15.2575,272.5035,69.95529,102424.89,-1.1141107,5.12007
菏泽市,2013-01-11,236.47313,308.14233,67.12027,54.356083,3.1434002,14.361745,275.1283,63.57442,102119.32,1.4666104,3.3244474
菏泽市,2013-01-12,270.82123,352.7606,75.94678,75.27305,4.185967,20.107622,275.11926,55.67382,102057.44,-0.78581625,4.0375814
菏泽市,2013-01-13,249.98134,342.9543,57.113605,66.48506,3.9750047,16.194044,274.57114,73.006294,101770.234,-0.8880819,0.38812765
菏泽市,2013-01-14,280.12338,427.39624,78.53799,86.80725,5.1697083,11.301412,273.19397,70.97134,102162.234,-1.5924387,-1.9829568
菏泽市,2013-01-15,226.59895,359.83435,80.65442,65.94437,3.8946426,20.920244,273.97623,75.37522,102098.47,-0.7061914,0.4367537
菏泽市,2013-01-16,204.88098,337.4104,113.41636,81.40517,4.1830263,9.319783,272.34885,69.11546,102634.73,-2.3355072,-4.938654
菏泽市,2013-01-17,134.53938,195.06114,67.41137,54.284637,2.6896138,16.66662,270.93686,62.862156,103421.29,-1.3805197,-3.5572507
菏泽市,2013-01-18,162.93513,233.02173,44.93109,48.37911,2.6157966,26.66633,273.0417,54.55103,102758.22,1.592474,6.2880898
菏泽市,2013-01-19,158.08884,238.53667,48.198395,50.339436,2.7622514,22.231997,275.00406,61.483578,102209.64,-2.5744643,3.6958332
菏泽市,2013-01-20,206.67445,266.00922,74.60573,65.42373,3.5138938,10.092516,273.46176,79.25439,102187.586,-2.6921628,-4.134059
菏泽市,2013-01-21,156.64992,195.6739,62.58671,53.255753,2.9283872,9.891726,273.00998,84.30146,102309.23,0.65313447,-6.8357425
菏泽市,2013-01-22,196.66647,257.07632,85.65728,61.81898,3.60982,6.6984496,271.5761,82.14106,102489.18,-0.81994766,-2.81316
菏泽市,2013-01-23,191.32709,247.35532,63.17283,52.523415,2.885182,18.167467,274.77188,73.97728,101597.59,3.4835126,5.164875
