city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
萍乡市,2013-01-01,45.50917,48.185783,24.31435,9.633959,0.9515792,35.66074,277.3657,37.381794,98513.336,-2.0636244,0.16711177
萍乡市,2013-01-02,87.42366,93.76994,40.226604,27.762806,1.4449431,19.141487,278.2765,53.518063,98728.76,-5.888383,-2.6423423
萍乡市,2013-01-03,49.171024,52.40583,15.2031975,17.548323,0.88086647,32.64019,272.47885,69.54727,99530.93,-5.8229637,-5.4211154
萍乡市,2013-01-04,60.97651,64.84255,19.500286,19.579498,1.0944848,26.405495,271.46957,74.52466,99083.516,-4.1253915,-2.982085
萍乡市,2013-01-05,88.963974,88.63787,22.704718,22.593779,1.1728698,19.994144,272.29016,81.160645,98709.28,-3.1595771,-2.2632797
萍乡市,2013-01-06,114.97154,114.40439,28.216457,24.399025,1.1988493,21.20261,272.453,85.497696,98753.34,-1.7443436,-2.128665
萍乡市,2013-01-07,149.09222,138.26012,48.2303,18.68102,1.3980032,23.915606,273.93353,83.84247,98600.11,-1.9099113,-1.4357177
萍乡市,2013-01-08,132.73958,141.09769,28.913862,21.513416,1.4523389,18.74253,275.0728,76.73759,98648.875,-3.3767977,-2.4666433
萍乡市,2013-01-09,175.89224,162.31242,39.50716,37.04882,1.563,20.837282,275.31046,61.466843,98847.5,-3.951434,-3.5118625
萍乡市,2013-01-10,152.11816,142.49286,37.297222,32.90602,1.7741331,21.948048,275.90698,71.50082,98776.36,-5.6243725,-2.9027176
萍乡市,2013-01-11,126.08011,125.95316,34.021687,17.765541,1.2916558,34.288208,277.50684,77.10427,98759.13,-2.20364,-1.6255263
萍乡市,2013-01-12,139.7273,124.90982,33.093266,23.952751,1.5435292,27.1273,278.4182,77.9471,98579.35,-3.4261363,-1.4133055
萍乡市,2013-01-13,110.84219,117.90853,31.779305,12.516918,1.5404196,37.39998,279.94208,72.27974,98224.58,-1.4827778,-0.6943257
萍乡市,2013-01-14,118.28038,127.77433,39.944836,20.225925,1.792284,28.552382,280.7719,69.79346,98469.24,-6.0008616,-1.2110739
萍乡市,2013-01-15,91.72169,94.81905,38.04309,18.6205,1.2371695,30.007223,279.7846,78.80818,98609.84,-1.3076005,0.25183904
萍乡市,2013-01-16,111.427246,99.985016,28.592672,18.629705,1.4152162,25.323944,280.4215,78.48703,98782.625,-1.9232279,-1.2279553
萍乡市,2013-01-17,169.1985,169.0838,42.491825,39.560085,1.9322281,31.682913,278.4422,64.62689,99342.47,-5.6822295,-3.9925091
萍乡市,2013-01-18,140.66295,128.00858,28.369095,23.386654,1.6793948,31.218119,276.74866,60.056004,99307.11,-5.5614753,-2.07703
萍乡市,2013-01-19,79.32461,76.356735,20.836546,11.318784,1.0352615,44.498,280.75,53.326046,98602.47,-4.4022985,2.3038805
萍乡市,2013-01-20,85.124565,76.43737,18.630363,18.859571,1.065566,42.695797,285.84927,71.91054,98317.836,-1.4312373,3.2504606
萍乡市,2013-01-21,116.24536,114.10665,25.79646,28.590654,1.6962428,17.950277,280.33032,92.6749,98671.305,1.8381566,-1.9160315
萍乡市,2013-01-22,163.61313,148.48862,41.634502,30.246635,2.0560133,20.544727,279.14328,79.68813,98824.266,-0.47581783,-1.6995091
萍乡市,2013-01-23,134.82353,166.83543,29.903238,14.270817,2.0393696,27.571907,280.19846,70.01367,98555.445,-2.032785,0.22246554
萍乡市,2013-01-24,142.29472,147.72453,44.561535,25.56334,2.7497663,29.193825,280.2553,77.00681,98527.88,0.09668937,-2.370824
萍乡市,2013-01-25,116.172226,132.66438,29.655592,20.391592,2.6728,28.742289,279.87637,59.959824,98599.23,-3.6462474,-1.440372
萍乡市,2013-01-26,98.80345,106.2869,30.960503,13.611082,1.8276983,36.782665,282.44992,52.760006,98452.72,-3.0296364,-0.7862684
萍乡市,2013-01-27,111.52487,128.03685,34.541058,15.809749,1.8913316,36.682266,282.31265,48.141647,98846.04,-5.203758,-2.2232082
萍乡市,2013-01-28,100.08635,120.11673,31.364271,13.233174,1.2925814,44.06561,283.63354,46.190163,98596.48,-4.407116,1.5140527
萍乡市,2013-01-29,86.60425,107.660194,28.824707,9.467329,1.2054316,53.05548,286.40958,52.37568,98495.53,-1.7330649,1.0915983
萍乡市,2013-01-30,70.91487,87.84303,26.88576,15.370602,1.1280667,58.269882,288.42175,64.88931,98445.05,-3.052197,3.6638358
萍乡市,2013-01-31,86.544945,103.07126,22.933147,21.324524,1.3172145,38.6057,289.78043,74.73673,98242.32,2.1876702,7.314077
萍乡市,2013-02-01,63.354927,74.81644,21.083826,20.7112,1.136064,39.38365,288.27954,84.959465,98412.336,2.7164574,1.1562257
萍乡市,2013-02-02,115.68178,102.17496,25.3955,24.07968,2.0332048,27.24812,284.66348,93.65204,98716.734,-2.8109682,-1.4920017
萍乡市,2013-02-03,93.28549,104.87466,27.315252,22.587679,2.098473,39.787674,288.2538,83.301544,98214.15,0.30555505,3.4985962
萍乡市,2013-02-04,65.14054,63.948486,16.354502,16.456991,1.5020208,26.893852,290.19418,87.05433,98147.23,1.6488179,3.7213564
萍乡市,2013-02-05,46.152752,49.129936,18.88622,16.113747,1.317459,18.309944,284.03644,92.30272,98265.37,2.5819125,-0.7429206
萍乡市,2013-02-06,82.74435,77.805984,21.146864,13.790147,1.7158802,29.148067,282.98355,85.497314,98231.15,-3.133111,-0.99577785
萍乡市,2013-02-07,28.247356,38.81102,15.76683,20.059313,1.5927763,20.77852,279.23715,90.97433,98239.13,-5.99337,-4.0967646
萍乡市,2013-02-08,34.636826,32.29973,10.345907,11.277608,0.62453926,46.71448,272.25333,86.81531,99129.48,-5.1502137,-5.3319035
萍乡市,2013-02-09,60.9296,53.968433,15.88857,9.003716,0.6152472,54.37472,273.5095,75.026405,99013.06,-2.1112373,-1.7676951
萍乡市,2013-02-10,98.072174,86.18383,22.062395,8.484314,1.0464196,39.756508,277.24716,71.14561,98565.445,-3.7230818,0.058028776
萍乡市,2013-02-11,62.59881,82.91257,15.176296,13.078381,1.0168186,35.42399,277.5373,81.69245,98565.125,-3.7985852,-1.0498409
萍乡市,2013-02-12,115.85037,110.32074,17.916504,13.970553,1.1028991,54.27472,278.54807,84.85909,98910.27,-0.084197916,-2.4758186
