city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
襄樊市,2013-01-01,51.28287,60.023026,33.977165,17.849503,0.5173922,41.09868,276.32874,39.491825,98004.87,0.37833026,-1.1784931
襄樊市,2013-01-02,66.79318,75.01246,29.16722,23.564425,0.6450457,25.013556,269.92627,51.867687,99018.16,-5.063147,-5.412544
襄樊市,2013-01-03,66.18285,77.1677,33.292446,21.364553,0.6265987,27.231474,268.01477,39.612503,99638.07,-2.7970219,-3.5640326
襄樊市,2013-01-04,86.23007,97.68365,35.000076,18.690506,0.7564024,32.529648,268.31418,32.409397,98845.09,-2.4498038,-0.730039
襄樊市,2013-01-05,118.54883,131.52502,53.743614,19.395584,0.92137945,36.12108,270.7136,34.676315,98398.2,-0.874682,-0.65777403
襄樊市,2013-01-06,164.74608,180.37099,70.16635,22.871092,1.075819,32.48038,272.33182,35.7624,98389.07,-0.8577828,-0.6481866
襄樊市,2013-01-07,174.9136,189.72015,78.18522,20.025816,1.1204957,38.240494,274.15076,37.273815,98144.02,0.070932426,0.17861587
襄樊市,2013-01-08,249.32567,269.2724,87.56975,30.453932,1.516883,25.759094,274.35443,40.225742,98404.8,-0.48904327,-3.3361433
襄樊市,2013-01-09,190.07265,208.40343,56.958813,28.318077,1.3351568,22.103605,272.94144,48.52026,98670.9,-1.6548748,-2.1743948
襄樊市,2013-01-10,154.95284,168.78629,60.889378,25.136805,1.1493886,29.349165,275.11615,46.6212,98409.12,-0.93730545,2.830528
襄樊市,2013-01-11,149.45322,162.7685,62.550014,20.122574,1.0957962,37.744175,277.67963,42.258953,98355.4,1.7166607,-0.8258991
襄樊市,2013-01-12,92.2206,102.37562,51.42621,18.96367,0.76750433,36.053642,277.8193,38.25216,98168.67,-0.9168176,1.7187982
襄樊市,2013-01-13,137.46585,151.54843,64.39115,22.48528,1.0294896,38.241875,278.7314,45.95692,97765.45,-0.24191555,0.13464445
襄樊市,2013-01-14,245.65698,266.86142,69.80709,27.786629,1.6574849,35.041584,277.2091,53.917164,98159.16,-2.1416254,-0.13733555
襄樊市,2013-01-15,217.50104,233.63823,62.275692,19.513195,1.4177638,40.257168,278.4137,51.156796,98208.35,0.7197341,-1.6721781
襄樊市,2013-01-16,142.04245,157.48695,61.33959,25.671907,1.0229001,27.694658,277.57272,47.58345,98551.805,-1.2338027,-2.5736983
