city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
西安市,2013-01-01,63.438152,120.84132,36.418667,28.11502,1.6192108,38.25864,272.39767,30.842749,90801.85,0.7298366,-0.53700197
西安市,2013-01-02,55.215263,116.84177,50.857513,28.822437,1.7417543,31.404675,266.4807,49.04024,91688.87,-3.9864268,-2.9747524
西安市,2013-01-03,28.686523,50.44251,30.47163,21.028313,1.5046676,40.784554,263.77652,36.555088,92120.97,-2.6092963,-1.3711555
西安市,2013-01-04,89.07626,128.69733,73.082436,33.725143,1.9069175,28.359434,266.14917,44.50568,91258.055,-1.9650866,-0.24436559
西安市,2013-01-05,132.2854,186.81862,83.75641,47.683525,2.2872744,31.171574,267.69464,43.15467,91088.76,-0.061396904,-0.8304457
西安市,2013-01-06,163.71419,210.13493,56.448143,50.174866,2.3982382,28.748325,268.8225,38.700455,91094.34,0.4151828,-0.4172713
西安市,2013-01-07,179.44284,237.61736,63.998264,41.761555,2.756782,36.202526,270.56934,44.516434,90953.56,2.237731,-0.31577322
西安市,2013-01-08,171.36118,214.98586,47.634525,42.638283,2.4605613,35.375896,269.78128,34.320366,91311.36,2.2061167,-0.7978759
西安市,2013-01-09,122.24631,169.91927,52.772396,40.56928,2.4762335,34.808895,270.52197,37.093987,91221.48,-0.799049,1.0598979
西安市,2013-01-10,188.00475,232.32056,71.609055,54.845108,2.857712,30.524517,272.96182,47.014366,90968.77,0.762916,1.7443843
西安市,2013-01-11,127.22336,190.61075,47.66487,36.913063,2.2486892,45.190983,273.63895,35.65279,91258.38,2.9375231,-0.009088729
西安市,2013-01-12,101.257965,163.42574,54.31786,38.44111,2.087981,42.99593,275.56772,31.880035,90769.34,1.3522197,3.3197045
西安市,2013-01-13,187.03668,244.12108,66.691475,49.272858,3.0776775,38.451553,275.81644,36.58444,90605.125,0.40249595,0.32303983
西安市,2013-01-14,255.96918,332.80093,69.67966,57.001297,3.389184,35.149906,275.71146,37.71246,90893.77,-0.96677595,0.9637195
西安市,2013-01-15,53.311817,161.79034,39.56677,28.678312,1.8817481,53.653267,273.22937,34.057056,91215.73,3.3874872,-0.6860351
