city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
许昌市,2013-01-01,86.354256,236.70224,57.75737,43.03467,3.0415895,30.376238,273.58652,36.97615,101051.24,0.31364098,-4.1938353
许昌市,2013-01-02,50.061474,84.74174,33.29016,28.775032,2.890297,29.677576,267.60837,43.620815,102388.0,-4.9786854,-6.0116405
许昌市,2013-01-03,53.653904,91.16503,51.548374,37.307217,2.8204362,23.199465,265.79034,36.449524,102884.49,-2.0467274,-2.4061093
许昌市,2013-01-04,83.4946,129.46516,65.95176,44.630966,3.103336,22.344498,267.47675,29.769188,102016.08,-1.0862908,0.7760376
许昌市,2013-01-05,139.42076,244.58287,91.23583,67.89432,4.6177974,20.102411,270.02283,29.691988,101461.35,0.1271026,0.8357006
许昌市,2013-01-06,249.33081,370.7271,163.29831,78.526566,6.0377216,37.176125,270.8021,40.33766,101446.95,-0.5410051,0.37262642
许昌市,2013-01-07,188.51714,269.2304,124.79432,75.24649,3.5171304,16.645964,273.3858,34.64636,101101.25,1.2275119,0.09514294
许昌市,2013-01-08,436.6713,543.9749,165.87282,115.126884,7.216499,12.596472,272.28107,49.367775,101507.62,-2.704808,-5.910358
许昌市,2013-01-09,234.06122,285.6924,123.624435,78.266136,4.672626,14.667649,271.167,59.3489,101790.875,-2.3120937,-2.648506
许昌市,2013-01-10,353.69006,504.5641,108.59429,102.35427,4.554233,17.13772,273.8932,58.152664,101437.0,-0.49361742,3.9842222
许昌市,2013-01-11,303.60596,431.0039,94.759056,85.552216,4.4891467,22.798464,277.36005,40.811607,101231.32,5.005523,-0.009095387
许昌市,2013-01-12,370.6367,490.06174,78.25218,96.32751,4.988276,23.034437,276.68304,34.475,101124.53,0.0063272147,2.1207764
许昌市,2013-01-13,272.06473,350.9731,77.28915,71.69571,5.695691,20.322357,275.64606,52.083298,100794.09,-1.1765962,-0.91350824
许昌市,2013-01-14,421.41016,563.54126,75.747505,91.41733,7.4186864,17.54522,275.13058,53.799534,101212.375,-1.3474365,-0.81582457
许昌市,2013-01-15,333.06326,471.73172,87.106926,82.519135,6.153621,17.338945,276.45947,53.316994,101157.38,0.60757166,-1.4479406
许昌市,2013-01-16,319.75882,497.45184,71.10996,87.6369,6.3962812,13.53987,273.7937,57.586536,101659.16,-2.1873019,-4.299556
许昌市,2013-01-17,163.11028,215.34972,117.60949,58.305973,3.785081,19.776594,271.9819,57.587936,102481.0,-2.5085962,-3.6691644
