city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
赤峰市,2013-01-01,5.908111,6.798586,5.2720265,2.8158627,0.25785837,45.911842,247.01329,51.473778,91644.09,8.333523,-6.872126
赤峰市,2013-01-02,4.326261,4.9049234,2.7733765,1.5969033,0.23459879,55.211647,248.54395,51.322296,92660.125,10.22626,-7.3085275
赤峰市,2013-01-03,6.0607905,7.5442967,4.8206983,3.146257,0.25653875,54.39672,253.06432,50.94068,93229.54,8.459455,-3.9025354
赤峰市,2013-01-04,13.59666,16.500164,12.133213,6.1368165,0.3195472,55.755905,255.24286,42.302254,92427.81,8.193873,-1.1112974
赤峰市,2013-01-05,10.258641,12.476992,8.033296,4.8020163,0.2844449,55.309437,254.68533,51.240913,92342.305,7.3146954,-3.9809449
赤峰市,2013-01-06,18.169308,22.729645,18.83094,7.803288,0.40930915,51.7072,254.13484,61.10502,92265.695,5.2216725,-0.80729777
赤峰市,2013-01-07,17.849604,23.922892,18.19424,7.5553823,0.39342824,47.03968,251.75992,66.950836,92260.055,4.228351,-3.5015178
赤峰市,2013-01-08,11.079237,14.320384,8.966402,4.5878572,0.3037505,48.661777,249.44412,59.767635,92513.195,6.318215,-3.3591251
赤峰市,2013-01-09,8.101133,10.057834,7.190863,4.0230875,0.27476963,50.59953,251.47865,56.624672,92325.2,7.511139,-2.8555417
赤峰市,2013-01-10,24.959534,30.826006,18.167784,11.515194,0.44566923,43.42204,253.54623,66.08506,92279.016,3.598058,0.6930397
赤峰市,2013-01-11,38.166126,47.8526,24.004997,14.316591,0.56536806,36.08402,253.1531,73.08674,92009.35,4.3772297,-1.3238168
赤峰市,2013-01-12,13.064802,16.342703,10.553246,5.984048,0.30533355,44.96851,255.10066,67.12289,92071.35,4.7931547,-1.3798604
赤峰市,2013-01-13,28.273235,34.647873,16.396296,11.167323,0.4394346,41.197308,257.46268,68.26233,92005.9,4.87769,0.92127305
赤峰市,2013-01-14,20.3799,26.508974,14.554681,8.837798,0.42106444,42.71548,255.65097,66.120316,92494.984,2.4820218,-1.7535125
赤峰市,2013-01-15,33.285637,39.438133,16.252726,13.328729,0.4823896,31.737514,253.20503,76.265434,92219.88,2.49075,-1.037457
赤峰市,2013-01-16,9.555423,11.38954,6.225973,3.871049,0.24741153,45.53744,252.28133,61.89166,92876.64,5.5947685,-5.8061786
赤峰市,2013-01-17,10.130653,12.1641035,7.921758,4.7252946,0.2787059,49.116898,258.0704,55.63765,93060.7,6.520762,-1.5476017
