city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
迪庆藏族自治州,2013-01-01,3.3787386,3.702531,0.8117836,0.93142873,0.1286375,76.85574,271.2097,59.652233,66841.51,3.9075842,-2.4186432
迪庆藏族自治州,2013-01-02,4.714344,5.2388453,1.1340585,1.1440156,0.13239591,76.92023,274.2681,51.789474,66877.44,6.79284,1.256902
迪庆藏族自治州,2013-01-03,8.202788,9.1140585,1.6682521,1.0741966,0.16842912,81.17701,271.37442,74.18876,66906.15,6.8631773,6.351061
迪庆藏族自治州,2013-01-04,10.141019,11.099944,1.9149762,0.5758741,0.17890976,83.49655,270.46524,79.75969,66766.94,9.655693,3.4931479
迪庆藏族自治州,2013-01-05,11.236462,12.396593,2.3049014,0.87249494,0.18069181,84.57766,270.8406,69.32731,66705.11,8.773936,2.418784
迪庆藏族自治州,2013-01-06,8.9684305,9.821117,1.8644351,0.635429,0.17906193,86.8503,270.27765,51.937164,66668.766,11.36583,3.7751997
迪庆藏族自治州,2013-01-07,10.276301,11.208453,2.128168,0.626387,0.1961869,84.93854,268.8884,64.35101,66575.53,9.751013,4.111007
迪庆藏族自治州,2013-01-08,16.906288,18.371199,3.449475,0.5381624,0.20607024,79.604996,267.5143,77.65905,66476.484,9.3425665,4.101127
迪庆藏族自治州,2013-01-09,15.661145,17.16285,3.2760043,1.2048292,0.19795492,75.77479,267.94513,74.2604,66550.49,4.9860106,3.2079175
迪庆藏族自治州,2013-01-10,11.629245,12.797189,2.3205357,1.2602247,0.1807212,77.82644,267.21112,82.91574,66483.65,4.6235614,3.4681878
迪庆藏族自治州,2013-01-11,11.588526,12.850446,2.3414836,1.4860688,0.18722023,77.82264,266.8543,83.07924,66629.1,0.3444662,1.8735521
迪庆藏族自治州,2013-01-12,9.660561,10.639022,1.9775362,1.3235403,0.17613,77.35261,268.29504,59.353207,66803.68,3.7807648,-2.106911
迪庆藏族自治州,2013-01-13,3.4548948,3.9366403,0.9725441,1.1890823,0.12665272,71.23557,270.57657,34.90032,66785.4,5.952306,0.5467895
迪庆藏族自治州,2013-01-14,5.964726,6.65826,1.0873306,1.0844959,0.13311689,70.078926,269.36536,63.79107,66656.93,6.157562,1.9198129
迪庆藏族自治州,2013-01-15,5.911618,6.609361,1.1914095,1.2084445,0.13515964,71.72394,270.80905,61.576572,66901.93,4.9992723,0.55111086
迪庆藏族自治州,2013-01-16,5.5820675,6.2324347,0.943451,0.96886164,0.1289282,68.73663,271.99976,62.715145,67075.13,7.861165,1.0728388
迪庆藏族自治州,2013-01-17,5.1443334,5.8371153,1.1655279,1.3029767,0.13017261,66.25096,273.6549,50.802437,67322.78,4.1203117,1.4189656
迪庆藏族自治州,2013-01-18,4.290404,4.8471313,0.96554446,1.1891859,0.123851374,70.98346,274.6807,52.490444,67400.41,6.4208083,0.3190795
迪庆藏族自治州,2013-01-19,3.5731907,4.0097165,0.77778167,0.9427084,0.11177737,75.32149,274.40646,47.846764,67166.23,9.139883,0.3272499
迪庆藏族自治州,2013-01-20,5.574035,6.211093,1.1225291,0.7898761,0.13340025,78.34799,271.09183,68.345924,66987.59,8.75987,2.5740948
迪庆藏族自治州,2013-01-21,7.8734365,8.72,1.481689,0.6456264,0.15738952,81.73215,269.9962,74.84683,67024.42,8.776691,2.8451366
迪庆藏族自治州,2013-01-22,5.522565,6.187113,1.2215805,0.98109406,0.14277929,82.55347,269.67484,50.622555,67107.58,5.6371813,0.046648312
迪庆藏族自治州,2013-01-23,4.4922223,5.106992,1.1176159,1.1625262,0.13308285,83.0176,270.1927,38.288944,66980.2,6.589963,1.2496129
迪庆藏族自治州,2013-01-24,4.938381,5.546678,1.3209233,1.1967279,0.12823887,75.73306,270.10107,38.712082,66970.98,3.7080724,0.78083956
迪庆藏族自治州,2013-01-25,4.6921077,5.3400264,1.0300689,1.0663531,0.13476704,80.63066,269.54092,41.896717,66864.62,7.1165504,2.2758799
迪庆藏族自治州,2013-01-26,2.994064,3.3946617,0.7688956,1.1308845,0.12786815,76.48819,269.8162,40.933693,66888.664,2.3555446,-1.5803708
迪庆藏族自治州,2013-01-27,6.018573,6.8656464,1.6582531,1.4324397,0.1410184,77.46595,269.63904,53.06949,66995.62,3.1358478,3.280944
迪庆藏族自治州,2013-01-28,3.3106377,3.7335281,0.8352222,1.0859733,0.12856819,79.03839,270.58246,42.965206,67031.63,4.343316,-1.5633092
迪庆藏族自治州,2013-01-29,3.6777117,4.1662145,0.9014285,1.1116438,0.117555924,78.16833,271.6908,42.19599,67018.76,6.2836757,1.6654171
迪庆藏族自治州,2013-01-30,4.934547,5.527817,0.9766661,1.0232725,0.13700289,81.522705,270.1426,63.47081,67051.94,6.2988143,2.620292
迪庆藏族自治州,2013-01-31,3.7716906,4.221454,0.8031636,1.0125569,0.1257954,78.87214,270.97336,52.22262,67144.48,5.994692,-0.21973434
迪庆藏族自治州,2013-02-01,4.059071,4.6008396,0.90949214,1.2065594,0.12705773,79.51119,272.61536,40.498478,67221.76,5.161846,0.45555374
迪庆藏族自治州,2013-02-02,4.726853,5.387912,0.79109794,1.2410413,0.1293048,81.142624,271.3568,59.146847,67202.195,4.681021,3.105233
迪庆藏族自治州,2013-02-03,5.0214815,5.654804,0.62523466,0.8857447,0.13430095,82.25303,269.73764,74.8732,67077.695,6.85771,1.6808155
迪庆藏族自治州,2013-02-04,4.663123,5.2357335,0.6507573,0.9922054,0.13356292,80.68611,270.11163,76.525,67110.47,7.1381464,0.23856886
迪庆藏族自治州,2013-02-05,2.3314881,2.6354084,0.46445823,1.1867423,0.110946655,69.71166,274.95114,38.085796,67397.53,4.470801,-2.6022263
迪庆藏族自治州,2013-02-06,2.8320637,3.1697245,0.56327516,1.1135976,0.098386586,69.11108,276.69656,42.75998,67260.87,7.6839876,-1.008627
迪庆藏族自治州,2013-02-07,4.9752607,5.555804,0.80758834,0.86924195,0.10698101,71.87081,276.45425,49.815678,67057.17,10.025884,0.23739292
迪庆藏族自治州,2013-02-08,9.554227,10.6122,1.7129526,0.7777876,0.1399974,77.99431,273.8663,76.07911,67030.47,9.277208,3.612566
迪庆藏族自治州,2013-02-09,7.9992747,8.8407345,1.3536686,0.6030773,0.14285004,80.86213,272.2473,82.504745,67029.88,9.872588,1.6007473
迪庆藏族自治州,2013-02-10,5.733082,6.3860207,0.97835755,0.87853926,0.12544076,83.90547,271.75095,58.942173,67050.32,8.108976,0.82809937
迪庆藏族自治州,2013-02-11,5.700077,6.3707995,0.9306883,0.83896804,0.12895685,79.20613,273.1919,53.059093,67025.01,9.786196,2.1661484
迪庆藏族自治州,2013-02-12,5.3849,6.024154,0.85569894,1.0145562,0.12356214,73.726166,273.6821,52.81487,67146.09,8.482878,2.465438
迪庆藏族自治州,2013-02-13,5.0760264,5.675404,0.79548407,0.8790122,0.12505004,79.9482,273.51248,53.458096,67040.86,10.215809,2.4969525
迪庆藏族自治州,2013-02-14,7.445094,8.263444,1.0355531,0.63054913,0.14161214,83.86322,272.71924,72.20763,66972.29,10.414964,3.0483506
迪庆藏族自治州,2013-02-15,7.500281,8.354431,0.99444383,0.78641015,0.14038645,79.2789,272.94647,62.45001,67065.26,9.4167795,2.473083
