city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
通化市,2013-01-01,43.63533,54.137085,23.19473,23.51861,0.6273328,25.378988,251.04207,73.45483,95334.81,2.2807732,-0.19533455
通化市,2013-01-02,31.737326,39.10001,20.011166,20.223337,0.55772847,27.422808,245.37123,71.048096,96338.85,4.046221,0.7767648
通化市,2013-01-03,33.286636,40.979897,18.407747,20.004463,0.5578512,30.222462,249.443,74.80029,97054.08,3.5854547,0.5909679
通化市,2013-01-04,35.89359,47.145878,24.637512,22.73082,0.6253622,31.697283,254.90129,68.438614,96640.734,1.1324506,3.8689156
通化市,2013-01-05,55.211567,62.485085,21.025946,21.308548,0.67657965,34.60656,256.09927,82.24183,96103.375,2.8836007,1.1794366
通化市,2013-01-06,44.39678,50.252705,15.72648,20.088015,0.55941916,32.210194,253.39526,75.49732,96325.945,0.65007985,0.16999526
通化市,2013-01-07,69.472916,80.00478,24.416464,25.47721,0.77892816,31.953617,255.44551,74.42735,96132.35,0.35938054,0.0049588764
通化市,2013-01-08,99.07349,116.954544,25.783882,31.96971,0.93861,30.032404,250.18015,74.56041,96351.09,1.7915586,-2.1278741
通化市,2013-01-09,66.232254,76.26132,26.99093,29.400135,0.7412286,25.072994,248.6337,72.82072,96260.875,2.4277492,0.03520881
通化市,2013-01-10,63.098946,79.33476,33.287975,32.35189,0.8034328,23.758522,251.02805,74.3755,96476.93,1.555526,1.5331324
通化市,2013-01-11,66.769714,75.4116,21.68161,21.181604,0.7181252,33.285946,261.01447,81.92954,96145.06,1.4926455,5.4069157
通化市,2013-01-12,133.93597,151.33821,31.78523,36.45537,1.0043389,23.60593,255.38947,81.229576,96043.55,2.3288429,-0.8183031
通化市,2013-01-13,86.56993,103.672775,21.873491,27.67703,0.8377754,36.005604,258.734,73.63276,96210.49,-0.06339103,2.55237
通化市,2013-01-14,162.70418,180.29053,38.204216,38.71107,1.1952416,27.23538,254.13075,79.87015,96284.55,1.8425546,-2.453257
通化市,2013-01-15,101.13498,114.13423,19.696844,27.36142,0.8224804,36.645115,255.53545,63.450153,96302.95,-1.8940856,-0.36942026
通化市,2013-01-16,93.083206,104.86591,20.467232,25.373468,0.7812509,37.293118,252.74043,77.13963,96450.086,0.19474033,-3.5302417
通化市,2013-01-17,97.126335,115.83897,23.03369,27.251978,0.8587097,36.678123,251.28853,72.882965,96944.81,0.40228346,-2.1214623
通化市,2013-01-18,59.840656,70.614845,22.532158,22.929722,0.7171486,35.72503,258.83478,68.367966,96397.85,0.45897526,4.330498
通化市,2013-01-19,141.60747,160.97923,31.609247,37.18956,1.1649023,28.024525,255.41316,80.78388,96597.1,1.5641015,-1.2199829
通化市,2013-01-20,74.72734,100.16577,20.641497,25.07675,0.8398448,38.896774,262.53018,54.058292,96907.58,-2.1832871,0.5563443
通化市,2013-01-21,77.22626,99.89341,20.445532,23.11902,0.87224793,35.921074,263.90683,81.897156,96498.81,-0.6157207,-0.5163289
通化市,2013-01-22,85.90759,111.63242,21.170813,24.76829,0.8168591,38.055973,258.1862,73.40228,96355.86,-1.5619955,-2.986637
通化市,2013-01-23,71.22107,89.3363,18.85434,20.495478,0.83692396,41.11245,264.29825,83.88085,95441.24,1.3168502,5.267182
通化市,2013-01-24,52.209194,64.47614,19.036942,17.094166,0.57219183,35.45164,251.95451,74.83289,95246.09,6.693269,-1.5342325
