city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
遵义市,2013-01-01,63.06057,88.51251,40.192673,16.248592,0.84764415,46.887096,276.95364,46.730385,90689.46,-1.1159425,1.9022168
遵义市,2013-01-02,80.434296,119.57323,34.836815,15.768401,0.908188,40.53335,276.49203,64.19891,90840.51,-5.1426373,1.6969733
遵义市,2013-01-03,50.742878,66.68459,21.223345,11.911784,0.6987225,38.484253,270.3201,67.07515,91671.35,-5.9758987,1.2766925
遵义市,2013-01-04,53.795498,61.309406,23.46463,7.4631543,0.64754105,44.400944,268.89523,75.892624,91004.06,-5.9678817,3.0029006
遵义市,2013-01-05,72.013855,85.402145,25.405285,7.1655273,0.7898827,44.98598,270.81525,68.71645,90775.43,-4.0283384,0.7906876
遵义市,2013-01-06,88.51391,113.51119,32.750046,9.235241,0.9080028,44.180096,271.4895,67.860725,90846.516,-3.8680177,1.8430337
遵义市,2013-01-07,96.87885,118.97512,37.788406,9.440628,0.97731936,54.603573,272.1522,75.25595,90755.12,-2.2294846,0.17191176
遵义市,2013-01-08,103.53471,120.58076,38.570385,9.599312,0.9617742,55.82781,272.8029,85.8773,90928.734,-1.6120187,-1.3504753
遵义市,2013-01-09,129.46376,168.39053,49.167,13.824545,1.1402212,44.617847,272.9506,72.89618,91135.586,-3.288842,1.0709294
遵义市,2013-01-10,152.18076,183.17252,48.801136,20.60917,1.3707764,41.335262,272.86426,57.697952,90985.76,-4.782324,2.296957
遵义市,2013-01-11,123.765755,136.44826,43.716236,10.510282,1.1521363,52.248497,274.55093,69.05985,91146.81,-0.716669,-2.0859172
遵义市,2013-01-12,142.97647,138.82585,56.13241,14.265451,1.2585053,48.64345,276.58334,63.031605,90879.26,-2.1706512,1.9517114
遵义市,2013-01-13,167.20084,163.07355,68.36333,23.047186,1.605084,43.706562,279.1836,60.53427,90456.22,-2.2548857,2.3994455
遵义市,2013-01-14,150.15266,166.38539,50.71241,14.104764,1.4319628,44.202106,278.73306,65.358475,90656.4,-5.280677,3.1985233
遵义市,2013-01-15,142.14485,157.19344,38.232307,11.883118,1.2436544,42.294407,278.02597,77.880684,90949.61,-0.86655796,0.13356753
遵义市,2013-01-16,159.09406,172.5179,41.823433,12.89257,1.3497021,36.096302,277.6047,89.73575,91085.234,-3.0239503,0.49518526
遵义市,2013-01-17,127.21265,149.4589,37.467323,15.317464,1.3214923,39.71489,276.192,78.739716,91660.69,-3.9553,0.8634738
遵义市,2013-01-18,123.202,164.19252,38.10316,25.397875,1.2424107,39.161327,275.91855,63.94802,91357.41,-5.1292615,4.4098973
遵义市,2013-01-19,93.247955,132.69112,32.76536,16.828833,1.2165836,37.32344,278.9656,81.86778,90422.91,-3.3265572,6.8467746
遵义市,2013-01-20,98.79891,126.2643,37.776676,14.64674,1.1802433,42.01194,281.53433,78.033455,90421.734,0.11553154,1.7614411
遵义市,2013-01-21,104.80762,125.95799,33.82712,13.893073,1.2087603,37.695297,278.60034,81.12005,90979.48,-0.39676106,-1.085427
遵义市,2013-01-22,100.87366,113.89143,29.773548,10.359699,1.0434425,40.16666,276.738,86.47304,91078.12,-3.227123,1.2623
遵义市,2013-01-23,105.16378,121.81899,41.36627,13.684295,1.3802832,39.237293,278.00015,79.71899,90795.305,-2.3926456,2.3773477
遵义市,2013-01-24,91.27843,109.69193,28.709625,13.452434,1.0293316,47.79913,279.81042,64.71968,91040.62,0.8874681,-3.0958986
遵义市,2013-01-25,85.80381,112.03484,35.719543,15.73958,0.965431,42.421127,278.6398,55.171658,90867.66,-4.021213,4.1002226
遵义市,2013-01-26,74.95106,100.81659,30.500095,13.390127,0.84924734,53.354946,280.48514,53.317165,90903.4,-0.43886712,-0.8291074
遵义市,2013-01-27,116.30415,156.4344,42.170643,19.021496,1.1133391,47.615414,280.80475,53.907543,91171.55,-3.7103064,2.85846
遵义市,2013-01-28,108.77023,154.6957,42.022682,19.165745,0.96918964,46.026123,281.98145,52.747757,90724.586,-1.5761893,5.0714164
遵义市,2013-01-29,80.38375,102.27368,34.091984,12.622163,0.868437,48.013775,282.26544,74.372,90657.39,-2.564461,4.3070116
遵义市,2013-01-30,75.5097,94.64888,33.399258,13.07314,0.92565024,49.843628,285.47754,76.07364,90544.38,1.1290038,4.131183
遵义市,2013-01-31,52.28615,70.69304,26.789982,12.236972,0.6506552,49.81493,288.49768,64.308815,90346.45,3.440061,3.4390109
遵义市,2013-02-01,88.31001,115.32646,29.93778,13.145568,0.8291011,43.426624,284.69833,80.89457,90708.56,-2.1205676,0.51070887
遵义市,2013-02-02,137.71121,158.2616,30.43428,13.962903,0.9788319,30.114279,281.71603,92.78893,91000.19,-3.5882027,1.1027244
遵义市,2013-02-03,77.38597,81.6401,21.33685,10.560589,0.64608365,55.36044,288.84738,56.433994,90272.78,2.7534266,6.474783
遵义市,2013-02-04,58.55956,75.64977,22.927458,11.778129,0.61084574,52.902744,287.73306,57.85974,90302.17,0.4071497,3.778749
遵义市,2013-02-05,91.68673,112.00117,23.58253,11.567188,0.74189746,48.7055,285.19943,75.48968,90575.75,-0.6350109,-0.3741402
遵义市,2013-02-06,111.008995,133.67905,23.287466,10.897229,0.88879865,35.67506,282.44165,90.19487,90388.08,-5.111512,1.4965619
遵义市,2013-02-07,92.425186,99.097206,24.771105,12.242932,0.9725568,26.58962,277.56464,92.45671,90599.305,-5.7316003,-0.039697617
遵义市,2013-02-08,32.43472,36.95172,16.072626,7.091661,0.604446,49.433712,271.12067,85.09603,91315.0,-5.207075,1.165017
遵义市,2013-02-09,44.771557,49.41355,18.662205,5.399024,0.621325,55.20975,273.59665,69.83913,91121.125,-2.3212152,1.499673
遵义市,2013-02-10,79.69023,88.57107,25.25941,6.397945,0.74180716,57.76876,279.23578,63.391956,90529.45,-4.7099195,2.8838823
遵义市,2013-02-11,73.06431,79.799225,19.522938,6.223436,0.71690786,54.115814,276.41895,86.14794,90715.09,-5.2602386,0.84511155
遵义市,2013-02-12,71.14784,80.52075,21.84127,6.0570283,0.74879813,51.125275,275.79974,83.482346,91225.84,-2.9244869,1.0325085
遵义市,2013-02-13,73.32013,84.412506,24.254646,7.108076,0.8345485,44.46669,275.53506,77.68342,90600.055,-5.634937,3.1414678
遵义市,2013-02-14,79.77917,94.90811,25.300161,6.5291533,0.7990009,45.345497,278.14825,76.744385,90482.06,-2.6429708,-0.27311724
遵义市,2013-02-15,84.75901,97.6657,29.550274,6.2488527,0.78387004,52.06528,278.74414,62.886456,90961.05,-3.5746915,1.5072501
