city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
那曲地区,2013-01-01,0.65871495,0.763813,0.09251369,0.16375865,0.116816804,79.74557,259.2281,35.980465,55046.234,8.427869,-0.47636563
那曲地区,2013-01-02,1.0677286,1.2736955,0.13698049,0.18453583,0.120500565,81.42424,262.75153,40.822483,54763.316,12.868475,0.4529138
那曲地区,2013-01-03,1.3651597,1.5730667,0.15234731,0.18639785,0.12394625,75.23911,256.78357,46.665737,54592.99,8.204494,-0.2545065
那曲地区,2013-01-04,0.8498636,1.1765105,0.09349901,0.15753315,0.122698605,79.19247,258.68588,42.50561,54556.754,12.174206,-0.06964637
那曲地区,2013-01-05,0.97671384,1.3586878,0.121900156,0.14536986,0.1232648,78.00094,257.53018,46.64587,54358.64,10.578589,0.30129483
那曲地区,2013-01-06,0.8497223,1.0655428,0.092440896,0.1299565,0.123849116,75.43561,255.16978,45.509636,54388.938,7.003779,-1.1320231
那曲地区,2013-01-07,0.7852032,0.9551784,0.08718008,0.15595554,0.11670233,71.64091,254.70316,46.11629,54279.375,5.398395,-0.9588762
那曲地区,2013-01-08,0.75974756,0.9156874,0.10018623,0.15127163,0.117164694,71.21856,253.9999,42.148632,54405.54,4.733232,-1.3721727
那曲地区,2013-01-09,0.2125306,0.3631963,0.03578931,0.15931897,0.1105176,68.74267,256.13776,39.423374,54543.465,7.835228,-2.2647843
那曲地区,2013-01-10,0.19099995,0.2873086,0.030858058,0.15842469,0.11761516,69.84326,254.94855,51.64593,54543.39,3.583882,-2.4650238
那曲地区,2013-01-11,0.14350548,0.2221287,0.025351265,0.17231631,0.116201796,71.21025,255.12268,44.157295,54777.594,5.9689503,-3.6838267
那曲地区,2013-01-12,0.082217194,0.15087412,0.01584937,0.1517244,0.12071048,70.672745,259.3176,33.704727,55006.676,9.37846,-2.5258906
那曲地区,2013-01-13,0.247538,0.44234702,0.04676425,0.16265172,0.14137173,81.31222,261.69986,45.105507,54715.566,11.68624,-1.0588465
那曲地区,2013-01-14,0.3483448,0.5056294,0.059818197,0.16346857,0.124769635,75.53139,258.39746,45.068623,54688.5,9.571714,-1.8030033
那曲地区,2013-01-15,0.27892575,0.45923835,0.043474115,0.15022537,0.11567235,73.100716,259.1254,40.829838,54858.77,9.756849,-0.72355956
那曲地区,2013-01-16,0.44644684,0.68380344,0.04603703,0.12734234,0.116668105,72.60275,259.53635,46.20243,55053.418,9.337826,0.018331429
那曲地区,2013-01-17,0.3637205,0.6481936,0.052898776,0.12155338,0.1263633,77.36657,261.37646,45.918076,55219.473,10.32037,2.2444654
那曲地区,2013-01-18,6.1251245,7.0813794,1.4758677,0.16135529,0.1519923,86.423645,263.18866,55.939266,55090.945,9.956975,7.3074493
那曲地区,2013-01-19,5.5861106,6.522363,1.1200877,0.19233282,0.14880387,90.89873,260.5322,53.0928,54651.164,14.146818,6.840336
那曲地区,2013-01-20,2.3606215,2.6789403,0.3416352,0.16977116,0.13047418,83.28432,255.30565,56.824245,54518.594,7.6373496,0.748395
那曲地区,2013-01-21,0.7403309,0.86343837,0.090821125,0.16562113,0.1247573,80.50201,252.73712,51.2467,54773.344,7.469225,-1.3318268
那曲地区,2013-01-22,0.29567257,0.34687808,0.036012627,0.18365957,0.11816145,76.56446,251.90091,51.15908,54994.703,4.1432714,0.20084585
那曲地区,2013-01-23,0.23638734,0.29034987,0.02772274,0.1679598,0.11234105,78.43872,252.12003,56.983387,54982.43,3.8026097,-0.35876974
那曲地区,2013-01-24,0.26404503,0.36202824,0.025944768,0.15407956,0.11016686,82.92668,252.89302,60.300888,54773.305,3.8236585,0.41690376
那曲地区,2013-01-25,0.2024795,0.2487604,0.021882258,0.13375512,0.12134298,85.15877,252.8905,49.38145,54927.53,5.1899824,-2.0672255
那曲地区,2013-01-26,0.13630898,0.18151397,0.017900046,0.16433837,0.12539223,84.78051,254.17279,46.149757,54915.6,3.3564377,-0.7501513
那曲地区,2013-01-27,0.19634847,0.2492481,0.025830382,0.1559453,0.120351195,80.15657,253.91086,49.942795,55052.477,5.214156,-2.6884
那曲地区,2013-01-28,0.13136856,0.21295367,0.017062576,0.14953177,0.11557525,77.05908,256.78195,50.67764,54989.086,6.8811493,0.8417637
那曲地区,2013-01-29,0.2191797,0.2839643,0.022880249,0.16822909,0.11573709,78.53546,256.5576,55.086075,54946.15,4.8416066,-1.9638163
那曲地区,2013-01-30,0.3367027,0.4150947,0.03836206,0.20845361,0.1205291,79.38885,256.87247,47.217915,54956.938,6.749788,-0.99537003
那曲地区,2013-01-31,0.17957184,0.2488822,0.020470852,0.19453424,0.11291937,70.57642,258.26633,57.88355,55106.746,6.281496,-0.19317073
那曲地区,2013-02-01,0.42885563,0.5235404,0.033348072,0.18993644,0.11965079,75.3389,257.81726,68.64587,55060.49,2.2578955,-0.23665829
那曲地区,2013-02-02,0.61830825,0.70387906,0.042933833,0.18349601,0.1223154,78.214294,257.0682,60.029232,54960.383,4.037793,-0.2724104
那曲地区,2013-02-03,0.48341146,0.57044286,0.036146674,0.2081575,0.11812531,73.4722,257.64832,63.91735,54894.52,4.8322983,0.07024269
那曲地区,2013-02-04,0.5026183,0.6234533,0.056916464,0.16553132,0.11262531,68.07763,260.6601,54.20042,55162.863,7.206626,-0.030849472
那曲地区,2013-02-05,2.2661245,2.6219244,0.3807407,0.17027125,0.11950456,75.89778,263.77692,68.3505,55385.234,5.701265,4.543572
那曲地区,2013-02-06,8.5826235,9.425823,1.5726902,0.16127776,0.14995643,85.61539,264.0217,60.822582,55247.08,10.784003,5.0482454
那曲地区,2013-02-07,2.5280497,3.0003836,0.41547868,0.13469136,0.12621167,86.5779,260.77264,58.40854,54905.484,11.398296,2.4102612
那曲地区,2013-02-08,1.2202756,1.4115365,0.22916955,0.11303325,0.13020141,99.75131,254.81126,51.935383,54865.984,5.5787687,-1.4630406
那曲地区,2013-02-09,0.677267,0.7684128,0.122836754,0.13268566,0.1363713,110.15815,255.30339,42.814213,55001.812,6.2013173,0.34137312
那曲地区,2013-02-10,0.39634082,0.5573046,0.052463375,0.16408017,0.114248216,86.00975,259.7051,48.995808,54906.85,10.994548,0.81679165
那曲地区,2013-02-11,0.32693437,0.4649314,0.041271683,0.13680762,0.108824655,75.88567,259.8747,42.834347,55012.297,11.025632,-1.0556725
那曲地区,2013-02-12,0.22196251,0.4114189,0.021032905,0.12253985,0.102597736,74.09354,260.80682,45.644653,55047.535,12.078751,-0.17700484
那曲地区,2013-02-13,0.3193117,0.48061755,0.036823705,0.12493652,0.10494772,75.59622,259.4777,50.27884,54832.348,11.62412,-0.46434817
那曲地区,2013-02-14,0.3646327,0.4610732,0.038834915,0.14786787,0.114859805,76.21775,258.34882,50.544655,54864.47,8.951894,-1.777388
那曲地区,2013-02-15,0.30992192,0.42665568,0.04538255,0.13103403,0.107367195,77.007645,259.79294,51.897068,54879.12,9.0840025,0.9857085
那曲地区,2013-02-16,2.9645498,3.3743565,0.5287833,0.11536579,0.110794984,77.80177,260.6224,59.82723,54659.535,10.036719,3.3486164
那曲地区,2013-02-17,6.196175,6.7768946,1.1396894,0.14889754,0.13290095,83.62837,261.0884,61.457153,54389.855,10.639937,5.1525216
那曲地区,2013-02-18,4.0631266,4.3446927,0.5991224,0.17769514,0.1396332,83.53954,257.06076,53.844162,54539.684,5.896298,-0.22681822
那曲地区,2013-02-19,2.0042553,2.1518502,0.2243271,0.20439422,0.12938128,75.67392,255.86989,64.800835,54741.996,5.699797,-0.5837196
那曲地区,2013-02-20,0.9094476,1.0135447,0.08123238,0.1842363,0.118563525,72.417305,254.93214,68.613,54765.797,3.6122825,-0.011711378
那曲地区,2013-02-21,0.45631588,0.51927507,0.05138067,0.16268767,0.121962324,74.07855,254.88786,63.127155,55111.75,3.0867972,-1.0524178
那曲地区,2013-02-22,0.47231558,0.5969954,0.053546563,0.1615251,0.11419217,80.61864,259.29407,56.7937,55196.324,6.8722634,1.9270434
那曲地区,2013-02-23,0.62500787,0.7701573,0.07632995,0.13057193,0.10650692,78.97502,260.40707,57.57081,55272.188,7.7440305,1.6511261
那曲地区,2013-02-24,2.2266686,2.5372171,0.41265902,0.13815773,0.117257185,80.61007,261.05518,61.347836,55216.07,6.115573,2.5323148
那曲地区,2013-02-25,2.069216,2.3094404,0.33659017,0.14478454,0.122685626,83.32297,261.63837,55.52618,55229.438,6.135572,-0.46049613
那曲地区,2013-02-26,0.81443185,0.96572566,0.11661509,0.13451426,0.10601174,75.40122,263.69513,47.989506,55356.375,9.333647,0.57193553
那曲地区,2013-02-27,0.55879366,0.7220836,0.0749246,0.11663838,0.09921836,76.03562,265.02295,37.684357,55264.05,12.252528,3.3166845
那曲地区,2013-02-28,1.0160797,1.331906,0.13526736,0.11755673,0.113545544,80.84293,263.20673,37.87351,54988.465,15.009684,2.5711336
那曲地区,2013-03-01,0.29240572,0.4335916,0.03732426,0.12539846,0.121546976,77.55796,261.41986,37.62355,55170.645,11.594881,-1.9305705
那曲地区,2013-03-02,0.15355596,0.19117488,0.015343778,0.15215811,0.12429146,79.23853,262.3269,35.56706,55512.66,5.064121,-2.210637
那曲地区,2013-03-03,0.23095593,0.2552011,0.014194269,0.16099897,0.12520824,85.01673,263.3434,33.807,55573.4,2.2933233,-2.4326146
那曲地区,2013-03-04,0.118651465,0.1370306,0.012258524,0.16074823,0.123017274,87.50004,264.56735,27.505089,55647.953,4.169948,-1.3105078
那曲地区,2013-03-05,0.3430339,0.39592868,0.025194379,0.15761812,0.114676505,79.51253,264.94394,43.100723,55575.637,4.5203147,-0.9767479
那曲地区,2013-03-06,0.55208653,0.61628294,0.035837047,0.13564464,0.12176631,82.460815,264.09976,42.225605,55641.773,-2.346567,-1.2217842
那曲地区,2013-03-07,0.89422953,1.016755,0.049922362,0.14347789,0.12561363,92.312065,265.04602,32.68056,55688.195,-2.986201,-1.2942414
那曲地区,2013-03-08,2.104741,2.3818305,0.11568235,0.16048656,0.12645364,100.59955,266.11002,29.112816,55563.09,3.1223586,-0.5043363
那曲地区,2013-03-09,1.066465,1.1800747,0.059027154,0.14738847,0.11742237,84.14633,266.49176,32.732037,55310.18,5.026659,-1.3249973
那曲地区,2013-03-10,2.277663,2.5164394,0.15901577,0.1491896,0.1208283,82.33309,265.36276,48.138172,55001.055,6.025232,1.1808349
那曲地区,2013-03-11,1.7163781,1.8451902,0.18567346,0.14935206,0.13454065,99.28441,263.95245,42.55974,55126.5,4.5039744,-3.6331303
那曲地区,2013-03-12,1.242947,1.3472345,0.13445425,0.15207832,0.1314615,96.510216,265.11505,31.044283,55320.48,2.981632,-1.9020889
那曲地区,2013-03-13,0.6571879,0.7424339,0.06476511,0.15111317,0.11663461,84.7662,265.84015,47.022976,55273.703,4.9747453,0.7159296
那曲地区,2013-03-14,1.5143338,1.6844589,0.11965802,0.13229422,0.110739976,84.51579,265.61566,54.421783,55329.453,6.9297996,0.32106155
那曲地区,2013-03-15,2.787429,3.095579,0.4505622,0.117622495,0.124204785,89.094536,265.11407,51.26405,55379.133,8.885115,1.198251
那曲地区,2013-03-16,2.0945241,2.3079517,0.32239208,0.12149046,0.1155821,90.386444,264.01685,47.91304,55409.547,7.4067864,-0.4753724
那曲地区,2013-03-17,1.3796997,1.5046382,0.15783153,0.13460465,0.11307383,88.99824,263.86993,48.88277,55252.95,3.3664756,-0.26383218
那曲地区,2013-03-18,2.3405983,2.5463533,0.224239,0.13611989,0.12215525,90.0599,262.74988,59.18469,54840.227,0.6251814,-2.7503374
那曲地区,2013-03-19,1.6725277,1.8182515,0.16778773,0.14062145,0.12980053,91.91217,262.61615,47.574574,55044.12,2.9690952,-4.900015
那曲地区,2013-03-20,0.44034052,0.48385346,0.04529685,0.14511481,0.12717175,91.54731,263.65256,47.231358,55289.188,2.2780483,-1.9771807
那曲地区,2013-03-21,1.1806424,1.2979949,0.08962636,0.15831037,0.123835176,93.37198,264.33127,56.153877,55052.44,1.4119076,-2.6546638
那曲地区,2013-03-22,0.83878684,0.9275048,0.07863704,0.14997208,0.12378927,96.327385,263.66092,48.581318,55104.836,-1.1410174,-3.2985475
那曲地区,2013-03-23,0.2812611,0.3237674,0.028568288,0.16057436,0.11966329,92.57595,265.69016,44.97983,55311.7,4.233148,-0.5461954
那曲地区,2013-03-24,1.2389442,1.3645918,0.11669807,0.12901506,0.11214237,90.829315,265.74457,55.45508,55393.645,6.6741843,-2.958024
那曲地区,2013-03-25,1.8015417,1.9803201,0.23784566,0.13231239,0.124095626,89.465836,265.53094,53.79938,55132.395,1.6796577,-1.7893568
那曲地区,2013-03-26,2.8125536,3.0168898,0.21082221,0.13276649,0.124197856,88.82355,265.39868,56.929253,54906.074,1.0660032,-0.7997558
那曲地区,2013-03-27,2.3806396,2.5011141,0.15568185,0.13402475,0.12302827,92.84862,265.49487,47.153553,55194.863,3.5538588,-3.8420694
那曲地区,2013-03-28,1.4222616,1.501485,0.073843904,0.145046,0.11284836,88.19065,265.15683,52.19926,55317.324,1.0655292,-0.74582815
