city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
邯郸市,2013-01-01,74.10847,165.37912,78.074684,40.533886,1.9915245,27.244753,268.0162,38.406506,100262.805,2.4798682,-6.318004
邯郸市,2013-01-02,41.53279,69.47359,61.170914,30.549473,1.7951605,32.931747,263.0265,37.747074,101611.04,0.53980315,-4.917544
邯郸市,2013-01-03,87.72512,145.16747,113.8527,46.561462,1.6430928,24.20752,263.49698,34.950386,101960.95,0.43224218,-1.389416
邯郸市,2013-01-04,129.14085,191.98012,119.63017,49.684254,1.9498003,22.017664,265.82037,38.907932,101040.305,0.8603923,3.3820813
邯郸市,2013-01-05,208.84222,297.14334,202.52728,69.5238,3.781724,13.2528925,267.84192,35.083176,100583.28,-0.17028083,-0.17171545
邯郸市,2013-01-06,263.58017,392.92773,219.3366,85.994965,4.455944,13.276798,268.10745,40.708027,100567.5,-0.83647573,0.31596816
邯郸市,2013-01-07,412.86255,527.874,192.69766,96.85178,5.089868,17.184475,270.55945,45.73178,100277.61,-0.629605,-0.9870577
邯郸市,2013-01-08,516.3401,674.21765,242.51294,120.08217,6.025256,12.051853,267.67642,58.199627,100808.336,-1.5161315,-5.466046
邯郸市,2013-01-09,219.3599,309.1337,161.2,72.30768,3.093005,13.473883,267.5396,57.97625,100912.01,-1.103496,0.04126259
邯郸市,2013-01-10,370.51312,493.39255,159.57411,85.21994,3.7910473,10.787041,272.0694,59.926357,100434.01,0.5888376,5.1239944
邯郸市,2013-01-11,424.0439,523.4899,180.74577,110.986465,5.238445,13.319994,274.6353,45.9479,100240.05,2.4009106,0.28030708
邯郸市,2013-01-12,407.1236,523.70197,152.00623,101.00053,5.9019847,18.386839,275.28,40.456314,100098.32,2.0936108,4.594789
邯郸市,2013-01-13,428.41675,565.9069,157.10301,116.56915,5.497518,7.816101,271.87878,62.990265,100044.125,-0.15145828,-3.9019756
邯郸市,2013-01-14,200.17738,424.44656,171.45914,96.26316,5.0600257,8.143542,272.79565,61.989166,100372.12,-1.2247967,-0.7394193
邯郸市,2013-01-15,153.199,383.3069,178.8268,81.677284,4.5332804,10.437416,272.6222,68.08909,100301.625,-0.339484,-0.20784637
邯郸市,2013-01-16,247.73784,428.20285,242.78255,98.216736,5.6884046,7.250794,271.07965,62.871822,100947.0,-2.2265627,-3.8881397
邯郸市,2013-01-17,201.73744,307.08905,136.56244,76.29143,3.773679,17.72109,270.30707,58.542793,101585.5,-0.9061481,0.05903347
邯郸市,2013-01-18,205.68599,282.76913,110.118546,76.80518,2.2933059,17.652073,274.60123,50.528927,100691.125,3.063939,6.3068423
