city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
鄂州市,2013-01-01,75.4077,97.839005,46.134914,54.20188,1.2188818,29.709988,276.40814,70.35889,102109.016,-0.8319149,0.24990372
鄂州市,2013-01-02,93.61552,108.339905,25.906122,34.32851,1.1766046,29.978405,274.68823,60.81426,102759.53,-5.2769766,-3.773077
鄂州市,2013-01-03,39.578434,41.251614,19.308899,17.757399,0.8134743,48.472816,271.91995,45.598896,103540.37,-1.4717637,-6.8155885
鄂州市,2013-01-04,96.40834,82.80516,28.6345,22.904133,0.9193966,33.167614,272.39203,46.955692,102909.664,-2.0368588,-1.6060337
鄂州市,2013-01-05,146.11086,136.98758,33.142338,32.298355,1.1234654,31.776493,273.5217,51.72462,102463.68,-1.4952924,-1.1318521
鄂州市,2013-01-06,176.53458,150.28079,38.086575,31.22735,1.3470402,36.85005,274.62283,59.112083,102439.734,-1.2213695,0.13791315
鄂州市,2013-01-07,198.0938,168.3345,41.4849,47.706734,1.4122382,55.177624,275.46075,57.423943,102253.18,-0.71060884,0.077475734
鄂州市,2013-01-08,230.24255,221.62167,42.178837,45.61609,1.7607664,45.668556,276.6228,50.55504,102337.53,-0.4943369,-2.8068266
鄂州市,2013-01-09,255.9325,219.02495,63.567787,52.231304,2.073181,39.783997,276.63266,48.480427,102605.48,-1.2744473,-1.3510786
鄂州市,2013-01-10,256.99493,230.09006,42.87977,71.14769,1.9854412,25.17529,277.01254,58.047234,102560.58,-4.456479,0.8997253
鄂州市,2013-01-11,208.98434,157.23825,29.56213,65.10408,1.6571575,19.34511,278.43222,66.63469,102395.164,-2.2017262,-0.1006731
鄂州市,2013-01-12,183.39166,160.4838,28.25412,59.18937,1.5349505,24.496843,279.26544,58.28022,102214.33,-1.6398017,-0.9074618
鄂州市,2013-01-13,192.41216,182.3615,37.283325,65.10727,1.5750124,42.322075,280.11517,60.66317,101792.34,-1.5482013,-0.38978314
鄂州市,2013-01-14,182.70883,194.93384,35.680035,50.933567,1.6833503,34.740757,280.3067,63.682903,102145.36,-2.861118,0.8437359
鄂州市,2013-01-15,186.81552,176.58994,34.190285,60.052704,1.722194,31.341736,280.4503,69.905624,102159.21,-1.8815638,-0.34325504
鄂州市,2013-01-16,207.49309,214.75919,37.68537,45.947216,1.7755617,34.586628,280.24698,59.219826,102435.1,-0.51859415,-2.6674266
鄂州市,2013-01-17,208.9305,205.69467,41.14144,29.609274,1.8241425,77.034836,277.99707,57.33819,103197.55,-1.9622202,-2.45118
鄂州市,2013-01-18,200.77058,193.53638,39.60742,54.49767,1.7878338,27.128033,276.6765,52.98353,103041.17,-4.0219913,2.2606752
鄂州市,2013-01-19,131.76962,136.26038,43.65677,59.279675,1.3245633,31.414093,279.72894,58.391197,102206.95,-5.7448435,3.7913575
鄂州市,2013-01-20,113.842384,109.817154,34.223206,43.558434,1.2581522,23.424389,281.52264,75.752754,101908.914,-3.8321567,1.1519579
鄂州市,2013-01-21,158.83153,105.21417,36.56824,46.45137,1.5805726,15.639917,277.89334,73.108345,102354.05,1.9544346,-6.217475
鄂州市,2013-01-22,184.98743,148.17535,36.273502,43.588818,1.7996143,32.767757,277.53708,65.93878,102500.13,0.50961375,-4.5098634
鄂州市,2013-01-23,140.34384,152.07227,41.354584,67.2961,1.9421946,22.389345,278.11142,69.76826,102128.07,-0.23469186,-0.018359479
鄂州市,2013-01-24,167.88701,156.62312,39.60612,44.775883,1.471988,37.998363,279.29343,61.73946,102140.125,0.253977,-4.499275
鄂州市,2013-01-25,115.53567,127.28383,29.589046,52.516197,1.0106225,42.313866,279.46555,53.267445,102190.69,-0.97005415,0.46508223
鄂州市,2013-01-26,154.19907,184.72153,40.566063,51.372475,1.3442147,50.881916,280.28278,58.019512,102070.17,-0.42227545,-2.235389
鄂州市,2013-01-27,260.4482,255.53738,44.727165,44.960297,1.7040325,68.36638,280.64673,55.082542,102493.05,-1.1412332,-1.3747741
鄂州市,2013-01-28,212.82109,198.79404,47.468437,66.54231,1.7513072,36.491447,282.63892,57.21012,102134.66,-4.4715915,3.1999774
鄂州市,2013-01-29,126.96352,128.40013,29.057556,50.915653,1.0271024,50.826683,285.09573,54.767353,101999.42,-0.12955132,1.5806025
鄂州市,2013-01-30,134.20268,129.24272,35.098557,48.904186,1.4115593,33.32862,283.84985,71.8608,101975.98,-5.5764475,2.4947743
鄂州市,2013-01-31,123.85054,90.094955,21.99935,37.10667,1.2730528,21.079393,286.47284,90.816185,101557.3,-2.1095083,1.9933048
鄂州市,2013-02-01,78.750015,50.430515,25.056385,44.20351,1.8431282,22.828312,283.7606,83.387985,101929.11,2.1507094,-3.1825128
鄂州市,2013-02-02,151.89536,137.90935,33.39069,46.115257,2.5295146,14.178617,282.62994,85.945595,102434.73,-2.5108135,-0.50596625
鄂州市,2013-02-03,122.011154,105.35797,27.339111,39.653652,2.341679,13.847896,283.9347,86.17007,101623.83,-3.8380284,2.228848
鄂州市,2013-02-04,81.56591,64.0613,23.65746,23.30318,1.2940466,22.792673,283.40894,85.05526,101696.914,-2.3628328,-1.0358415
鄂州市,2013-02-05,47.85938,40.890575,21.257528,26.561367,0.8870673,17.246603,281.1713,85.92926,101799.336,1.3356348,-3.5608196
鄂州市,2013-02-06,83.7236,74.91674,23.34599,28.493143,1.136941,50.687675,279.26962,78.58909,101932.5,-1.9422305,-0.39393193
鄂州市,2013-02-07,54.260967,47.810566,21.789455,16.788105,0.94336957,45.21589,277.7943,74.315475,102314.48,-4.4475465,-5.071701
鄂州市,2013-02-08,42.75967,36.69517,17.739063,13.333509,0.5610708,52.279938,272.31558,55.51945,103118.734,-1.1593093,-3.6980157
鄂州市,2013-02-09,73.99774,66.14189,20.85419,15.547791,0.7245616,51.776386,273.67694,67.1915,102712.61,-1.6246046,0.9445611
鄂州市,2013-02-10,113.01221,116.66301,42.792946,16.228966,0.8875893,53.312267,277.163,72.68859,102257.11,-3.627908,1.2991651
鄂州市,2013-02-11,126.87663,116.412575,30.763678,22.975796,1.0647533,50.92903,278.04816,75.8849,102310.66,-4.351338,-1.2044756
鄂州市,2013-02-12,117.88945,107.54755,22.223438,16.344032,0.82742727,78.864006,278.6599,68.83374,102579.516,0.41775793,-5.110028
鄂州市,2013-02-13,119.8572,101.841156,28.384533,23.663157,1.0906072,46.949997,279.3409,64.61052,102202.016,-4.2466364,1.7847961
鄂州市,2013-02-14,106.26864,84.18085,21.592747,23.187963,1.005129,29.619175,279.25375,75.109085,101919.05,-1.9353502,0.017923858
鄂州市,2013-02-15,121.15428,111.08571,27.695505,25.588728,1.051824,77.08385,280.25583,56.71827,102310.63,-1.9514301,-2.0332499
鄂州市,2013-02-16,84.438805,74.44429,32.417557,20.382305,0.9534494,55.23701,281.22607,68.07658,101787.13,-5.6045165,3.2164338
鄂州市,2013-02-17,82.42788,73.96239,28.273067,33.8739,1.2616338,19.173689,282.97717,87.95728,101257.22,-2.839206,0.9986307
鄂州市,2013-02-18,84.08422,66.01604,23.506681,20.11241,1.1372379,65.02447,280.49683,91.533005,101522.33,-2.2173986,-3.3552833
鄂州市,2013-02-19,31.611355,26.287472,13.059459,15.711462,0.5913545,55.123146,275.81293,82.201454,102469.45,-2.8317838,-3.1522653
鄂州市,2013-02-20,55.03175,57.531555,22.273575,29.211674,0.7046181,36.110737,277.13635,64.931366,102542.61,-2.857983,-0.5979928
鄂州市,2013-02-21,77.21477,83.68266,20.88498,32.536503,0.749236,27.398218,278.52695,76.62536,102494.984,-0.03385883,-0.96871054
鄂州市,2013-02-22,88.027504,93.32564,23.25654,30.83678,0.8505926,48.11811,278.89444,80.43536,102629.3,1.4806701,-1.1378621
鄂州市,2013-02-23,112.20852,122.2672,37.41787,42.315643,1.2270634,56.57412,282.60602,58.763683,102544.97,-4.4017677,2.0577354
鄂州市,2013-02-24,101.9193,103.4658,31.347757,32.971756,1.0231183,39.357082,285.2111,61.508263,101946.96,-4.190895,1.99858
鄂州市,2013-02-25,148.14731,151.69568,28.265827,33.55317,1.2544801,42.260357,286.59357,74.30893,101741.52,-3.9148383,0.5663892
鄂州市,2013-02-26,197.1704,160.4884,16.651653,24.966,1.5034943,35.19936,285.71463,89.673294,101603.11,-0.42819613,-2.133487
鄂州市,2013-02-27,220.76286,220.13834,26.684626,41.695774,2.0409286,21.802744,284.69742,85.85207,101568.984,-0.96515447,-0.12626334
鄂州市,2013-02-28,114.831375,119.82033,32.35832,35.148304,1.5678977,32.692345,287.2661,80.362595,100925.914,-2.069857,1.0539026
鄂州市,2013-03-01,57.204426,84.313065,23.817177,18.47659,0.8984724,39.548195,281.26797,68.96507,101906.164,-2.2534943,-7.2878866
鄂州市,2013-03-02,37.4775,51.622883,20.964226,17.866894,0.5412053,47.243347,279.4173,39.320705,102896.34,-0.776221,-2.8151803
鄂州市,2013-03-03,58.98224,74.14302,18.819416,35.940514,0.5744653,53.236134,281.00638,41.693268,102548.56,0.81612694,1.8005173
鄂州市,2013-03-04,58.24712,99.68014,23.045269,46.911907,0.6693942,53.94564,285.6745,48.10483,102276.02,2.0334997,0.7821465
鄂州市,2013-03-05,72.45143,127.12351,24.209986,44.893475,0.79618436,57.760567,288.419,40.163456,102093.42,-1.8506873,3.4345913
鄂州市,2013-03-06,69.54258,110.85368,25.918125,50.770603,0.78464365,71.41494,290.3247,37.770454,101697.27,1.0470369,3.315045
鄂州市,2013-03-07,55.741325,116.71007,17.94466,48.742912,0.50254434,62.37745,290.91574,40.886112,101613.88,2.866136,0.19962685
鄂州市,2013-03-08,83.19212,150.47395,27.733606,58.789745,0.9008557,92.73178,293.96075,39.045265,101089.086,4.6271954,4.1106534
鄂州市,2013-03-09,82.0443,137.5148,27.502808,44.58962,0.9367981,75.645645,296.95172,45.112934,100668.41,4.141654,5.836698
鄂州市,2013-03-10,43.697464,235.3975,18.352736,22.034554,0.5566308,49.95426,285.85834,57.272076,101672.54,-4.992772,-2.4775724
鄂州市,2013-03-11,47.635582,76.885414,27.964804,25.16107,0.69850606,38.392323,283.9497,66.48488,101735.95,-4.863567,0.6149405
鄂州市,2013-03-12,94.15228,106.052956,28.975254,38.22542,0.93260354,21.546482,288.14142,77.119064,100952.94,-1.732271,0.4282306
鄂州市,2013-03-13,98.98385,95.0989,23.283173,23.03268,0.7502887,30.486898,285.48273,62.075935,101791.734,-2.0288818,-6.524535
鄂州市,2013-03-14,52.318794,56.37627,24.701267,22.22213,0.61801356,60.30175,281.80432,43.411255,102450.266,-6.026458,1.2456362
鄂州市,2013-03-15,57.6422,85.7664,34.47867,34.832832,0.7749572,62.960926,284.51584,53.23217,101988.97,-3.884999,1.8274009
鄂州市,2013-03-16,79.557045,96.347275,26.011408,35.742695,1.1731399,37.771267,286.7134,80.38811,101570.42,-5.2387114,1.8201048
鄂州市,2013-03-17,66.769455,51.451996,18.245955,30.462524,0.9673766,35.171345,285.0202,96.456696,100953.98,0.64954585,-2.8645234
鄂州市,2013-03-18,66.14991,85.270065,26.16748,34.234978,0.8833448,55.616993,287.01743,77.34491,100906.414,3.6631885,2.0336604
鄂州市,2013-03-19,76.07198,90.83695,32.182724,32.630974,1.1512516,42.369953,288.3546,70.43295,100606.48,-3.0827587,3.3009262
鄂州市,2013-03-20,102.86803,101.853455,27.351986,29.179693,0.87634677,41.603405,286.92752,68.679825,101375.36,-1.4780339,-5.3725185
鄂州市,2013-03-21,73.926956,82.0437,35.73362,27.603205,0.861131,47.44229,285.4711,65.702126,101269.055,-5.480769,3.308131
鄂州市,2013-03-22,92.300476,103.54047,28.509043,30.0582,0.90071326,61.64265,291.90262,66.59645,100789.42,-1.1935523,-1.5553255
鄂州市,2013-03-23,120.11466,103.51953,25.67517,27.807117,1.0308601,34.436222,288.0045,82.88736,100963.16,-2.334118,-2.1220305
鄂州市,2013-03-24,114.323265,98.0428,32.794205,28.756994,0.89924157,41.77166,287.71344,78.98523,101198.74,-1.7962862,-1.1717113
鄂州市,2013-03-25,70.909775,76.72165,27.59959,25.562145,0.7785308,55.362236,284.29727,63.361656,101484.484,-7.3475327,1.0797783
鄂州市,2013-03-26,61.32435,53.789825,15.827993,24.974712,0.5472575,62.642864,283.07715,78.92527,101453.62,-1.4139289,-2.6793287
鄂州市,2013-03-27,71.59496,79.660965,24.162416,33.90748,0.69045436,66.43361,284.57242,72.7924,101289.5,-0.89787245,1.6143839
鄂州市,2013-03-28,83.63981,101.19119,29.969997,33.127525,0.9324797,59.69397,289.12717,59.0057,101142.64,-1.7777655,1.4174674
鄂州市,2013-03-29,139.36647,162.0893,44.49646,45.025433,1.3218503,80.39792,290.0886,61.707245,101368.11,-3.8418498,2.020455
鄂州市,2013-03-30,109.39482,109.15486,37.033447,32.825985,1.0735112,74.91976,289.49402,71.96873,101326.44,-4.5227427,2.561623
鄂州市,2013-03-31,108.93535,114.74725,33.190163,33.43116,1.0642931,71.47397,289.61884,65.71949,101559.45,-3.8395715,1.2131363
鄂州市,2013-04-01,116.36192,126.76804,37.959023,35.916496,1.0157614,69.79967,290.22516,70.998795,101293.805,-1.8705618,2.0307841
鄂州市,2013-04-02,72.29159,81.039635,22.407436,23.780441,0.6183044,84.158615,290.09482,40.128227,101632.36,-5.239922,-0.68819875
鄂州市,2013-04-03,79.537735,109.335754,44.06054,36.044052,0.86904556,87.41374,286.76306,62.586945,101087.445,-5.7960844,2.4038148
鄂州市,2013-04-04,83.306946,97.6089,31.441238,29.570225,0.96890974,59.555218,290.9491,78.96123,100499.41,-5.808264,2.3180273
鄂州市,2013-04-05,73.2927,69.70784,15.103452,18.798244,0.67700064,68.43232,289.35257,85.55848,100398.16,-2.5427427,-7.0875845
鄂州市,2013-04-06,50.157467,70.28241,11.753571,15.552698,0.43544525,81.47992,285.03278,46.489082,101423.76,0.8478017,-8.538848
鄂州市,2013-04-07,42.938152,58.71955,25.675003,27.73383,0.5120708,82.25386,285.96075,39.249302,101249.22,-3.865842,3.881628
鄂州市,2013-04-08,47.950294,73.938095,26.557205,28.369904,0.4843193,84.291565,289.81854,41.78932,101001.33,0.20978956,2.219646
鄂州市,2013-04-09,46.64914,81.0202,13.10599,16.81236,0.32849184,62.214966,287.41425,33.071266,101916.125,-1.0119011,-5.9886866
鄂州市,2013-04-10,46.812428,85.94406,19.957996,46.60465,0.36300772,59.842,286.96454,37.487305,101971.61,0.48490375,0.04731354
