city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
重慶|重庆,2013-01-01,57.293083,77.98604,33.024437,17.42812,0.82128525,53.16379,276.7704,34.298294,93601.22,-1.286185,0.17294072
重慶|重庆,2013-01-02,65.74139,92.78817,29.38097,17.557741,0.7857052,42.776672,276.75867,50.690075,93836.14,-6.026678,0.94140565
重慶|重庆,2013-01-03,48.66483,68.12191,20.54273,16.258514,0.7940396,33.902657,272.40714,51.48199,94680.74,-5.3556128,2.4134085
重慶|重庆,2013-01-04,53.064022,62.95288,22.944944,10.92894,0.7024898,39.29412,272.0738,51.382866,93997.64,-4.35776,2.44556
重慶|重庆,2013-01-05,68.44792,81.646614,25.560251,10.966265,0.8164783,42.06737,273.55295,52.22561,93754.89,-2.8976758,0.72882885
重慶|重庆,2013-01-06,83.897514,106.07787,34.327065,14.813007,0.90343267,41.69832,273.6113,59.058605,93827.62,-2.6498668,1.1697277
重慶|重庆,2013-01-07,88.67798,111.80623,35.664486,12.192383,0.9022113,52.980404,274.21234,63.98219,93724.16,-1.2483369,-0.084617704
重慶|重庆,2013-01-08,95.54754,118.246185,37.269855,12.652337,0.98365897,49.98787,274.8236,67.47346,93913.664,-2.2037423,-0.9588268
重慶|重庆,2013-01-09,121.88714,156.00009,44.31604,16.736635,1.1145681,40.122383,274.94592,55.662926,94103.58,-2.6405213,1.5704635
重慶|重庆,2013-01-10,139.17783,167.2367,41.751484,19.385004,1.1678572,40.16035,275.29236,50.257915,93943.484,-3.1774595,1.988528
重慶|重庆,2013-01-11,122.147026,150.20547,46.014114,12.39306,1.2385399,50.149586,276.8088,56.4029,94092.71,0.29049352,-0.73915774
重慶|重庆,2013-01-12,115.88857,129.4076,41.663097,13.64971,1.0756016,48.48598,278.2876,51.0063,93790.64,-1.9333136,1.5770762
重慶|重庆,2013-01-13,151.37244,151.59277,45.913185,17.775267,1.2195382,48.43263,279.80493,49.622417,93370.33,-1.7164059,0.5078404
重慶|重庆,2013-01-14,132.9863,155.1176,43.41304,13.6915045,1.2052191,44.716972,280.2172,51.383236,93589.99,-4.0351644,1.814385
重慶|重庆,2013-01-15,137.03148,159.79709,39.357315,12.392269,1.1408463,44.36334,279.3434,65.56504,93872.36,-0.5275171,0.17442067
重慶|重庆,2013-01-16,133.39595,160.63203,40.338215,13.810573,1.2037138,43.1606,278.7285,74.16052,94052.83,-2.378108,0.17029884
重慶|重庆,2013-01-17,126.24682,158.6892,39.9618,21.929283,1.2463264,34.018494,278.51752,61.189407,94600.65,-3.3712249,1.9487429
重慶|重庆,2013-01-18,99.00511,132.6469,33.457558,27.5251,1.1403947,36.003563,278.3717,47.384888,94260.82,-3.7091048,3.5208833
重慶|重庆,2013-01-19,99.32494,137.19608,32.2195,22.337423,1.1375619,36.940952,279.7444,64.41318,93305.2,-3.8422768,4.1095376
重慶|重庆,2013-01-20,110.09212,143.19128,32.318615,16.569412,1.0543138,35.277943,279.77554,78.8354,93369.84,-2.4304905,0.18928507
