city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
铁岭市,2013-01-01,48.63515,63.770176,33.17739,20.173166,0.92779,27.350815,249.44006,71.045715,99692.484,1.6953646,-3.088632
铁岭市,2013-01-02,27.96573,35.893753,18.903168,11.418327,0.66695076,40.612984,249.2164,65.01852,100736.5,4.31963,-1.5197858
铁岭市,2013-01-03,32.281437,43.1133,21.036343,13.424081,0.6769174,37.947998,253.7064,65.01149,101377.94,3.4577172,-0.98398197
铁岭市,2013-01-04,68.711624,100.40687,76.72802,34.715435,1.4252944,26.223543,257.27747,72.717285,100709.734,1.8550575,4.372976
铁岭市,2013-01-05,60.467,75.87545,34.10407,22.603683,1.0058254,32.217278,256.8607,72.825134,100311.09,2.5613956,-1.5726593
铁岭市,2013-01-06,73.30605,93.32975,33.554974,30.735695,0.9618057,27.27431,254.23877,72.71381,100540.836,-0.034245495,-0.5183144
铁岭市,2013-01-07,118.84005,160.39516,65.78479,40.37493,1.7969007,22.538567,253.60062,76.82335,100367.62,-0.22931902,-3.03293
铁岭市,2013-01-08,84.69236,107.30753,30.069664,30.305904,1.2476099,30.533403,248.33643,72.30646,100750.02,0.47337756,-2.8811917
铁岭市,2013-01-09,68.67081,88.26492,36.776646,27.413208,0.91884565,27.657692,250.13,70.159935,100583.34,1.2982141,-0.11040197
铁岭市,2013-01-10,81.132965,110.28495,51.397076,34.79416,1.145356,23.499315,251.6431,73.16549,100700.36,0.64694625,-0.24876392
铁岭市,2013-01-11,112.68401,139.50671,56.39698,35.154083,1.3735826,21.267197,256.90793,81.7591,100213.8,0.25330788,0.1332289
铁岭市,2013-01-12,159.37875,198.138,51.97281,38.694744,1.4801414,21.549192,251.50537,77.37992,100320.06,0.6473212,-2.554007
铁岭市,2013-01-13,165.43251,211.38951,50.95408,45.87732,1.6260518,27.304691,256.10284,76.78851,100292.66,-0.89681065,0.053190805
铁岭市,2013-01-14,191.34204,229.09793,54.386795,41.124268,1.5664027,27.165518,251.55952,77.39125,100643.0,0.17131731,-5.1048894
铁岭市,2013-01-15,207.20775,253.4178,45.342724,47.79489,1.7103157,24.931684,253.7651,70.628876,100487.336,-2.2804422,-2.2005877
铁岭市,2013-01-16,127.37345,162.97513,36.671143,37.800663,1.2452824,30.462742,250.3956,77.398155,100883.75,0.018566927,-5.717838
铁岭市,2013-01-17,129.13235,164.02623,43.97543,39.00127,1.223472,26.36642,250.90935,73.33677,101282.94,0.22713554,-0.9046971
铁岭市,2013-01-18,131.8253,177.85757,83.38587,47.384605,1.9255162,21.169071,259.86237,77.07325,100431.09,2.1793332,3.1067684
铁岭市,2013-01-19,148.51709,184.87498,43.532104,39.022163,1.4460356,32.82437,252.864,75.42839,100892.71,0.09099046,-3.4428537
铁岭市,2013-01-20,181.23051,235.24326,44.782906,44.18125,1.8121681,30.3263,258.84723,68.92902,100963.234,-2.4536192,-1.0962642
铁岭市,2013-01-21,220.86716,282.4684,53.028065,44.896606,2.0556216,41.696365,257.39203,82.63154,100679.77,0.13730499,-4.305772
铁岭市,2013-01-22,142.87263,189.00522,41.24074,38.461323,1.3159475,36.989063,254.87698,77.8421,100586.61,-1.5315036,-3.9283092
铁岭市,2013-01-23,163.82127,222.29448,73.53182,52.222553,1.8976902,28.585855,259.22223,78.70507,99476.15,1.4678339,1.4561589
铁岭市,2013-01-24,30.68868,49.471092,14.30744,10.302882,0.56991225,45.817146,253.59988,63.89201,99669.29,5.623136,-4.7124395
铁岭市,2013-01-25,29.633524,41.26157,18.142723,12.217641,0.59164554,47.209946,252.01306,60.889816,99985.13,4.476026,-3.0784032
铁岭市,2013-01-26,63.882805,89.61124,24.961237,20.612665,0.8299962,34.37943,249.70699,72.08309,100497.7,0.9792636,-2.569608
铁岭市,2013-01-27,96.05748,125.824554,52.09675,32.042294,1.1357092,33.414658,251.71487,71.48782,100505.48,0.13432857,0.65639055
铁岭市,2013-01-28,111.90802,145.97304,86.68853,37.831177,1.7445905,19.138603,262.3665,88.38767,99918.55,-0.25838915,3.6300666
铁岭市,2013-01-29,119.26165,153.3796,56.21078,34.34396,1.5676054,23.189447,263.92905,93.47152,100213.45,-0.6140809,1.7063308
铁岭市,2013-01-30,148.60112,199.11662,78.34978,37.730106,1.9419104,26.61751,268.74493,91.49596,100342.89,-0.25825104,6.2395535
铁岭市,2013-01-31,146.68005,199.76971,66.22154,32.735542,1.8528849,30.538641,272.34232,92.495026,100207.664,-0.8796765,6.720001
铁岭市,2013-02-01,29.73765,42.894283,15.835038,10.594632,0.6578898,44.34991,266.71442,77.52826,100068.84,3.3781009,-2.879195
铁岭市,2013-02-02,23.195444,34.94095,22.943495,13.726244,0.6609271,40.50776,256.0994,69.45851,100871.29,2.5647213,-0.1618037
铁岭市,2013-02-03,46.165386,72.06447,62.496574,24.352524,1.3477557,31.719576,263.95334,84.75415,100088.31,0.64995736,6.5563993
铁岭市,2013-02-04,40.673244,54.759235,21.297495,15.311525,0.7443615,37.238594,257.90552,78.73397,100304.45,2.3262122,-3.3171687
铁岭市,2013-02-05,71.04757,93.807945,47.754204,30.15154,1.0698173,30.27264,259.49557,70.94694,100211.63,0.62709534,2.3829513
铁岭市,2013-02-06,73.946945,93.73822,25.639322,20.058296,0.94775975,36.21916,252.28693,74.35259,100130.62,2.354898,-5.450451
铁岭市,2013-02-07,13.934487,25.039574,9.9645,6.5509176,0.41432613,53.24799,249.97466,66.90693,100831.29,4.5688415,-6.9164624
铁岭市,2013-02-08,47.838543,57.298897,17.144516,16.037369,0.6189159,40.607025,248.78493,72.60171,101206.48,0.91835904,-0.9725982
铁岭市,2013-02-09,108.49498,138.78888,70.125404,31.22344,1.297769,30.868242,253.03023,75.449394,100385.56,0.45651335,0.3864258
铁岭市,2013-02-10,67.64426,83.333534,22.412027,11.082229,0.700191,39.472633,250.08391,72.1212,100804.63,1.7488741,-2.7252073
铁岭市,2013-02-11,60.266724,81.08156,55.16441,18.262518,0.8787236,44.32672,253.95717,76.1037,101038.234,0.66599095,2.6541448
铁岭市,2013-02-12,71.63037,89.70961,59.286,20.739292,1.1135172,48.475975,260.0204,85.13124,100131.14,1.5090806,3.9935484
铁岭市,2013-02-13,79.452675,109.839264,55.841797,23.45176,1.2081405,37.284138,262.32425,83.41274,99901.52,2.6415102,3.1419377
铁岭市,2013-02-14,45.367443,56.269955,21.349838,13.257818,0.7224042,38.69911,257.42487,74.135925,100439.14,1.4080458,-2.302375
铁岭市,2013-02-15,37.09064,47.413876,20.466776,12.344667,0.6394725,37.50074,254.96843,73.08574,100551.02,1.5296186,-1.9586788
铁岭市,2013-02-16,42.87445,64.91942,32.34577,15.441725,0.9361957,47.269264,261.8192,68.042564,100198.04,-1.8331506,6.6567025
铁岭市,2013-02-17,38.962105,59.399014,24.18335,11.885174,0.70481044,53.493217,266.6576,84.54283,99545.85,4.904174,3.0962849
铁岭市,2013-02-18,27.752193,38.804394,20.009789,12.632594,0.5887767,45.696976,257.86642,67.8449,100320.8,2.0135968,-1.6893709
铁岭市,2013-02-19,16.874653,27.273624,13.27665,7.0208106,0.5058774,52.236904,255.69095,64.35388,100598.88,4.4965615,-2.8940513
铁岭市,2013-02-20,39.77885,53.734222,21.097574,15.7161455,0.69362503,39.92231,254.97678,69.21112,100729.88,1.5113356,-1.0671179
铁岭市,2013-02-21,61.689888,87.54918,47.863354,23.88263,1.0260093,43.7913,258.59122,74.06096,100514.234,1.8539789,2.3069508
铁岭市,2013-02-22,26.128885,37.331326,14.8732605,9.224884,0.53404427,47.164085,260.43463,68.90374,100463.09,4.4316015,-3.3332033
铁岭市,2013-02-23,27.463312,44.427437,21.595474,13.206283,0.6196119,49.23614,262.5698,64.714165,100616.164,3.7433605,-1.3370329
铁岭市,2013-02-24,33.765034,61.503963,20.319147,14.935786,0.7496755,47.965538,260.15735,68.52284,101073.14,-2.069689,-1.4865614
铁岭市,2013-02-25,43.683258,54.688267,16.742958,15.126298,0.68939817,55.332653,262.34555,64.70667,100813.734,-3.9423802,0.37025622
铁岭市,2013-02-26,65.701866,83.63092,24.979809,16.17198,0.80364716,53.870552,268.06308,86.69378,99635.555,2.5179372,1.9840429
铁岭市,2013-02-27,92.362686,116.30526,31.820553,26.738914,1.151295,41.81376,267.5431,76.67503,99568.734,2.567093,0.85360056
铁岭市,2013-02-28,54.28015,84.822624,24.977118,20.145334,0.90385264,42.0049,268.34042,74.73596,98840.89,1.9403403,3.7167392
铁岭市,2013-03-01,13.630701,28.998852,9.529694,6.5758486,0.35208747,58.296543,263.47006,74.32104,99867.63,7.2677774,-8.213918
铁岭市,2013-03-02,25.387413,37.0146,18.28917,15.131285,0.48245907,51.012287,260.27234,69.09089,100812.56,1.6960384,-2.3769443
铁岭市,2013-03-03,77.13097,101.39181,51.562298,32.15062,1.2097517,37.551414,265.266,75.34233,99763.94,0.93032,3.1268532
铁岭市,2013-03-04,70.96629,92.79898,29.21077,25.663021,0.9684214,40.076443,262.0413,83.53983,99927.11,1.6367834,-0.56018704
铁岭市,2013-03-05,60.389217,97.55614,50.010406,30.987814,1.0069666,36.629135,272.92593,72.38622,99419.086,4.786328,7.192617
铁岭市,2013-03-06,74.08694,96.69352,28.388687,30.219381,0.93165255,36.44819,272.02457,82.44505,99382.57,-2.6377096,0.8174927
铁岭市,2013-03-07,93.42843,122.383675,25.871782,24.423862,1.0698729,38.168327,271.61337,73.90355,99089.61,-0.17948332,-2.0009952
铁岭市,2013-03-08,42.739697,57.386944,17.054201,15.219103,0.67717713,50.437656,267.80252,68.02812,98969.95,-2.0657237,-3.5059807
铁岭市,2013-03-09,41.740192,84.5051,20.525372,14.317682,0.6833289,52.617344,268.66858,64.125626,98680.44,0.9165276,-1.7523825
铁岭市,2013-03-10,15.676727,26.063421,11.351344,8.626112,0.37242207,58.669,264.306,54.19101,100386.266,2.571994,-3.7473643
铁岭市,2013-03-11,44.72239,90.408745,46.54403,23.542662,0.88444674,48.528145,272.69955,55.998665,99857.875,3.2546499,9.827
铁岭市,2013-03-12,39.21701,53.51134,23.22097,17.925108,0.7205643,48.799084,271.3029,72.139175,99485.484,2.3093064,-1.2633712
铁岭市,2013-03-13,16.69871,28.216225,10.852287,8.903016,0.43646336,61.884956,263.9528,66.49176,100513.62,1.4634765,-7.36422
铁岭市,2013-03-14,39.83299,68.61098,40.256813,19.247692,0.9592466,54.13562,269.1703,55.92276,100355.984,3.315916,7.874163
铁岭市,2013-03-15,73.22523,101.002625,42.55776,25.789303,1.0089442,46.878544,273.54877,71.633316,99889.82,2.7945375,4.6880937
铁岭市,2013-03-16,57.100197,79.05889,30.643671,22.130157,0.8545574,46.774796,271.99234,68.116295,100227.84,-1.6479859,1.6594609
铁岭市,2013-03-17,104.37453,132.13513,41.46961,22.79115,1.1789311,53.54824,276.01917,71.507416,98842.53,2.0794065,4.682486
铁岭市,2013-03-18,17.43476,27.933353,9.392241,8.142186,0.44860062,68.89004,267.81244,60.17335,98751.086,1.1293693,-6.6539807
铁岭市,2013-03-19,15.605552,26.120975,10.569261,7.837031,0.41314015,68.055466,266.32156,48.290325,99463.055,1.5790049,-3.9909773
铁岭市,2013-03-20,11.925374,21.578272,8.830226,7.1549354,0.4367477,68.2889,263.87103,45.520054,99885.16,2.6810806,-4.454144
铁岭市,2013-03-21,38.140236,80.88021,29.011509,15.945007,0.81246173,56.103138,270.76547,58.63144,98815.77,4.9348927,7.9766273
铁岭市,2013-03-22,10.05716,25.376797,7.2727327,5.886585,0.34554386,70.128426,267.28082,40.568867,99513.28,4.3217793,-5.553733
铁岭市,2013-03-23,25.123398,40.206337,14.30449,10.122294,0.51674545,50.550095,268.5916,63.601486,99516.94,-0.9144525,-0.25823152
铁岭市,2013-03-24,23.068316,32.802418,11.251081,9.295797,0.5374073,60.14945,266.76526,69.53821,99753.875,2.3656087,-5.40978
铁岭市,2013-03-25,20.025656,28.832624,11.881828,9.748294,0.5118154,61.49042,268.62567,61.102974,99890.09,3.5554032,-1.8593955
铁岭市,2013-03-26,62.157425,109.03922,48.897617,24.215185,1.1194996,53.09675,274.66318,55.438534,99115.72,4.5654535,10.474195
铁岭市,2013-03-27,29.962503,40.55151,13.218747,10.554595,0.5139909,61.482357,272.95245,65.06991,99081.23,4.9880476,-0.84747267
铁岭市,2013-03-28,10.274508,18.773525,8.840952,6.5757637,0.3864583,65.992035,270.69568,48.004868,99652.39,6.049593,-3.4201834
铁岭市,2013-03-29,11.658711,18.94894,8.626042,6.371146,0.38063836,67.50535,270.56662,42.967533,100075.414,4.9741282,-3.024863
铁岭市,2013-03-30,30.956654,45.781506,15.20604,11.646327,0.52570754,57.253983,272.43393,43.201283,100216.234,1.324751,0.11218902
铁岭市,2013-03-31,73.77472,87.91219,19.512794,14.521215,0.9038081,51.810925,273.55527,73.51762,99962.91,1.6012781,1.7308148
铁岭市,2013-04-01,57.2239,72.19972,10.782848,17.046438,1.0140779,46.88621,273.28207,85.61505,99856.734,-3.7836173,-1.0230663
铁岭市,2013-04-02,49.849667,76.301025,21.456774,20.671047,0.9775169,55.047173,274.7565,63.40575,99359.875,1.1968356,2.6754782
铁岭市,2013-04-03,28.988958,48.425312,11.825966,11.680508,0.5589555,66.44928,276.381,45.34491,99391.164,3.9103138,-3.8164036
铁岭市,2013-04-04,28.560215,60.01551,9.97834,12.553807,0.599551,53.772015,275.2366,58.38675,99751.984,-2.2496028,-3.1074834
铁岭市,2013-04-05,42.15484,52.057,11.6517105,14.841964,0.71950465,45.306538,273.89868,87.957184,99420.82,-1.0065837,-3.942772
铁岭市,2013-04-06,20.923431,28.097591,8.527255,9.239706,0.5178841,67.7183,271.87863,71.39785,99145.414,0.24932954,-9.175319
铁岭市,2013-04-07,22.794521,32.80104,9.929011,11.365482,0.5059695,65.68096,273.68414,54.944504,98810.11,-0.5655785,-3.930614
铁岭市,2013-04-08,39.023834,47.6892,10.4804945,15.198695,0.5708462,52.184326,274.40897,73.93837,98413.19,-1.6751324,-0.040732138
铁岭市,2013-04-09,15.626589,22.359432,7.3191013,8.3347225,0.37265456,62.97465,272.4783,69.77794,98968.875,3.6811814,-6.9800444
铁岭市,2013-04-10,11.581012,18.326906,6.4851418,7.442846,0.33893847,66.231255,274.17416,51.236984,99056.21,6.2881927,-2.4154541
铁岭市,2013-04-11,9.247777,13.673004,5.9299526,5.9617577,0.32206652,64.18928,273.9433,62.033222,99122.31,5.072822,-3.389414
铁岭市,2013-04-12,23.008938,38.317997,11.678827,11.738003,0.5480027,56.152363,277.53326,49.214302,99018.8,4.7480254,2.4451628
铁岭市,2013-04-13,25.70858,54.171852,13.169492,10.973799,0.49752364,62.664963,276.59442,48.666462,98535.24,6.40961,-2.130763
铁岭市,2013-04-14,7.114295,33.156223,3.8699722,4.142264,0.27063766,80.83301,272.61414,34.974133,98605.01,9.728764,-2.8889873
铁岭市,2013-04-15,17.710392,28.944387,7.42578,7.0262938,0.36779475,63.158493,275.90668,34.295204,98681.94,1.9074873,-0.4024007
铁岭市,2013-04-16,18.81835,31.407608,7.6859684,8.495077,0.4255625,65.43024,277.147,34.979595,98695.3,1.0660115,-4.177019
