city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
铜仁地区,2013-01-01,53.636986,64.30488,32.347496,6.8601737,0.54538906,59.596386,277.12308,48.84873,93225.305,-0.54541945,1.0545012
铜仁地区,2013-01-02,79.22913,91.21643,34.202618,11.233679,0.6690278,43.776646,275.85248,63.919594,93445.2,-6.708703,-0.6608661
铜仁地区,2013-01-03,46.45057,52.29829,20.300423,9.931096,0.49216586,41.78786,269.72455,62.907593,94317.39,-6.4307795,-2.2397308
铜仁地区,2013-01-04,57.58906,63.183453,22.17294,7.2083955,0.5416702,48.664677,268.61874,69.786995,93691.55,-4.5690236,-0.017631263
铜仁地区,2013-01-05,76.83699,85.87373,25.788519,6.91495,0.6826609,52.10611,270.38007,67.63951,93374.49,-3.625227,-0.95882
铜仁地区,2013-01-06,99.53636,112.521484,33.752155,7.222473,0.82810414,53.32546,270.7752,64.71556,93453.84,-2.833159,-0.22452402
铜仁地区,2013-01-07,113.90509,127.91465,40.64884,7.0243073,0.90794945,61.7145,271.81958,72.99247,93301.6,-1.6343796,-0.68635285
铜仁地区,2013-01-08,123.18996,135.45515,38.46465,6.334875,0.9196266,62.809807,273.02335,85.10013,93445.016,-2.139289,-1.6270854
铜仁地区,2013-01-09,182.24104,203.37897,52.61181,11.852662,1.2003845,47.407936,273.50113,55.681316,93685.37,-3.7291818,-1.8299663
铜仁地区,2013-01-10,186.60892,205.87991,48.20495,13.446764,1.3135152,43.16913,273.84457,52.80243,93551.56,-3.8297195,-0.9707259
铜仁地区,2013-01-11,150.49342,166.73842,43.750343,8.49745,1.1184369,50.57711,276.0743,55.22473,93616.19,-0.6367908,-2.2261755
铜仁地区,2013-01-12,138.31458,146.72527,43.42838,6.5425987,0.9892124,55.23651,277.55807,55.322113,93396.04,-2.327249,0.11258558
铜仁地区,2013-01-13,143.42972,154.58665,52.17626,7.2078643,1.0897334,57.2365,279.31458,57.065117,92985.766,-1.7936571,1.2937548
铜仁地区,2013-01-14,137.78946,154.08144,42.00916,7.3439317,1.0325296,49.79741,279.19565,59.659973,93209.73,-4.9415145,0.36515385
铜仁地区,2013-01-15,131.29245,144.86674,38.70652,6.977244,1.010097,49.203056,279.18207,73.995964,93426.85,-1.2569904,-0.65205723
铜仁地区,2013-01-16,151.43149,164.53122,44.766006,7.088716,1.1432434,46.143192,277.93866,85.87445,93602.77,-2.925679,-0.53380615
铜仁地区,2013-01-17,141.73831,158.53537,41.135838,11.577463,1.1077224,42.209267,276.50458,67.52365,94211.08,-4.9047227,-1.9003124
铜仁地区,2013-01-18,126.93239,145.66548,35.127934,14.426654,1.0231779,40.207485,275.53476,63.6172,93979.875,-3.5696461,0.80837077
铜仁地区,2013-01-19,106.20807,124.27834,33.73272,8.491442,0.9339727,41.579254,278.36658,78.46354,93083.47,-2.2581334,5.242175
铜仁地区,2013-01-20,79.72365,89.68291,25.242329,6.821078,0.72517276,47.42033,282.67038,86.38602,92911.32,-0.6999293,3.2182858
铜仁地区,2013-01-21,118.685776,130.6601,33.229103,11.543317,0.93762577,35.48835,277.49933,89.28241,93491.95,-3.3121452,-0.77686214
铜仁地区,2013-01-22,131.51225,146.1484,33.48366,9.354188,1.0092584,40.32913,275.40674,85.19066,93634.08,-2.587576,-0.40716434
铜仁地区,2013-01-23,142.00587,158.51395,49.868824,8.024993,1.1736465,49.578712,277.48996,75.82265,93330.734,-0.63702834,0.91970026
铜仁地区,2013-01-24,96.17998,106.58824,34.480427,6.532445,0.8473176,50.140602,280.41406,62.7153,93467.58,-1.9579729,-1.6832749
铜仁地区,2013-01-25,51.28063,57.839027,24.098484,7.372026,0.54273134,45.36277,278.80164,46.4432,93409.35,-3.403141,1.4076836
铜仁地区,2013-01-26,66.73606,76.64324,32.12014,6.63656,0.64047617,56.197968,281.472,49.07637,93338.14,-0.78104913,-0.6912899
铜仁地区,2013-01-27,102.25398,117.889786,37.45091,8.882505,0.84534055,47.459785,281.06177,50.006813,93686.984,-4.2233715,0.3364331
铜仁地区,2013-01-28,103.194824,120.73112,36.79616,8.2435055,0.84746057,48.942482,281.2616,55.51887,93285.13,-2.7448025,3.4132843
铜仁地区,2013-01-29,91.306305,103.696495,30.826202,6.3177276,0.7850264,52.388733,282.62076,76.04918,93209.58,-2.0611634,3.2012029
铜仁地区,2013-01-30,60.250134,69.336,22.106876,5.300337,0.58835715,55.199455,286.86075,81.04499,93036.25,0.18399599,5.7048483
铜仁地区,2013-01-31,31.786627,37.800877,15.640455,4.5514603,0.41398573,58.566418,289.95084,75.57013,92782.88,3.263338,7.245677
铜仁地区,2013-02-01,88.53182,99.76772,29.34851,8.593973,0.7667377,38.5813,284.8292,91.08484,93179.17,-1.6838121,-0.33457094
