city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
铜川市,2013-01-01,15.946464,25.137632,13.125424,7.648404,0.4781747,50.885715,269.33347,40.604446,89524.16,2.3988285,-3.9694686
铜川市,2013-01-02,16.580866,28.80999,18.962736,10.482451,0.66648716,38.913776,263.1323,45.943283,90487.52,-0.31543496,-6.1038084
铜川市,2013-01-03,17.139305,24.355476,19.46346,10.868836,0.66323787,44.2137,260.64725,34.184444,90828.44,-0.029990522,-3.7645125
铜川市,2013-01-04,75.155975,99.5053,76.85794,25.638721,1.5129985,28.979094,263.18906,31.906502,90002.63,-1.2045441,-0.46538746
铜川市,2013-01-05,89.780876,103.279106,43.955296,13.308878,1.0618802,33.46383,265.9122,31.536818,89807.27,1.3943611,-3.5930738
铜川市,2013-01-06,108.57453,123.51783,45.37738,21.184515,1.1775472,24.990257,266.96732,25.888018,89799.72,1.5323029,-2.126462
铜川市,2013-01-07,76.193306,79.463776,30.119596,13.365405,0.81158257,29.672148,269.65375,28.509125,89670.58,1.661612,-3.746885
铜川市,2013-01-08,52.42861,54.91659,25.24364,11.508592,0.8749765,32.041584,267.96396,38.110626,90045.24,0.9131231,-5.784798
铜川市,2013-01-09,61.868404,91.80971,59.961697,31.938305,1.6315242,31.454496,267.67288,41.714947,89965.59,-0.8436117,1.0474316
铜川市,2013-01-10,136.45935,185.0625,73.043816,41.715565,2.023455,29.028595,271.13785,46.133743,89702.734,1.0812322,1.2543443
铜川市,2013-01-11,40.368546,46.209114,17.910229,9.764337,0.71634287,49.233532,272.04807,28.363745,89953.91,3.3936684,-4.2077656
铜川市,2013-01-12,103.940865,135.81061,62.583935,40.013287,1.9732406,38.166737,273.46454,27.966719,89518.195,1.0578126,2.669418
铜川市,2013-01-13,88.109146,100.44134,46.67942,17.451456,1.5546672,36.740013,273.4058,29.31809,89379.055,1.0913213,-2.8603868
铜川市,2013-01-14,172.62093,210.12447,105.851074,22.974478,2.8110702,34.792385,273.31403,29.436958,89684.35,0.348752,-1.816923
铜川市,2013-01-15,23.53247,32.189934,16.407042,11.271361,0.5731281,43.145397,271.52908,35.95444,89916.61,2.7877493,-4.6795044
铜川市,2013-01-16,30.648851,39.993336,18.994108,14.594144,0.7208259,36.511612,272.74872,32.846268,90186.195,1.6140332,-4.2446117
铜川市,2013-01-17,57.113583,83.42435,44.622627,33.796608,1.5272788,34.295902,269.6338,47.17783,90656.875,-1.454122,-2.0007858
铜川市,2013-01-18,181.98764,254.18842,89.958145,73.34675,3.9255896,35.636654,272.59995,55.962036,90023.79,-1.8395833,1.8394104
铜川市,2013-01-19,267.16663,331.4841,109.12955,77.37654,4.9359736,30.730751,272.83725,67.48173,89334.41,-5.0990796,0.83136404
铜川市,2013-01-20,190.30069,224.63472,49.362034,34.50139,2.8013952,38.569736,270.2589,69.78076,89682.03,-0.500746,-2.0895317
铜川市,2013-01-21,28.546295,31.873457,17.073793,12.454177,0.8262301,44.62672,270.51773,57.396706,89994.38,1.6034564,-5.007397
铜川市,2013-01-22,47.720703,51.63694,22.070076,21.880632,1.0593137,42.722,270.18658,65.81147,89952.99,1.6312091,-1.5007492
铜川市,2013-01-23,59.153854,62.80508,14.76756,18.837944,1.125448,50.091248,273.97824,44.183258,89505.48,4.422496,-3.4199128
铜川市,2013-01-24,12.908372,17.257257,9.559263,9.695509,0.65459657,55.176636,271.06482,35.84178,90021.84,3.3978105,-4.6785817
