city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
锦州市,2013-01-01,18.434088,21.22634,11.20415,9.875876,0.3978362,37.45245,253.93304,52.024426,101423.51,3.436162,-6.800017
锦州市,2013-01-02,15.420197,17.135054,8.768003,6.6187916,0.3686145,49.628784,253.80711,46.2797,102539.66,4.319469,-5.644772
锦州市,2013-01-03,19.074938,23.640991,10.737327,9.778054,0.44112045,45.469273,257.89572,49.888412,103089.2,3.182538,-4.221831
锦州市,2013-01-04,55.434875,70.39218,39.660896,27.316174,0.9341577,30.840721,258.48462,56.45333,102280.75,1.8603271,-1.0455436
锦州市,2013-01-05,25.647863,29.556364,11.688474,11.946772,0.5150431,44.874527,259.79077,48.602013,101977.75,2.4233613,-5.827243
锦州市,2013-01-06,42.84294,51.662582,19.167156,19.205652,0.62593573,30.826904,257.45792,61.5345,102131.01,0.098633505,-3.0023997
锦州市,2013-01-07,81.115074,107.92969,57.753735,22.980654,1.0471895,24.960768,255.62233,69.87204,101997.805,0.31442147,-5.762702
锦州市,2013-01-08,26.269514,30.741798,12.907334,14.044934,0.40222377,33.53613,253.73741,59.703087,102445.945,0.915645,-5.019788
锦州市,2013-01-09,21.627579,27.664558,12.579032,12.175709,0.4442818,41.05856,256.30862,49.5287,102232.97,1.7886106,-3.4251783
锦州市,2013-01-10,56.695168,69.5738,29.472113,21.959303,0.9037701,28.616053,256.673,59.032677,102285.18,-0.933905,-2.3034859
锦州市,2013-01-11,90.03002,116.26484,46.736378,29.565807,1.3984193,14.837619,255.78432,72.68376,101792.82,-0.55052376,-4.5461254
锦州市,2013-01-12,66.0838,81.650154,25.860197,20.077612,0.78122383,24.313374,256.51242,68.62679,101915.63,-0.7586916,-3.4213455
锦州市,2013-01-13,104.834885,132.38893,34.723976,30.414122,1.0210973,19.948015,257.44348,71.179276,101845.12,-0.91568464,-1.3661824
锦州市,2013-01-14,67.72348,80.69142,22.850203,20.111769,0.7056679,25.536669,256.5034,69.169586,102293.375,-0.7383308,-6.5133486
锦州市,2013-01-15,123.73046,156.01529,33.38036,32.42891,1.1383313,17.05341,252.92747,74.52968,102111.24,-0.5523004,-3.924881
锦州市,2013-01-16,42.740696,52.358902,16.484913,15.382669,0.50928414,29.0378,255.10942,62.045105,102594.91,1.415908,-7.5338254
锦州市,2013-01-17,36.886032,44.55322,21.825953,18.316536,0.63179594,31.05169,258.03906,59.092068,102912.49,0.37986925,-2.4810886
锦州市,2013-01-18,82.84292,116.41714,73.93478,34.86392,1.7253658,20.769821,264.226,63.650208,101900.98,1.4919624,0.61335796
锦州市,2013-01-19,60.969242,73.255,23.031437,21.693274,0.73459303,27.105787,259.4763,66.35635,102505.13,-1.4067608,-3.9530833
锦州市,2013-01-20,144.33739,171.71315,36.2668,37.88248,1.4004964,15.512536,258.55362,73.52819,102532.02,-1.198381,-3.2093368
锦州市,2013-01-21,112.16462,136.7797,25.711061,26.149395,1.0221213,27.679075,259.3552,70.64582,102317.695,0.13121782,-7.1580887
锦州市,2013-01-22,57.619267,70.4782,21.96591,20.793732,0.6709857,29.968401,259.0898,71.24182,102205.03,-0.7703523,-4.4761395
锦州市,2013-01-23,137.15897,177.26527,66.56048,38.71005,1.8896241,19.6383,260.34338,79.81558,101004.12,0.6195507,-1.3165487
锦州市,2013-01-24,9.5776005,13.891641,6.272522,5.1471868,0.34873047,54.54708,258.13364,42.52533,101484.945,5.4996715,-8.343972
锦州市,2013-01-25,12.4096775,15.761988,8.106576,7.4370365,0.4265804,56.3979,256.97812,42.05363,101718.76,3.2586877,-5.477498
锦州市,2013-01-26,29.049957,36.85621,14.8819275,14.64352,0.5782454,40.727856,254.57733,57.58185,102159.875,0.36067322,-3.9107857
锦州市,2013-01-27,65.40588,81.00544,37.267403,27.145483,1.0492088,27.262495,255.86734,69.46615,102072.73,-0.6356854,0.38959324
锦州市,2013-01-28,72.63199,100.47995,46.44652,30.767357,1.6445022,17.746704,264.05713,80.05693,101358.02,0.65023035,-1.4843197
锦州市,2013-01-29,100.071014,113.6409,34.6395,30.189363,1.4462092,20.115364,264.0082,83.02424,101698.84,-0.7745219,-0.038229045
锦州市,2013-01-30,203.94897,259.60428,82.87751,39.3736,2.8349347,17.16125,268.96,94.97525,101726.77,1.0779532,5.775099
锦州市,2013-01-31,206.7187,258.7839,58.04298,37.775726,2.711636,21.0762,271.6455,98.10842,101564.23,0.32242393,4.459313
锦州市,2013-02-01,30.400024,36.82468,14.830969,11.537093,0.70997643,41.82816,267.28525,64.75092,101726.945,3.3304365,-6.8191237
锦州市,2013-02-02,31.23357,33.570732,18.542477,15.122846,0.73009527,37.25268,260.5046,57.108215,102490.25,1.1512885,-1.4763322
锦州市,2013-02-03,58.48467,88.4357,50.7361,30.240602,1.8132293,22.71266,265.71527,84.85333,101476.18,1.1294429,4.846824
锦州市,2013-02-04,22.138002,26.042017,13.870672,11.01626,0.53008974,45.43894,261.34143,56.57152,101992.24,2.6876996,-6.600673
锦州市,2013-02-05,60.34582,77.71906,52.053223,28.321785,1.3584895,29.611366,263.10873,66.811134,101704.16,1.7514342,0.45857346
锦州市,2013-02-06,20.14717,24.730213,9.1554785,8.908036,0.3805525,48.546726,256.7657,57.15371,101910.47,2.7700338,-8.167352
锦州市,2013-02-07,5.5053244,7.852039,4.3756833,3.798559,0.25260606,62.32179,253.66942,46.60442,102667.055,4.396578,-9.578965
锦州市,2013-02-08,20.185799,22.256054,10.184876,12.563373,0.36511308,46.6761,253.3003,57.159122,102878.66,0.982004,-2.9395788
锦州市,2013-02-09,63.547115,88.88238,67.971504,24.720629,1.008496,31.492735,254.3627,71.15761,101976.67,0.64585507,-3.120694
锦州市,2013-02-10,15.316941,16.465551,6.009293,6.4449935,0.28602573,58.97554,257.50113,50.834496,102486.98,1.7872605,-6.122296
锦州市,2013-02-11,44.097424,53.344566,27.8963,18.68404,0.64561117,41.791977,258.50464,66.79342,102603.24,0.64095473,0.6900264
锦州市,2013-02-12,43.29689,53.000122,24.741402,19.326536,0.72592634,40.00267,262.9827,65.93534,101642.73,2.4973235,0.0031745916
锦州市,2013-02-13,34.21325,45.86812,20.954313,15.685626,0.5945109,41.182156,266.21603,58.04271,101397.25,2.4906995,-1.4914209
锦州市,2013-02-14,16.644737,18.119768,6.846173,8.864101,0.35853052,50.64712,262.2988,51.828854,102077.95,1.0265278,-5.884071
锦州市,2013-02-15,21.130713,23.560408,9.990653,10.531707,0.3966025,47.914036,261.05328,53.478123,102151.77,0.46118602,-3.5512352
锦州市,2013-02-16,87.81412,112.36509,78.82714,27.676311,1.1119235,32.942886,265.47113,79.83286,101555.945,-0.32167378,6.6175766
锦州市,2013-02-17,50.484432,65.46541,16.905348,13.2897215,0.7595816,49.03285,269.73483,68.31786,101118.55,5.200543,-0.8920017
锦州市,2013-02-18,12.140191,14.340893,8.329698,7.180155,0.31353682,54.877464,263.08862,41.985603,101961.91,2.6751907,-4.0695004
锦州市,2013-02-19,10.219061,12.54761,6.7046437,5.840205,0.29096475,55.87767,259.50687,42.866604,102321.55,4.0793037,-6.04615
锦州市,2013-02-20,22.56581,27.032892,12.6133585,11.270052,0.37153348,44.579502,259.71735,49.584263,102353.375,1.1512717,-4.2618637
锦州市,2013-02-21,38.93882,47.307224,22.458332,16.53511,0.5348986,41.496456,264.15387,54.273777,102045.47,2.2329028,-0.15430328
锦州市,2013-02-22,14.609937,16.847908,7.6665516,7.137443,0.2997928,54.489685,264.76187,45.01672,102154.82,4.0226846,-5.8088603
锦州市,2013-02-23,30.599688,35.88014,16.873102,12.475852,0.47010383,48.254128,267.7007,46.516476,102216.4,3.013446,-3.1884546
锦州市,2013-02-24,53.737106,79.37199,38.312405,20.492252,0.65725815,37.39354,264.72858,60.480713,102564.1,-2.804658,-3.345378
锦州市,2013-02-25,59.706272,78.51233,34.886475,24.026287,0.6774036,35.73645,264.5061,61.140285,102291.63,-2.6057909,-3.096724
锦州市,2013-02-26,70.32689,81.33272,31.903948,20.972414,0.7822103,35.32388,270.80862,70.80223,101161.24,2.4263768,-1.3195459
锦州市,2013-02-27,59.013485,69.81835,28.372839,22.786905,0.7984659,37.17457,272.33884,60.660416,101089.63,2.4393587,-1.6317608
锦州市,2013-02-28,51.956055,76.25416,30.223278,21.655434,0.88668925,38.702946,270.61722,66.29709,100381.18,4.2875495,-0.19810499
锦州市,2013-03-01,4.652589,8.79118,4.465679,3.2250397,0.23448461,68.64997,265.29172,47.09574,101744.59,7.0559916,-11.76896
锦州市,2013-03-02,13.418836,17.287539,9.569542,9.339733,0.29731175,59.90878,264.59485,49.999756,102392.08,1.2990432,-1.9632306
锦州市,2013-03-03,42.400867,56.142807,24.933165,21.309576,0.7008205,37.978252,270.3066,61.484913,101192.85,1.5743096,-0.6248717
锦州市,2013-03-04,18.66251,22.228186,10.03103,11.635779,0.3705025,43.838417,270.37363,54.898678,101474.82,1.6196301,-1.8280104
锦州市,2013-03-05,46.99919,67.458405,32.048706,24.564344,0.8674486,31.660492,278.3701,51.287315,100811.76,5.560235,4.1340995
锦州市,2013-03-06,76.51456,101.17779,39.884663,30.869795,0.8788337,28.302313,274.79803,73.12618,100813.05,-1.4502027,-3.363507
锦州市,2013-03-07,70.28624,88.64804,30.078733,25.346764,0.7552799,43.173508,275.57758,55.15227,100524.8,-1.8853325,-2.9004543
锦州市,2013-03-08,57.105625,72.360504,24.597956,19.478907,0.73253804,40.138454,271.9803,52.247074,100375.6,-2.1912444,-3.14742
锦州市,2013-03-09,51.800316,84.69143,37.807243,18.92669,0.69248885,42.209324,271.20584,53.420326,100238.97,2.3260243,-5.316641
锦州市,2013-03-10,11.054141,15.827409,7.88513,7.296287,0.2641805,59.370277,270.0906,38.770786,101940.52,1.8703964,-3.5898917
锦州市,2013-03-11,49.25116,82.87347,32.371212,23.983252,0.7544054,44.874752,275.48257,59.050377,101251.78,3.9146566,9.282285
锦州市,2013-03-12,25.76728,34.972733,14.218047,13.702524,0.4422239,50.272568,272.98776,61.757664,101005.37,1.4941819,-4.413081
锦州市,2013-03-13,8.211031,11.428997,5.8624144,5.2606807,0.24459547,72.76508,266.99228,38.88236,102177.24,2.0642412,-8.8907175
锦州市,2013-03-14,44.74673,58.400574,34.19645,20.414824,0.75729126,52.247677,272.55014,44.85709,101805.52,4.363374,7.1619725
锦州市,2013-03-15,90.10386,114.075165,35.55732,31.615105,1.2136497,36.517612,277.11707,62.32816,101213.72,1.8531963,3.8664002
锦州市,2013-03-16,75.883575,96.68558,30.23347,25.659212,0.8745533,39.96785,274.74335,65.28282,101718.48,-0.8145559,0.007329911
锦州市,2013-03-17,112.01824,138.18672,35.735207,25.703657,1.159052,37.797653,278.56854,60.653564,100187.74,1.3407453,3.7528734
锦州市,2013-03-18,10.0593605,14.461054,6.6764116,5.722664,0.26783937,71.37507,269.9075,42.005795,100326.98,-0.15591522,-7.916376
锦州市,2013-03-19,14.532963,21.382496,9.045065,7.6070356,0.31771588,65.47698,268.6034,38.31769,100970.375,-1.9626552,-5.6711216
锦州市,2013-03-20,8.951603,12.246661,6.222737,5.697748,0.276643,71.610054,266.527,29.187096,101525.23,2.2791424,-5.5231905
锦州市,2013-03-21,40.630814,65.511894,22.710056,15.306241,0.5862675,55.090652,274.18622,50.312912,100254.43,4.719313,6.420431
锦州市,2013-03-22,6.978877,12.773313,5.1893005,4.9576917,0.25144175,71.27743,269.4919,29.828003,101164.97,2.8097403,-7.2771397
锦州市,2013-03-23,35.30928,52.34911,22.747507,17.615786,0.5773441,44.256752,270.62173,58.95477,100923.34,-2.1279643,-0.6964743
锦州市,2013-03-24,8.710871,10.705123,6.037549,4.976569,0.27021676,71.42016,267.91367,50.54738,101435.01,3.678953,-8.281097
锦州市,2013-03-25,13.403579,17.425133,8.708846,8.731262,0.33253217,68.401665,270.7372,42.073387,101476.055,2.6975715,-2.7461174
锦州市,2013-03-26,67.66646,102.49939,33.695866,22.853752,0.89279103,51.41934,276.8368,58.19523,100482.77,4.322798,9.362175
锦州市,2013-03-27,16.85135,20.462496,6.813724,7.0852404,0.32241294,70.55376,274.475,48.10011,100662.055,1.3859019,-6.664882
锦州市,2013-03-28,6.9593353,9.946579,4.8900557,4.75078,0.2570379,74.12614,272.5991,32.702618,101337.41,5.2173085,-6.695621
锦州市,2013-03-29,9.871714,13.541846,6.1572576,6.495991,0.27822506,70.22233,272.8534,28.91422,101688.45,3.5605485,-4.6192656
锦州市,2013-03-30,36.243824,45.621494,16.036116,16.077948,0.42275602,54.38455,273.8518,37.73497,101692.34,0.6235147,0.61042744
锦州市,2013-03-31,70.14929,80.12344,19.22072,16.724302,0.6605356,44.400417,275.55197,76.50747,101344.12,0.7289493,2.0923948
锦州市,2013-04-01,71.456604,82.25512,16.909163,23.736012,0.9386086,37.104794,273.42703,88.33738,101253.305,-3.712858,-5.696713
锦州市,2013-04-02,28.454638,37.48087,11.954815,18.29992,0.46122855,56.866104,276.663,43.854725,100807.75,2.238711,1.6946617
锦州市,2013-04-03,14.251064,19.887602,5.686345,7.698747,0.29373613,69.745514,279.08698,33.63485,100922.35,1.1049837,-7.2974377
锦州市,2013-04-04,19.59828,41.483433,10.368791,11.259136,0.3878728,53.437893,276.38745,40.600952,101146.375,-4.116177,-5.1110096
锦州市,2013-04-05,33.874775,41.37517,10.934216,13.957452,0.4451105,46.223152,274.24887,85.16077,100944.05,-1.1667386,-6.5968337
锦州市,2013-04-06,11.6193695,14.701862,4.8544216,5.578593,0.25591987,75.198296,273.6804,52.924427,100762.9,1.061635,-9.298046
锦州市,2013-04-07,20.20799,27.278267,9.176284,12.093866,0.32642624,68.384285,275.54684,38.957306,100253.53,-0.43524322,-0.27437085
锦州市,2013-04-08,55.916775,67.5455,17.551683,21.477026,0.6153542,48.213917,276.41995,58.169937,99813.2,0.18673559,-3.0937753
锦州市,2013-04-09,10.535612,13.151441,4.2480316,5.6407814,0.25099912,68.55761,274.87875,53.17262,100639.74,2.882392,-8.262629
锦州市,2013-04-10,7.040512,9.247506,3.5499284,4.9546466,0.24271078,69.93234,276.30698,38.73518,100697.16,5.3334355,-5.591533
锦州市,2013-04-11,4.8362913,6.5173445,3.1044495,4.324219,0.23209757,68.479935,276.44974,41.923298,100745.3,4.8390837,-6.198221
锦州市,2013-04-12,18.872663,26.803614,8.568421,12.31287,0.37902355,58.96986,279.27332,40.913292,100512.41,3.4011133,1.2991213
锦州市,2013-04-13,14.238238,25.127436,6.290118,8.155905,0.29722926,63.12714,279.2901,45.520454,100097.52,2.81927,-7.714769
锦州市,2013-04-14,4.7787805,13.035081,3.047841,4.6050234,0.20979108,81.95458,275.4838,25.110685,100314.375,7.354526,-5.8877945
锦州市,2013-04-15,20.345554,28.873487,9.1762,9.954505,0.31621075,61.57686,277.8277,45.47605,100086.74,-3.172016,-2.6995976
锦州市,2013-04-16,12.213215,18.72293,5.669552,6.9174037,0.2891858,66.66802,279.1109,30.690088,100195.78,-1.0513444,-6.7436295
锦州市,2013-04-17,25.905336,41.384266,11.157269,14.137158,0.40925738,53.54082,276.37057,42.43672,100781.305,-2.8906238,-2.3808343
锦州市,2013-04-18,7.382553,9.13659,3.1888754,4.355556,0.23023152,73.504425,276.90665,39.300476,101391.695,3.2252297,-8.762984
锦州市,2013-04-19,8.214395,11.801458,4.1804543,6.456529,0.2417205,71.13581,277.85107,31.209673,101584.695,2.6833487,-5.293969
锦州市,2013-04-20,11.684537,16.732054,4.7092257,8.035682,0.2657106,61.783737,279.69946,27.829699,101198.85,3.146138,-5.192642
锦州市,2013-04-21,27.588684,35.37155,9.197089,14.2956705,0.36923048,57.21283,281.00272,27.235462,101039.51,1.9923812,-0.404736
锦州市,2013-04-22,123.407104,191.16109,36.57746,30.410128,1.1670188,65.392876,282.0746,54.418064,100551.82,2.6251109,9.908181
锦州市,2013-04-23,68.615204,92.32956,22.085762,20.030428,0.57320696,65.771965,280.54666,76.07586,100315.375,1.5921013,6.415271
锦州市,2013-04-24,29.954515,32.57363,6.658049,9.983122,0.28931734,59.993675,284.2612,44.938377,100018.4,5.4508204,-1.2325196
锦州市,2013-04-25,11.547524,14.266431,4.3418436,5.1296806,0.24589299,59.677273,284.4679,38.65926,99990.57,5.252968,-6.7429233
锦州市,2013-04-26,13.713736,17.89652,6.1432476,8.710308,0.26787063,59.24963,285.56055,39.72984,100329.72,2.4622018,-2.9719923
锦州市,2013-04-27,47.95262,67.88961,18.401854,21.533876,0.46536276,58.487564,286.3926,39.642746,100485.34,1.4830517,5.1040707
锦州市,2013-04-28,58.422947,85.23154,19.727001,16.391125,0.4948076,74.35991,284.2911,67.69913,100304.57,1.402504,5.4435062
锦州市,2013-04-29,16.094698,21.913374,2.7847512,3.689254,0.19884387,73.41163,285.8267,38.636982,99964.12,8.310405,-7.12115
锦州市,2013-04-30,11.628719,13.27743,4.738419,4.047019,0.22841114,62.87958,284.46896,59.296055,100401.375,3.673095,-9.65371
锦州市,2013-05-01,9.2775545,11.9975,4.3090925,6.1723065,0.23673983,61.223465,287.3241,43.839695,100615.95,1.2123593,-6.4899716
锦州市,2013-05-02,24.656855,31.780998,8.064623,13.615032,0.33210862,59.100246,286.33932,48.796017,100705.2,-1.0303818,-2.2741802
锦州市,2013-05-03,16.19639,20.99528,5.941324,10.338363,0.25372604,66.37277,287.70462,41.886513,100855.15,1.6077518,-1.647364
锦州市,2013-05-04,55.029354,83.15014,21.298512,17.86379,0.8526711,87.27432,289.97452,41.212246,100687.18,4.2780056,6.4019427
锦州市,2013-05-05,69.66616,87.49082,22.632301,19.53546,0.7986384,98.755745,292.15433,36.4256,100668.55,1.9176122,4.679318
锦州市,2013-05-06,100.52522,128.8516,28.26505,25.147285,0.9659483,102.75222,294.69653,44.06325,100538.125,0.01205133,2.0469887
锦州市,2013-05-07,172.7018,242.90361,41.776447,30.61294,1.4633574,140.82457,290.72873,55.378788,100881.9,0.25974655,5.0922894
锦州市,2013-05-08,82.96763,122.776855,28.068604,23.03177,0.65603787,88.014984,289.4858,45.723816,100779.34,1.7839108,8.39507
锦州市,2013-05-09,51.540222,72.2661,19.901108,17.281258,0.3836527,66.934326,286.14197,74.50573,100212.6,1.5755591,6.713639
锦州市,2013-05-10,31.678682,36.19534,8.657176,10.928574,0.2907306,54.499645,288.4852,62.34823,99043.77,4.1906934,0.2622779
锦州市,2013-05-11,58.1854,66.1307,7.1129513,11.343017,0.28267905,60.093235,291.60098,24.135717,98712.945,3.5037506,-1.8790805
锦州市,2013-05-12,21.855486,26.910454,5.7071548,10.103898,0.24014483,57.38107,291.73334,31.784761,99278.7,3.340863,-2.866514
锦州市,2013-05-13,50.850693,73.30729,19.11016,20.63406,0.47111702,70.57408,291.4096,42.81205,99590.125,0.16906741,4.755161
锦州市,2013-05-14,44.760506,53.873085,10.73836,9.799865,0.34087983,61.969975,290.3805,49.540638,99799.74,5.5941358,-2.8528352
锦州市,2013-05-15,18.479559,21.6666,5.7162423,5.760238,0.2257742,65.61739,291.23557,49.20652,100851.72,0.24626797,-6.7407
锦州市,2013-05-16,41.6488,62.938038,13.4734955,17.870026,0.45043477,77.02279,292.16385,47.545593,101075.375,-1.3643047,1.046944
锦州市,2013-05-17,68.73447,96.23125,19.61514,18.294474,0.45584747,76.06163,287.62155,74.75776,100612.37,1.561182,7.2079625
锦州市,2013-05-18,60.92969,81.32413,20.59131,17.894299,0.41245717,67.95443,286.99808,86.38291,99928.47,1.8954695,7.9673114
锦州市,2013-05-19,44.024975,55.398563,12.461132,13.661115,0.30334783,75.24623,286.49228,80.217476,98973.625,2.5607626,7.043753
锦州市,2013-05-20,27.639013,31.958464,3.8982584,6.5910125,0.19255398,78.10623,291.4328,24.283367,98913.305,7.653471,-1.6797811
锦州市,2013-05-21,40.729244,55.462704,12.836947,16.174065,0.34207588,61.417248,293.67404,26.205513,99325.945,1.6364484,0.667345
