city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
阳江市,2013-01-01,36.737976,52.150803,16.152122,26.527113,0.6595645,33.504272,283.25674,40.130417,100386.92,-2.3525941,-5.317071
阳江市,2013-01-02,46.112633,63.85765,18.344479,34.782497,0.8096171,34.239662,286.33508,52.944164,100352.57,-3.2001758,-5.022882
阳江市,2013-01-03,39.764328,55.58509,15.416861,19.570679,0.7866416,31.949451,282.79373,72.92285,100768.72,-3.912426,-10.865232
阳江市,2013-01-04,29.384129,39.211414,10.898939,12.19016,0.64021015,34.54545,279.5687,70.36597,100619.29,-3.4647298,-9.555311
阳江市,2013-01-05,30.945751,39.88622,9.86229,13.708629,0.7234281,30.26443,280.5275,72.46686,100312.0,-2.5629902,-7.417557
阳江市,2013-01-06,35.040348,45.08688,11.034159,13.110694,0.80641025,32.316742,282.38483,73.24648,100366.06,-2.586665,-7.8556743
阳江市,2013-01-07,44.952538,52.73564,10.833303,14.283851,0.8725179,41.643333,283.6447,71.38754,100268.97,-2.509224,-6.310134
阳江市,2013-01-08,52.92425,62.40446,11.560474,16.417883,0.92519236,43.87334,285.24878,68.30174,100226.945,-2.5387247,-6.26259
阳江市,2013-01-09,48.939907,54.52415,15.256962,12.586213,0.9405341,42.035873,283.70477,60.499153,100378.71,-3.916859,-8.686694
阳江市,2013-01-10,83.25025,89.55498,20.825777,20.487612,1.0427036,50.87849,283.03207,55.12861,100440.31,-3.8181953,-7.484622
阳江市,2013-01-11,92.63129,104.71347,16.184837,22.981348,1.021788,43.015232,284.5836,69.211426,100459.16,-2.3277924,-7.661852
阳江市,2013-01-12,70.15731,78.71604,12.697582,13.794861,0.8408715,50.329422,286.16943,66.734436,100308.96,-2.4764657,-7.063755
阳江市,2013-01-13,53.879,68.19598,10.570722,10.514586,0.9113865,52.52398,287.61356,64.73062,100001.766,-0.25635135,-6.062124
阳江市,2013-01-14,58.82504,73.60849,16.298235,25.055119,0.93905884,53.15039,287.07263,55.533756,100244.37,-4.606939,-4.241608
阳江市,2013-01-15,67.4115,79.51741,19.636292,38.029694,0.9862582,50.66723,288.68478,69.22735,100431.87,-4.6581473,-3.1660414
阳江市,2013-01-16,82.59999,100.12801,18.584888,49.88548,1.129687,55.71097,289.00705,60.23169,100506.65,-3.173019,-4.586607
阳江市,2013-01-17,75.22791,93.522766,20.43787,28.092617,1.0758561,48.74529,287.5378,63.689713,100813.33,-4.9583273,-8.067088
阳江市,2013-01-18,91.68275,110.7295,22.121063,20.923428,1.1654611,65.00879,284.97433,57.30393,100980.266,-4.613774,-7.0269227
阳江市,2013-01-19,71.151474,83.446945,19.643656,34.61525,0.89597553,54.688564,287.11032,67.03137,100569.055,-4.799344,-2.50758
阳江市,2013-01-20,28.554768,34.110462,5.5935535,11.66601,0.4219745,63.001244,291.1991,89.39855,100342.02,-4.63833,0.7770653
阳江市,2013-01-21,41.87479,50.083267,9.063669,21.264374,0.63336784,62.63861,293.0337,84.10428,100304.32,-3.2785892,-1.8061119
阳江市,2013-01-22,74.06351,89.77521,15.889365,27.874582,1.1282265,43.674286,289.5012,79.85555,100396.07,-3.0569882,-6.559671
阳江市,2013-01-23,67.88525,87.37121,16.738829,21.14644,1.2625368,51.63439,288.36462,71.10935,100351.32,-3.6301515,-5.7829885
阳江市,2013-01-24,82.80557,103.44782,18.85189,21.646254,1.1934013,66.58015,290.23453,70.89928,100241.21,-1.7777042,-4.157748
阳江市,2013-01-25,55.382694,76.877,21.272224,13.621996,1.2767223,64.30494,287.6904,64.683754,100355.24,-3.467762,-5.8573303
阳江市,2013-01-26,94.87752,108.164825,23.459213,30.979078,1.3332839,42.278477,288.7455,73.43159,100242.125,-2.9681742,-4.5097156
阳江市,2013-01-27,62.54767,71.37923,15.933474,14.644525,0.98318076,54.86938,288.38263,68.113556,100511.08,-3.97046,-6.483611
阳江市,2013-01-28,54.968746,68.76195,17.40122,24.08574,0.86221087,58.83332,288.5267,64.180565,100498.87,-5.05184,-2.652521
阳江市,2013-01-29,40.190784,46.090836,9.340259,15.198149,0.53329873,65.864105,290.62677,86.104546,100436.97,-4.5925007,-1.2129008
阳江市,2013-01-30,29.011402,32.605625,5.722447,9.246026,0.4137633,67.76053,291.55075,84.22657,100488.64,-5.181899,0.60717195
阳江市,2013-01-31,22.134808,27.855356,3.1023064,7.079384,0.3484959,73.9283,291.7828,87.216194,100428.414,-4.2968636,1.8908123
阳江市,2013-02-01,23.707079,29.750181,4.470305,8.007995,0.3924624,75.15189,292.87744,83.26573,100364.984,-3.5299048,0.50749093
阳江市,2013-02-02,56.044937,64.76555,13.428055,24.148296,0.6591986,78.285774,293.83865,71.19935,100371.03,-3.4726343,-3.0913851
阳江市,2013-02-03,41.70405,55.326275,8.108834,12.311876,0.5832811,54.92151,293.12296,89.398766,100202.85,-3.9250696,-0.6592292
阳江市,2013-02-04,48.699955,62.039803,4.454888,14.184371,0.62002844,36.9194,293.6541,93.57721,100244.74,-2.3525224,-0.6164476
阳江市,2013-02-05,36.2536,54.55569,11.5747385,24.205654,0.67964935,44.96544,294.4212,88.11346,100189.695,-1.8046708,1.7634706
阳江市,2013-02-06,14.842215,20.650007,2.5011578,4.766125,0.30214375,63.977066,293.29196,92.90415,100001.305,-1.9090519,2.1516783
阳江市,2013-02-07,19.892675,26.041529,1.9203757,3.6348689,0.3727977,69.87503,293.3991,91.53472,99716.44,-2.9463775,3.7445397
阳江市,2013-02-08,30.684807,41.405357,13.686654,14.141658,0.8790976,29.734293,284.68112,86.248085,100330.64,-4.328194,-9.627018
阳江市,2013-02-09,26.211687,34.121372,9.8519745,8.8174715,0.6247076,41.95381,281.91003,74.09741,100672.0,-3.5874438,-8.44107
阳江市,2013-02-10,39.0522,45.559025,10.100274,10.097693,0.64549106,44.347942,286.44263,66.48066,100419.234,-2.518866,-3.7815065
阳江市,2013-02-11,55.586376,61.09373,15.241861,15.888317,0.74790984,49.617294,289.8836,70.68344,100267.32,-3.8643708,-2.232506
阳江市,2013-02-12,42.916676,49.212353,12.22107,12.409352,0.75810796,50.954517,289.8188,71.05036,100422.39,-4.015571,-6.6785617
阳江市,2013-02-13,35.8427,45.96846,12.128892,8.86832,0.7902915,62.572006,287.66174,65.93233,100346.48,-3.7664742,-5.224007
阳江市,2013-02-14,46.330585,52.59768,10.171253,11.406952,0.6574541,72.07778,291.8498,82.05609,100060.44,-2.860247,-0.6661845
阳江市,2013-02-15,41.5475,48.84961,10.224344,11.148727,0.6655404,50.290524,291.19534,81.31218,100152.59,-2.905774,-4.913845
阳江市,2013-02-16,36.009758,47.00593,11.941432,11.936392,0.84002227,48.597725,289.24942,73.43137,100158.914,-4.237751,-3.433892
阳江市,2013-02-17,30.476507,36.976543,2.5175586,4.992465,0.47603408,77.70727,293.16306,88.02951,99841.51,-3.6388674,3.3803234
阳江市,2013-02-18,27.432453,33.372765,1.9347951,4.912098,0.44353235,73.66857,293.67816,89.75039,99668.44,-1.5329479,3.876073
阳江市,2013-02-19,32.12471,42.033314,9.8305855,13.349834,0.73896956,47.559288,290.638,84.38559,99914.164,-2.6915126,-4.0511093
阳江市,2013-02-20,34.859333,43.032253,11.993957,13.242468,0.82605904,41.829395,286.10608,67.12525,100366.164,-3.5484774,-7.85447
阳江市,2013-02-21,44.89317,54.4898,13.479438,18.557785,0.8836314,45.634632,288.37576,68.92081,100414.39,-3.3789663,-6.397734
阳江市,2013-02-22,34.092533,46.498024,10.2425,10.23938,0.7639709,50.30586,289.4669,66.198044,100546.22,-2.7722616,-7.5651956
阳江市,2013-02-23,36.82975,47.19176,13.458445,12.26975,0.7409863,59.626522,289.6698,59.482346,100564.88,-4.731665,-5.52911
阳江市,2013-02-24,47.92645,55.465515,15.385867,16.33108,0.7138021,60.787243,291.53867,74.61087,100356.58,-4.7759824,-2.4019253
