city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
阳泉市,2013-01-01,20.426565,57.599358,29.383314,15.039056,2.4486523,41.49219,258.7557,45.549244,90421.21,7.9210753,-5.8550253
阳泉市,2013-01-02,20.87496,33.4016,29.94558,14.12219,1.1997628,44.26317,253.7722,40.807617,91505.164,8.857533,-7.5861793
阳泉市,2013-01-03,25.584217,48.253372,46.52492,19.562231,1.0917168,40.145664,257.7938,33.62424,91782.56,5.5479417,-3.9908493
阳泉市,2013-01-04,52.84604,89.60522,51.404488,26.097656,0.7630103,32.726223,261.52216,28.213537,91019.68,6.0872293,-1.7911755
阳泉市,2013-01-05,32.374207,101.81976,62.786564,31.131907,1.1297312,29.727545,263.5113,25.73629,90727.76,4.716799,-3.4321778
阳泉市,2013-01-06,56.620304,120.85857,55.562443,36.275604,1.2648244,25.618757,265.25525,26.451017,90690.26,4.5015373,-1.779142
阳泉市,2013-01-07,109.04076,176.08473,83.10024,43.885387,1.699352,22.53708,266.9695,34.358982,90552.75,5.0365252,-2.46488
阳泉市,2013-01-08,45.371708,115.6465,29.1052,38.282764,1.3199866,33.162426,263.40366,43.1252,90964.88,4.4738173,-4.605691
阳泉市,2013-01-09,32.648903,64.81684,36.789562,24.782843,1.2983063,34.090866,263.60364,36.291466,90954.05,4.777742,-1.772537
阳泉市,2013-01-10,83.778824,167.51497,111.96361,44.039825,1.9959778,18.448038,268.239,38.533905,90642.31,4.6758437,1.1443706
阳泉市,2013-01-11,97.52212,121.909256,58.185284,35.179493,2.6548836,35.45437,268.7618,39.016838,90590.695,10.840365,-2.653946
阳泉市,2013-01-12,63.9692,172.34113,105.15592,47.042892,2.6763265,23.505789,270.9961,34.214355,90452.68,6.8336697,2.38167
阳泉市,2013-01-13,204.14757,376.4125,125.79549,80.474945,3.2844205,15.651295,268.70636,49.51108,90431.27,1.1422592,-1.2424217
阳泉市,2013-01-14,84.79828,224.5332,85.842804,59.87623,1.7518939,21.405186,270.37042,42.374157,90711.49,1.8952827,-0.43071717
阳泉市,2013-01-15,68.45559,137.88371,48.435932,37.22164,2.4435644,30.452473,268.90622,52.745216,90647.69,5.076535,-2.1524343
阳泉市,2013-01-16,146.90637,381.5715,110.37701,63.66515,2.632708,16.671558,267.0501,61.331787,91184.27,1.2672485,-2.937994
阳泉市,2013-01-17,19.161165,83.2865,41.5437,30.206337,0.93015337,31.040625,267.2465,38.969135,91665.984,3.9239771,-1.8001903
阳泉市,2013-01-18,90.30725,148.27206,85.7324,35.707558,1.5182194,19.626446,271.88123,37.491932,90988.15,8.55852,1.207395
阳泉市,2013-01-19,172.46004,284.65167,101.77069,60.20838,2.8259463,14.16256,267.00015,61.2171,90837.734,-2.9064198,-1.472101
阳泉市,2013-01-20,126.74698,166.15349,74.88489,50.009247,1.850659,15.549731,264.8134,91.13399,90854.96,-2.0624416,-0.4690232
阳泉市,2013-01-21,192.0082,227.92213,77.919846,54.605682,2.346165,15.269656,268.24512,79.49247,90905.01,1.6076832,-2.1810095
阳泉市,2013-01-22,114.38617,305.86365,119.994606,53.628284,2.5188134,14.065113,267.75406,75.50736,90851.08,2.2377083,0.23262681
阳泉市,2013-01-23,134.91217,200.94537,108.94035,46.46465,2.0304623,20.208021,270.58688,49.54632,90162.59,10.950785,-1.3060766
阳泉市,2013-01-24,28.075153,66.026024,45.147205,27.627846,1.3555604,40.71095,265.7148,45.361404,90592.55,9.836678,-4.015288
阳泉市,2013-01-25,45.407333,81.14573,56.243248,25.34068,0.9920772,22.27453,267.37976,45.888138,90389.25,6.8557305,-1.1124952
阳泉市,2013-01-26,14.471168,38.64619,15.7111,19.948961,0.34881124,29.808725,268.34525,48.576122,90743.96,5.8312263,-4.0929847
阳泉市,2013-01-27,29.068768,98.1327,45.01949,26.064701,0.84679043,28.577309,271.91278,38.616886,90822.27,6.615859,-0.11130524
阳泉市,2013-01-28,34.687973,121.79198,77.939545,30.283993,1.1964126,25.243563,274.84567,35.120895,90444.29,6.6993256,-0.43763342
阳泉市,2013-01-29,53.33839,157.00014,68.04199,37.43291,1.2416474,22.274395,274.17667,42.658436,90556.97,2.4934585,-0.3256596
阳泉市,2013-01-30,119.17719,203.49226,111.44238,48.902718,2.2035744,16.604523,275.63907,50.428448,90547.195,2.871507,2.4734597
阳泉市,2013-01-31,98.33315,195.00215,107.70261,60.89006,2.3416245,17.172201,272.82916,84.77383,90348.87,0.5931487,0.23371796
阳泉市,2013-02-01,50.47572,69.25173,47.140354,32.040047,1.0191585,39.791042,271.16995,44.49812,90865.7,3.4608889,-3.5347362
阳泉市,2013-02-02,50.890396,101.95833,87.65117,39.91309,1.2064806,28.717999,268.73248,63.175594,91167.97,-1.0579815,0.33340594
阳泉市,2013-02-03,144.55853,199.32043,87.64749,45.448055,1.6612351,12.328218,270.46127,87.287415,90147.46,0.18619502,0.10717992
阳泉市,2013-02-04,79.96533,97.30027,52.165314,27.819195,0.9411938,38.232147,268.07227,53.136112,90779.48,-1.4060348,-0.96895
阳泉市,2013-02-05,124.40049,156.31046,74.23657,34.196217,1.5112112,31.509258,268.517,74.01139,90480.19,2.7648625,-1.5843008
阳泉市,2013-02-06,105.60639,204.06882,90.83432,30.250422,1.9439394,32.044914,266.83652,54.463493,90748.99,4.203746,-4.0024548
阳泉市,2013-02-07,42.504383,60.96107,39.36862,14.642144,0.5969636,53.082348,258.971,61.96042,91403.04,1.6740965,-1.5415413
阳泉市,2013-02-08,59.934925,86.93493,67.77533,23.794895,0.8152342,37.29471,262.55334,60.619225,91214.46,2.2237113,0.960502
阳泉市,2013-02-09,114.05506,168.74518,91.769554,31.548594,1.3441521,32.126637,269.23566,64.18593,90602.6,5.111314,0.7199168
阳泉市,2013-02-10,210.44177,253.50105,95.83169,34.096172,1.7358669,35.889908,261.329,88.4713,90991.57,-4.453671,-0.13586566
阳泉市,2013-02-11,119.043755,130.2219,67.02073,27.896591,1.2386327,33.442833,264.0131,86.022514,91065.09,-0.7909487,0.8402886
阳泉市,2013-02-12,31.837933,46.435135,25.94065,12.590884,0.8206555,55.543682,268.74124,36.905552,90803.15,9.737771,-1.2117549
阳泉市,2013-02-13,61.8328,92.68856,61.10933,21.718176,1.2204945,35.398834,271.55197,31.259924,90442.35,8.579895,0.75044674
阳泉市,2013-02-14,76.11283,143.14409,61.801193,25.814768,1.1343188,36.29756,268.45737,54.098743,90706.1,2.169237,-1.9394355
阳泉市,2013-02-15,52.131794,71.24426,45.463585,19.467037,0.6907302,44.55081,266.06848,65.9501,90777.85,1.4342533,0.86756045
阳泉市,2013-02-16,132.79016,176.59297,85.59908,33.042694,1.5010588,20.051712,271.72037,72.38243,90152.46,3.6094377,2.5554388
阳泉市,2013-02-17,97.01734,139.29185,42.25939,25.047073,1.2580479,34.203663,271.67914,49.559113,90290.12,5.137518,-4.2333775
阳泉市,2013-02-18,81.84069,157.68892,60.39608,28.51009,1.4226384,41.18332,266.57773,69.06293,90768.945,-0.79339695,-0.3027966
阳泉市,2013-02-19,116.35036,175.5274,96.91546,35.04646,1.7068146,27.742924,265.73837,74.363014,90914.125,-0.8548019,0.5955691
阳泉市,2013-02-20,104.12658,153.83714,67.16899,38.62247,1.1386465,33.410072,270.1059,56.93965,90851.37,2.2370765,-0.5610359
阳泉市,2013-02-21,96.165695,149.32288,60.930878,30.618038,1.1642017,34.588818,271.06543,50.003384,91008.74,3.815353,-1.7051744
阳泉市,2013-02-22,53.643044,97.176414,38.205536,25.766766,0.7479348,51.587536,271.17358,38.452904,91217.44,2.5529785,-2.6064527
阳泉市,2013-02-23,124.958496,182.14581,99.82388,55.795834,1.3645946,33.862408,273.5171,47.568516,91131.17,0.16436464,-0.06307553
阳泉市,2013-02-24,263.54626,387.23392,141.68991,66.89579,2.310421,35.03025,273.17355,74.11504,90859.086,-3.3479218,0.5606711
阳泉市,2013-02-25,244.03853,318.53256,108.703514,61.995697,2.2033849,22.262804,271.37198,89.92185,90722.984,-2.0356421,0.2904023
阳泉市,2013-02-26,129.98701,158.31367,44.595104,34.73011,0.9045121,28.216887,278.0856,33.178795,90567.85,5.3796506,-2.445521
阳泉市,2013-02-27,128.61383,208.0748,54.765392,48.397614,1.2878461,29.99554,278.36475,32.1302,90378.85,1.3594196,0.6593708
阳泉市,2013-02-28,105.22928,209.08662,49.089115,34.715336,1.2694191,45.79337,275.54327,38.541237,90009.19,6.8467994,-4.32144
阳泉市,2013-03-01,17.646814,39.962624,25.634068,16.931005,0.31956348,56.20763,269.1503,31.89092,91194.02,2.0240533,-4.898572
阳泉市,2013-03-02,64.134544,136.9008,81.689186,43.20778,1.0653614,31.561543,271.15802,36.89677,91288.02,1.2975084,0.14104675
阳泉市,2013-03-03,38.7639,112.992775,43.01198,21.261274,0.6826558,42.321808,276.66934,20.220718,90715.51,8.668386,-4.925554
阳泉市,2013-03-04,31.86407,96.34015,35.088528,23.391321,0.48590228,47.07248,277.4762,25.465128,90897.86,4.392711,-1.9240323
阳泉市,2013-03-05,88.45551,191.1795,91.566956,49.831367,1.4248158,37.595493,282.8904,21.5283,90350.77,9.067747,3.704459
阳泉市,2013-03-06,70.13699,175.19304,48.754345,34.950504,1.0705633,37.426495,282.6306,28.598806,90232.1,8.897643,-3.9018383
阳泉市,2013-03-07,57.879345,178.50963,51.120026,29.41372,0.90455014,44.25603,283.66086,26.85028,89976.61,10.360569,1.0953752
阳泉市,2013-03-08,85.55658,295.4316,62.771027,34.86248,0.849197,40.753414,288.61288,21.793007,89600.77,8.956268,1.7811482
阳泉市,2013-03-09,69.36085,228.95695,34.219475,24.965881,0.658145,50.97281,284.21082,21.422232,89765.47,9.087288,-4.5583797
阳泉市,2013-03-10,27.027025,77.77489,34.031998,20.317572,0.3691532,54.833813,274.3993,19.829361,91015.17,0.05533059,0.17051837
阳泉市,2013-03-11,56.476833,165.03949,87.04898,42.607864,0.75477415,34.114464,278.36395,35.081497,90388.08,0.97897,1.5904499
阳泉市,2013-03-12,88.73187,178.24995,70.26661,41.670597,0.91124916,29.392738,279.44278,59.041664,89893.31,0.783477,-1.3966504
阳泉市,2013-03-13,72.32738,115.274155,47.588512,32.832275,1.0101602,41.26646,272.21265,71.16647,91056.0,-4.7120237,0.9697877
阳泉市,2013-03-14,92.7835,169.02951,67.78407,36.94746,0.836933,34.998993,275.91104,50.736782,90957.984,0.95975286,1.7553347
阳泉市,2013-03-15,122.393105,234.80086,78.99353,41.813766,1.2362218,34.78573,281.46698,42.51724,90531.48,3.4729302,1.2087438
阳泉市,2013-03-16,174.04749,330.2412,89.459785,58.62116,1.5749102,43.230724,279.31396,54.80618,90741.15,-3.2651453,-0.3619454
阳泉市,2013-03-17,91.09597,145.91472,50.74416,26.30963,1.014409,46.411686,283.62637,43.681053,89782.13,8.704648,-1.1743251
阳泉市,2013-03-18,60.761192,184.11003,36.387962,21.620224,0.7243228,51.142445,281.4082,24.670378,89376.31,4.87092,-2.9017198
阳泉市,2013-03-19,65.42656,194.40602,65.631516,37.666508,1.1851943,40.34167,277.54355,41.356888,89417.195,-1.2618673,-0.844401
阳泉市,2013-03-20,49.39648,89.08555,36.77314,22.687729,0.6184472,49.758347,271.89786,57.284332,90488.59,-0.7609293,-1.0425686
阳泉市,2013-03-21,93.88536,171.23132,74.10468,41.438976,1.324516,40.912594,283.49884,33.72816,89477.32,8.754525,2.6234193
阳泉市,2013-03-22,85.51235,185.67686,51.40687,33.346935,0.87834406,47.638668,277.10498,35.740833,90150.69,-2.2328074,-0.7813553
阳泉市,2013-03-23,70.23489,148.29135,60.934525,30.72096,0.81376743,46.97302,281.80713,27.67627,89763.95,8.917771,-1.552575
阳泉市,2013-03-24,33.357815,86.222725,39.714417,20.84318,0.5034887,55.100773,273.5632,28.042208,90506.85,-2.0628204,0.061260533
阳泉市,2013-03-25,70.91699,170.60835,83.33224,40.496227,0.89731306,42.946884,274.73465,38.240604,90384.67,-1.401016,-0.16544907
阳泉市,2013-03-26,65.922165,133.44272,64.216,30.861103,1.011169,42.035534,281.90536,39.437637,89940.06,7.125305,-0.0518939
阳泉市,2013-03-27,114.61521,216.04301,71.25458,36.23296,1.5541395,48.97975,284.9973,26.953144,89720.555,5.102384,-0.1688948
阳泉市,2013-03-28,57.063606,123.52521,32.371513,21.839497,0.71166366,66.63499,275.74774,34.431347,90470.18,-4.8952065,0.17225692
阳泉市,2013-03-29,74.64106,179.49889,88.47895,44.138565,0.9346121,35.18154,274.48462,50.224983,90390.72,-4.397493,0.15376961
阳泉市,2013-03-30,84.46071,174.45488,62.560455,39.85184,1.0419804,46.326435,275.02744,60.99727,90455.484,-2.322945,-1.3009298
阳泉市,2013-03-31,116.58714,224.58623,81.74805,41.01064,1.3152065,44.401985,283.56955,44.04247,90140.766,6.901287,4.887111
阳泉市,2013-04-01,39.46469,95.9854,25.334238,14.569331,0.5432638,60.283947,280.41974,35.218494,90387.05,5.056965,-7.191088
阳泉市,2013-04-02,46.09311,117.60068,47.718678,29.012518,0.9965006,54.41997,281.62567,21.900093,90507.664,6.4381185,2.1596184
阳泉市,2013-04-03,97.87306,234.33467,79.45234,48.024487,1.4275416,54.181557,283.50626,39.497147,89958.73,1.7496258,0.6113146
阳泉市,2013-04-04,81.737404,166.31987,40.651596,39.16405,1.0325544,49.98664,276.43646,64.58614,89905.81,-3.644918,-0.9963021
阳泉市,2013-04-05,43.377563,68.05064,15.225745,13.688637,0.4199218,59.436993,277.8544,34.757164,90241.51,6.414147,-7.3384986
阳泉市,2013-04-06,11.698733,26.39067,17.076704,11.478261,0.34933972,64.865135,276.05978,25.42407,90198.48,3.7831352,-4.5901613
阳泉市,2013-04-07,54.83886,143.2658,58.63144,24.018288,1.0691142,49.832874,282.07004,20.570663,89324.2,9.36114,1.7593595
阳泉市,2013-04-08,27.407156,106.699776,17.527376,7.798105,0.3865049,77.53512,274.889,19.68551,89929.8,11.739204,-7.9271603
阳泉市,2013-04-09,10.401742,33.555958,13.671176,6.53539,0.34856296,77.85023,272.7425,22.194149,90490.414,9.7703495,-9.223848
阳泉市,2013-04-10,12.288123,27.024315,16.14138,8.585224,0.35691872,66.279915,274.787,29.547537,90530.48,6.674558,-6.6118684
阳泉市,2013-04-11,12.786215,36.329136,20.076859,13.178911,0.39867,62.53813,278.31516,28.7911,90514.72,3.4402835,-4.702643
阳泉市,2013-04-12,26.353249,91.48247,38.3781,19.873812,0.772811,56.247623,285.56573,21.121656,90289.08,6.468965,-2.609122
阳泉市,2013-04-13,36.81113,143.65985,44.826492,20.081772,0.96736294,50.675385,289.04742,21.837255,89726.98,7.8162675,-2.9354136
阳泉市,2013-04-14,40.63648,155.4981,50.38496,29.10756,0.9278321,54.295597,283.70242,34.774166,89718.75,-0.648057,0.14124282
阳泉市,2013-04-15,90.003235,199.89548,57.150154,32.59458,1.2012215,55.602886,292.3287,14.390665,88994.61,7.725679,0.94296277
阳泉市,2013-04-16,88.48128,216.11365,54.88043,31.17847,1.2005012,75.48823,283.88235,46.580986,89370.3,-2.9570901,-0.22235294
