city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
阿拉善盟,2013-01-01,2.8051019,3.9991665,2.0379634,1.197478,0.19230512,45.46341,258.1662,63.09801,87883.04,0.2006982,-2.2143826
阿拉善盟,2013-01-02,3.7904325,4.7938633,5.39254,2.3679576,0.24677184,44.316914,253.8133,57.17312,88891.2,-5.1826954,-0.61284554
阿拉善盟,2013-01-03,8.914359,11.597469,17.044096,6.074273,0.31616825,44.46483,255.42955,44.481365,88679.914,-4.751934,0.7938649
阿拉善盟,2013-01-04,13.8446455,17.935583,15.966198,6.6481647,0.34411308,41.902405,256.98083,39.64263,88097.14,-1.133122,-0.17993821
阿拉善盟,2013-01-05,16.790257,20.630169,17.716738,5.225053,0.33533812,46.032215,259.06876,34.27124,88002.09,0.7824557,0.5717192
阿拉善盟,2013-01-06,13.483041,17.642328,10.569801,3.2456543,0.31142998,47.519295,261.74158,40.280697,87946.67,4.4672313,-0.6123059
阿拉善盟,2013-01-07,6.3937187,8.664994,5.2088566,2.0090957,0.23689526,48.584618,262.0446,47.887356,87997.22,3.5434053,-1.5419668
阿拉善盟,2013-01-08,3.9498057,4.995836,3.4814947,1.472936,0.1955531,51.833145,260.28287,51.92123,88322.64,0.46541741,-0.549014
阿拉善盟,2013-01-09,8.892746,11.264035,8.832817,4.097251,0.27562073,51.133064,261.8755,47.264465,87868.63,0.0040016533,1.1391948
阿拉善盟,2013-01-10,11.996387,17.14326,8.903157,2.9782956,0.42922103,49.818245,264.24802,42.070312,87802.23,7.064403,-1.2672033
阿拉善盟,2013-01-11,5.933922,8.744873,5.1813745,2.1947904,0.25874862,51.52789,265.21368,47.01732,87944.98,4.061239,1.0200163
阿拉善盟,2013-01-12,8.556709,12.683039,6.7916203,2.8592534,0.35257247,52.164364,266.8261,31.93837,87503.28,3.8966227,0.32327297
阿拉善盟,2013-01-13,10.550137,14.728999,12.004231,5.055818,0.3662956,48.962025,266.28012,33.374554,87455.375,-0.5412041,0.81373394
阿拉善盟,2013-01-14,8.276268,14.8324,7.353634,2.152419,0.3154883,47.929375,265.52176,47.29929,87943.02,8.104579,-2.0790045
阿拉善盟,2013-01-15,5.8464823,10.959376,4.225904,1.8305402,0.26973182,50.667404,265.98746,52.025433,88112.195,4.1306224,-0.9077408
阿拉善盟,2013-01-16,3.7505295,5.6004815,3.955757,1.5686641,0.22962075,52.638603,264.75494,54.889675,88471.81,-1.9556836,0.05265535
阿拉善盟,2013-01-17,11.70805,16.06357,16.561283,7.036326,0.40955073,42.235683,264.9561,51.55013,88378.76,-2.6811478,1.6745179
阿拉善盟,2013-01-18,12.940386,17.468355,11.2976265,5.0848594,0.30709836,45.846397,265.0447,47.60651,88085.734,0.533802,-0.22084807
阿拉善盟,2013-01-19,23.644917,32.36623,24.907236,8.857602,0.40844327,39.78182,264.55862,48.539787,87613.99,0.013502665,-0.9965093
阿拉善盟,2013-01-20,7.161621,8.581131,2.9813194,2.0322676,0.21302293,45.53826,265.39618,51.872288,88131.82,5.655205,-2.141112
阿拉善盟,2013-01-21,6.5324583,7.9589133,3.6612985,2.0172706,0.20233446,52.78942,266.09283,53.224144,88209.56,0.41349208,0.76128834
阿拉善盟,2013-01-22,13.343814,16.444103,8.085611,3.8694358,0.26371485,51.6952,267.68924,54.298706,87888.56,5.470585,1.0051997
阿拉善盟,2013-01-23,4.122074,6.0553336,2.5411794,1.4580916,0.19083913,52.628887,267.1046,48.945827,87982.01,5.691867,-3.2456086
阿拉善盟,2013-01-24,3.030236,4.0017195,3.914814,1.6940842,0.19413503,55.81931,266.11472,44.717308,88141.21,3.6489651,0.7969206
阿拉善盟,2013-01-25,4.0950785,5.996499,5.341823,2.205022,0.20020403,49.735165,269.47055,33.745815,87943.95,8.088074,-1.9338536
阿拉善盟,2013-01-26,4.2925177,5.4072313,4.0145683,1.8605602,0.17833462,48.50719,269.22424,37.393734,88101.234,4.1823883,-0.70484394
阿拉善盟,2013-01-27,7.431217,10.666808,7.0499415,2.7115421,0.24393143,50.41123,270.05283,35.210636,88044.99,5.1908474,-0.21130085
阿拉善盟,2013-01-28,8.710738,11.835134,7.865102,3.138436,0.25851893,51.965946,270.99698,34.347614,87707.83,3.6124604,0.6572508
阿拉善盟,2013-01-29,10.556306,12.9156475,10.641281,3.4368412,0.3283581,48.007736,271.50098,33.972927,87623.14,6.320343,0.26183486
阿拉善盟,2013-01-30,11.856761,14.0923815,12.663705,5.328913,0.2995029,43.282715,272.61072,41.077454,87229.73,1.5301923,1.9971201
阿拉善盟,2013-01-31,4.899364,6.4900055,4.4874506,1.7978977,0.19057508,57.09437,269.13867,47.08789,87658.38,6.1865125,-3.2764845
阿拉善盟,2013-02-01,2.5290546,3.5739996,4.994567,1.8435029,0.1931432,57.87161,266.61124,41.087948,88245.48,0.2268643,-1.4083852
阿拉善盟,2013-02-02,6.1963434,8.239676,10.244012,4.2051907,0.26259902,49.210278,268.8413,39.506653,87699.484,-2.0146608,2.213186
阿拉善盟,2013-02-03,5.6494637,7.905491,5.7539988,2.7560112,0.2294747,47.4702,270.0182,37.37053,87384.83,2.1596506,-2.00303
阿拉善盟,2013-02-04,3.70483,5.987073,6.186092,3.244615,0.2228452,43.144142,267.1432,41.5061,87655.266,-3.716308,-0.10224984
阿拉善盟,2013-02-05,2.8659668,4.052509,3.7104564,1.8606223,0.19683936,45.0227,268.2757,38.663204,87962.66,2.424593,-1.5394598
阿拉善盟,2013-02-06,2.859875,4.83414,4.721389,2.379999,0.2298066,50.186176,267.06717,39.770027,87997.21,-5.4547577,-0.909852
阿拉善盟,2013-02-07,4.3968534,5.7609706,6.256086,3.268767,0.24590428,47.79875,263.38153,42.00708,88405.92,-4.325685,-0.0038527644
阿拉善盟,2013-02-08,6.3250027,8.068774,6.660916,2.7439914,0.22813752,46.815834,267.62885,54.7414,88119.72,5.2127986,0.049615763
阿拉善盟,2013-02-09,9.776729,14.3632345,7.976547,3.2105806,0.28935245,47.077988,269.42825,51.29232,87491.15,-2.1432369,0.4889463
阿拉善盟,2013-02-10,6.613492,9.7351885,7.440001,3.0912192,0.23002037,44.749687,263.6218,53.851055,87952.95,-1.9043145,-2.5707307
阿拉善盟,2013-02-11,3.7812946,4.515075,3.92749,1.2347076,0.19766971,54.95338,262.62076,50.96392,88455.2,5.787262,-3.276234
阿拉善盟,2013-02-12,3.4528897,4.2793026,4.1580534,1.4177637,0.20741689,60.843105,265.1436,36.969097,88134.55,6.7592826,-0.46812856
阿拉善盟,2013-02-13,3.2492733,4.242063,3.3694808,1.2558075,0.20361681,60.47015,265.69785,41.021194,87840.945,5.922132,-2.7144113
阿拉善盟,2013-02-14,2.4203944,3.0477657,2.3554518,0.68771344,0.17660588,61.675194,263.10837,58.311142,88162.09,2.8758328,-1.9989785
阿拉善盟,2013-02-15,5.649733,8.241318,4.927456,2.3695736,0.22004959,58.925545,267.49725,44.332684,87453.484,2.3125594,0.9913884
阿拉善盟,2013-02-16,3.890251,5.246971,3.836857,1.5600301,0.17563306,59.333164,266.9516,38.271423,87514.266,5.348849,-3.475799
阿拉善盟,2013-02-17,2.7067766,6.843168,2.7795992,1.0740583,0.175045,65.610664,262.17477,38.32249,87936.67,2.996735,-4.13765
阿拉善盟,2013-02-18,1.7847688,2.5692782,2.236657,0.9667277,0.18357751,63.527996,260.84787,37.60972,88154.13,-0.2685196,-1.3518295
阿拉善盟,2013-02-19,5.4720626,8.074642,10.392552,3.6129696,0.25363287,60.383003,264.91565,31.48596,87907.23,2.9586606,-1.021609
阿拉善盟,2013-02-20,2.7443607,3.7818806,3.1093178,1.4506153,0.1775342,64.90742,266.09924,30.411522,88127.64,1.7990314,-0.6990608
阿拉善盟,2013-02-21,2.9665434,4.349834,3.0765421,1.3499588,0.1858565,64.71134,267.91788,28.14666,88397.42,2.803568,-1.5630519
阿拉善盟,2013-02-22,4.6155252,6.402592,6.7130995,3.3491206,0.21116214,58.5808,270.37387,29.06778,88151.375,-1.4750547,0.7860713
阿拉善盟,2013-02-23,9.947345,13.402743,11.168626,5.63785,0.25351256,49.83299,272.79224,31.576042,87844.305,-3.6803389,0.81976503
阿拉善盟,2013-02-24,17.315777,21.522715,12.579153,5.221098,0.28537816,44.33236,273.13644,34.06697,87600.805,0.24230608,-0.6844883
阿拉善盟,2013-02-25,7.7506785,13.902699,3.1131635,1.5330567,0.1852975,47.810127,273.82114,29.91917,87929.88,3.9559643,-1.8267353
阿拉善盟,2013-02-26,4.654574,8.379543,5.3219414,3.325529,0.20987843,50.96299,274.5862,31.12911,87887.0,-0.008276828,-0.9377432
阿拉善盟,2013-02-27,11.423933,17.070642,12.7418375,5.505228,0.26707715,49.03727,275.63968,30.584778,87400.76,0.48072574,-1.1456275
阿拉善盟,2013-02-28,8.256067,13.209786,1.4981372,0.69476795,0.17946473,70.29003,268.2152,25.483912,88090.18,-3.3619888,-4.0950685
阿拉善盟,2013-03-01,5.0022535,7.9352694,7.7202864,3.945684,0.20118117,55.52406,267.13812,21.563482,88336.625,-5.2523603,1.6689543
阿拉善盟,2013-03-02,12.695273,15.752296,6.4532566,2.8349617,0.20848054,49.544968,271.9435,19.741238,88516.89,4.9805393,-1.2123773
阿拉善盟,2013-03-03,11.335365,14.988758,1.7033461,1.2244287,0.1816413,50.91008,275.8329,20.712088,88363.19,4.420912,-0.7133173
阿拉善盟,2013-03-04,8.988137,10.886795,3.2835362,2.233332,0.18869328,53.38634,278.1957,20.034664,87847.38,2.4217422,1.7479012
阿拉善盟,2013-03-05,25.791155,28.841534,3.3807268,2.2553055,0.2133303,54.298004,279.04114,24.603277,87686.33,7.1079507,-1.6265919
阿拉善盟,2013-03-06,10.290183,11.897244,1.2810348,0.7299942,0.16225262,58.36979,278.50168,33.865837,88099.95,7.6170464,-2.3344378
阿拉善盟,2013-03-07,53.094486,56.631805,1.7706109,1.4057583,0.18723586,55.682438,283.5038,18.913027,87511.516,9.766266,-1.0893172
阿拉善盟,2013-03-08,49.87589,57.113415,2.4327643,1.6516473,0.18399426,56.25897,285.01547,18.37052,86973.94,7.505644,-1.4044638
阿拉善盟,2013-03-09,57.196075,60.80267,1.3153738,0.7488448,0.17031737,68.360504,274.50235,28.344673,87985.586,-0.4949398,-3.5289884
阿拉善盟,2013-03-10,45.27578,52.405415,8.745168,4.3251457,0.22246224,53.388073,275.29065,20.269876,87477.52,-6.122285,2.0275953
阿拉善盟,2013-03-11,35.03491,54.484283,7.177334,3.4409456,0.2705427,46.41735,275.8811,25.790407,87311.914,3.2299256,-2.185383
阿拉善盟,2013-03-12,11.628476,21.73307,1.6600932,0.9487306,0.1723174,51.68915,275.28552,33.690895,87714.65,1.743148,-3.1171117
阿拉善盟,2013-03-13,6.655539,10.566957,5.7797365,3.0500643,0.19969234,49.01314,276.09225,36.52428,87767.28,-4.2229137,1.0305274
阿拉善盟,2013-03-14,11.509561,16.898981,8.50693,4.4766283,0.2123485,50.524097,279.455,27.118874,87646.63,-2.7206776,0.8916894
阿拉善盟,2013-03-15,13.05762,21.193882,10.259234,5.2137914,0.22935309,49.301685,280.2486,28.10327,87606.39,-2.0912733,-1.5898304
阿拉善盟,2013-03-16,9.652637,14.770294,6.7126045,3.2911553,0.20346807,49.014496,279.92188,33.721992,87920.375,0.6951545,-1.3455377
阿拉善盟,2013-03-17,30.644274,33.21846,1.4962118,0.7838888,0.16368705,62.33126,280.54477,31.205687,87748.59,8.4478655,-5.046121
阿拉善盟,2013-03-18,59.171997,60.655136,0.969796,0.45884684,0.15331064,76.53276,281.24725,28.962214,87087.92,10.532249,-5.007572
阿拉善盟,2013-03-19,31.507545,34.197628,1.0467683,0.58577645,0.15488298,72.95025,281.63367,28.182964,87032.11,6.394259,-4.892844
阿拉善盟,2013-03-20,9.540107,11.882452,4.4431963,2.4306233,0.17377412,63.64286,280.2698,30.145153,87327.734,-0.25297865,1.114566
阿拉善盟,2013-03-21,13.636449,17.668734,3.6754801,2.1829753,0.18774682,65.94736,282.1833,26.323423,86905.74,2.98091,-2.3103347
阿拉善盟,2013-03-22,23.397158,25.271135,3.41142,1.6993871,0.1622488,65.195145,281.36966,31.267225,87311.92,4.768169,-1.056548
