city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
雅安市,2013-01-01,40.09358,46.611664,16.696321,13.47089,0.50747657,70.088104,274.1583,39.044285,79610.2,1.0895323,-0.7916033
雅安市,2013-01-02,103.91218,130.95956,39.52094,27.482584,0.9457028,57.629715,271.71933,47.683544,79850.6,-1.301766,-1.5799366
雅安市,2013-01-03,49.1921,55.680058,17.925573,9.3402405,0.5312371,64.678505,265.3903,79.34919,80267.07,-1.9587816,-0.6592999
雅安市,2013-01-04,54.327938,57.365856,15.988088,10.047081,0.60216326,54.731735,268.49658,72.64047,79644.16,-0.7473061,-0.30356854
雅安市,2013-01-05,75.05336,76.42388,24.202429,11.060617,0.8294525,46.371704,269.16516,72.47406,79587.34,-1.2889813,-0.44853964
雅安市,2013-01-06,81.24698,84.43425,23.064358,10.292504,0.8270769,57.36473,268.9641,69.61461,79628.62,-1.6768726,-0.23853958
雅安市,2013-01-07,84.49269,96.24978,21.546192,8.774043,0.8279791,66.037315,268.75757,69.006516,79631.94,-1.6246101,-0.7286666
雅安市,2013-01-08,111.31147,122.51541,19.840008,12.192438,0.9612875,63.3583,267.25012,77.89178,79835.945,-1.4310474,-0.93068343
雅安市,2013-01-09,61.592144,68.26455,11.943472,8.644658,0.5823215,68.15703,267.91937,74.353004,79896.93,-0.694667,-0.43154985
雅安市,2013-01-10,54.693752,60.853127,18.55712,12.693075,0.69057804,56.08984,268.72723,86.83002,79750.1,-0.78365225,-0.37912965
雅安市,2013-01-11,67.723045,79.04958,21.450861,9.811763,0.7847456,53.164654,269.90747,80.46599,80058.89,-0.47037953,-0.39420652
雅安市,2013-01-12,84.261475,98.68581,21.190647,7.8586364,0.80925393,66.00005,272.4557,55.104427,79778.01,0.73350424,-0.82102007
雅安市,2013-01-13,88.08302,99.746506,19.82345,8.468814,0.79046696,67.13018,275.10974,43.905003,79526.75,0.22947402,-0.48680446
雅安市,2013-01-14,157.52043,187.16449,36.772823,12.614288,1.3231683,58.010815,272.3258,70.87879,79656.73,-0.947553,-0.22138233
雅安市,2013-01-15,168.33174,189.18506,34.309998,11.147496,1.3082589,60.35948,271.7255,81.00443,79968.55,-0.7612793,-0.43382642
雅安市,2013-01-16,99.44788,117.492615,21.621235,10.922333,0.87190604,60.79258,272.09265,78.49489,80101.56,-0.90706277,-0.53185207
雅安市,2013-01-17,100.01214,118.90105,17.477701,11.572828,0.87472355,61.286785,272.31113,75.52422,80494.72,-0.70767456,-0.55075395
雅安市,2013-01-18,75.278725,93.22211,19.874733,10.255988,0.8877974,54.72136,274.93127,70.777275,80203.32,-0.21845075,-0.44268158
雅安市,2013-01-19,80.68677,98.24999,24.192343,9.158691,0.89929736,61.62167,278.7259,52.085773,79469.48,1.6716659,-0.44441864
雅安市,2013-01-20,76.56777,83.01177,25.679415,11.019535,0.8544372,65.99361,275.691,54.489643,79590.48,0.47328192,-0.6242133
雅安市,2013-01-21,56.657078,67.9864,14.6251135,10.239613,0.6612635,63.227276,271.44345,62.511208,79965.05,-1.2767521,-0.05222886
雅安市,2013-01-22,51.557632,68.00052,13.039155,11.9195385,0.6169857,73.07932,273.9182,43.99243,80039.97,0.29910687,-0.6108017
雅安市,2013-01-23,60.18334,72.53084,14.839175,9.96483,0.6605228,78.857925,274.99323,45.82197,79846.46,0.005034344,-0.8208252
雅安市,2013-01-24,94.636925,116.41684,17.042582,13.976112,0.9032304,71.96394,272.85904,62.81308,80185.41,-0.8459983,-0.71210635
雅安市,2013-01-25,59.285767,79.59069,15.937525,13.300081,0.63437194,68.18153,273.16516,56.92799,79847.44,-0.8127448,-0.5990047
雅安市,2013-01-26,65.37825,82.43872,14.047141,10.412166,0.6491382,71.20201,274.2131,54.498947,80010.64,-0.49135193,-0.5831917
雅安市,2013-01-27,79.40995,102.261444,18.69897,11.631421,0.8144922,77.21708,274.3804,62.66023,80130.75,-0.4450023,-0.09969561
雅安市,2013-01-28,64.113914,81.374535,18.613934,10.499529,0.6770962,78.87297,276.1644,53.43428,79786.4,0.8340494,-1.4032036
