city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
青岛市,2013-01-01,98.72271,161.44415,79.102104,60.482407,1.7399764,22.896963,267.61954,71.13511,101544.83,7.471626,-2.7908623
青岛市,2013-01-02,26.59544,38.28037,31.459194,19.485056,0.9587734,49.631775,263.70923,73.471016,102870.234,8.107885,-4.882513
青岛市,2013-01-03,54.027893,69.14547,95.432884,37.112076,1.3140138,35.861267,263.8699,78.30866,103400.125,6.384753,-3.9782805
青岛市,2013-01-04,86.59804,110.02212,101.6796,61.84365,1.3493562,24.256973,263.6961,74.343315,102811.29,3.9884326,-2.205976
青岛市,2013-01-05,137.9261,187.57957,258.67145,89.839294,1.9016297,16.948053,264.5319,59.33455,102261.71,4.623877,-2.5423346
青岛市,2013-01-06,146.63382,189.3566,139.16617,82.28707,1.7269044,31.006544,266.4507,78.40577,102256.83,2.5359251,-2.6694634
青岛市,2013-01-07,160.98576,200.03212,173.46138,92.29926,2.394782,24.273289,267.49527,67.504715,102033.195,2.065354,-1.5772512
青岛市,2013-01-08,156.73126,188.2914,131.92307,88.48661,1.9888289,17.795801,268.80838,79.36608,102218.04,1.5532541,-3.9145265
青岛市,2013-01-09,55.285477,61.880074,56.18101,38.799164,1.1353048,34.336807,267.32602,72.1291,102474.38,4.6174946,-4.5932126
青岛市,2013-01-10,76.99392,110.907394,108.46154,58.272636,1.6147742,29.029814,267.81763,60.048744,102487.23,2.1790636,0.7835385
青岛市,2013-01-11,91.915955,127.65507,72.41947,54.77512,1.8212751,34.55986,272.384,75.65696,102054.18,3.8093174,4.796912
青岛市,2013-01-12,197.82991,257.66003,122.831375,81.9921,2.230813,19.84311,271.21436,74.768745,102043.555,2.0976498,0.8170678
青岛市,2013-01-13,128.86375,170.7592,53.86292,52.855858,1.8636822,33.430855,273.27448,86.73988,101792.62,-0.8527459,1.938273
青岛市,2013-01-14,216.21478,250.811,110.45433,89.75011,2.3831582,14.973103,270.2047,86.934685,102078.875,0.46004924,-4.180262
青岛市,2013-01-15,202.14638,287.41473,110.92248,89.51011,2.3877962,15.897091,270.28958,89.09815,102040.27,0.66859883,0.018734653
青岛市,2013-01-16,83.33465,83.34469,36.7019,32.74568,1.222279,51.229977,269.332,82.40586,102426.17,1.3555909,-6.302034
青岛市,2013-01-17,59.898434,64.72452,41.711536,33.526257,1.1609793,43.579117,267.92398,72.77556,103084.12,2.7619026,-6.196447
青岛市,2013-01-18,116.822296,143.60652,84.13717,66.28301,1.7029612,31.119293,269.63498,64.354614,102647.44,3.7975724,2.2427895
青岛市,2013-01-19,192.07156,247.96213,99.09495,69.62864,1.9313692,30.898033,272.27924,64.13137,102357.97,0.23479387,0.26829293
青岛市,2013-01-20,115.00321,125.6238,37.995354,34.870293,1.3612789,35.586853,274.31903,90.869026,102219.62,-5.321615,-1.2558633
青岛市,2013-01-21,77.72274,67.97515,28.195066,36.21388,1.2980887,45.49486,272.78848,94.07948,101885.62,0.28547576,-7.362055
青岛市,2013-01-22,57.678333,63.916916,23.141056,19.227488,0.86280334,66.97175,269.5007,78.99316,102169.41,2.5812106,-7.17469
青岛市,2013-01-23,136.50275,159.6799,108.66073,55.415718,1.8897665,43.940098,270.7268,81.1086,101505.85,2.9577637,2.1554065
青岛市,2013-01-24,152.98563,171.45665,72.06942,62.890266,2.0401924,29.47382,270.35153,79.47416,101625.97,3.104646,-5.359575
青岛市,2013-01-25,54.866055,75.343315,46.01156,38.336693,1.0912945,44.57517,269.02612,78.4962,101789.61,-2.1254373,-1.9374325
青岛市,2013-01-26,46.417828,60.550465,39.12745,32.885365,0.7666031,51.381546,269.17047,69.101585,102090.98,-1.4544439,-3.8608665
青岛市,2013-01-27,96.735374,127.1341,64.560555,52.812504,1.386348,33.89575,270.14297,75.2774,102314.8,0.8651594,0.008591411
青岛市,2013-01-28,174.59764,175.05904,61.6795,56.546913,1.6015235,43.484173,274.98862,85.2326,101764.41,3.5136905,4.8736777
青岛市,2013-01-29,227.79965,205.50774,63.25046,69.82415,2.2376845,38.62234,275.1157,87.01427,101796.62,0.5452951,-0.43287736
青岛市,2013-01-30,173.44562,221.25969,75.737686,50.352093,1.7051611,51.113956,275.7276,87.35328,102077.98,-1.2312347,2.571087
青岛市,2013-01-31,43.258804,46.28099,32.025215,27.53477,0.5811036,57.33108,277.8762,97.84512,101703.805,-3.508967,4.6472077
青岛市,2013-02-01,61.723263,59.46678,42.001987,39.50067,1.7130291,34.30347,275.3127,83.62719,101746.055,3.4704516,-6.8624067
青岛市,2013-02-02,26.235655,43.845703,27.04225,26.08988,0.52461034,54.287724,271.30362,58.35248,102763.44,-0.41089037,-3.8830268
青岛市,2013-02-03,25.729126,50.96127,29.28123,23.481157,0.55744714,47.19503,273.75885,85.621414,101828.73,-4.293055,4.1801486
青岛市,2013-02-04,40.023304,51.278065,29.422464,27.43054,0.6202482,46.931293,271.55014,84.735504,101947.97,0.6389096,-6.453597
青岛市,2013-02-05,51.715614,62.894432,35.971188,39.243774,0.6451184,36.32962,269.15552,90.4739,101954.14,-0.7331115,-2.515873
青岛市,2013-02-06,96.99305,79.73437,76.385025,32.91082,1.0136443,46.541355,269.37802,87.94129,101916.68,3.7789865,-4.3206563
青岛市,2013-02-07,26.495754,30.725422,20.717724,12.6775255,0.4543235,67.48051,263.36572,69.63619,102827.99,1.4681747,-9.322485
青岛市,2013-02-08,37.011017,46.627575,37.26664,17.824501,0.681226,55.971058,264.4655,74.4415,103051.375,1.8077021,-3.4431689
青岛市,2013-02-09,84.367615,119.03606,83.57243,38.31538,1.2393187,45.552345,268.22986,64.22209,102324.5,3.634424,2.028228
青岛市,2013-02-10,145.37215,172.4268,73.99127,33.878265,1.0768127,47.906555,269.90695,82.78564,102409.29,-1.8526001,-4.419711
青岛市,2013-02-11,36.33944,56.968796,42.829185,18.69185,0.53222674,57.0893,269.5581,72.87809,102747.195,-3.7329338,-1.9785506
青岛市,2013-02-12,82.91072,104.33422,77.357765,29.177618,0.9954157,53.137367,271.33206,90.57249,102196.414,3.2407255,-0.4090269
青岛市,2013-02-13,144.97595,171.9382,78.21334,28.010267,1.60935,51.89129,272.99734,70.77526,101985.695,2.4859478,4.571934
青岛市,2013-02-14,110.42418,138.22755,50.39238,28.376268,1.0897484,65.3922,274.44974,74.91141,101836.01,1.8198284,-0.48467737
青岛市,2013-02-15,67.83517,72.154915,32.318695,20.082127,0.78087676,57.66132,271.33658,62.857483,102278.36,0.20607765,-5.2350893
青岛市,2013-02-16,39.261543,59.20133,26.980642,18.375172,0.7008541,63.16594,274.1027,72.383736,102003.055,-2.7543418,5.9597363
青岛市,2013-02-17,43.322136,67.95592,33.40581,28.500195,0.6391621,58.639122,275.95505,83.09035,101394.44,0.40270916,1.4449966
