city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
韶关市,2013-01-01,43.037933,51.723755,16.62411,12.29144,0.4208297,45.255524,278.82916,43.132618,97490.56,-2.102396,-2.7401097
韶关市,2013-01-02,58.954323,69.05197,15.239368,13.865748,0.5152108,42.69867,281.2768,56.883156,97575.09,-2.6430707,-3.4410074
韶关市,2013-01-03,50.135456,57.6147,15.957555,17.121517,0.57439756,32.626026,275.854,78.53394,98120.9,-2.0340824,-8.64469
韶关市,2013-01-04,41.892155,49.759098,12.834417,12.962703,0.5209558,36.835552,273.68033,78.06727,97854.67,-2.418735,-5.8254113
韶关市,2013-01-05,50.21443,61.511417,14.74598,14.092656,0.62850285,37.087734,276.05978,77.75111,97491.46,-2.3115497,-4.897261
韶关市,2013-01-06,65.12073,78.4507,16.996832,15.987085,0.7421023,34.993484,275.05914,83.20845,97579.36,-1.5096792,-5.3020244
韶关市,2013-01-07,76.104416,92.182556,18.644014,16.781864,0.8199647,43.645767,277.0477,81.52474,97451.9,-1.58151,-4.2171087
韶关市,2013-01-08,83.214264,99.34994,19.1205,14.407934,0.8524439,50.35285,278.11615,76.48004,97457.22,-2.2784338,-5.241884
韶关市,2013-01-09,88.72948,106.27168,25.70477,15.269578,0.99880064,47.712067,276.82587,71.427986,97633.375,-2.4380076,-7.2523584
韶关市,2013-01-10,106.32832,119.60955,24.819035,16.507278,0.9599233,55.176636,277.47955,69.3872,97629.04,-2.918396,-5.188026
韶关市,2013-01-11,89.55099,97.50094,16.939888,14.985616,0.72040224,43.306477,279.52838,80.3341,97672.03,-1.594137,-3.8729818
韶关市,2013-01-12,72.43594,77.17166,15.246193,10.65622,0.6052681,46.199898,281.32056,76.81357,97474.14,-2.2444744,-4.327327
韶关市,2013-01-13,71.06347,79.39506,16.763546,11.172027,0.6525567,49.18458,282.69012,72.41943,97150.86,-1.4553039,-4.0477266
韶关市,2013-01-14,59.825195,64.64779,13.085131,7.754574,0.5460033,55.722977,282.34204,63.024235,97410.586,-3.9106314,-3.9287066
韶关市,2013-01-15,72.272675,77.97209,12.82289,14.109858,0.56544125,52.712116,283.10217,66.9151,97623.42,-1.1254717,-1.6367469
韶关市,2013-01-16,84.40705,99.213394,18.269997,15.477409,0.77705854,48.6464,283.64294,74.089455,97690.88,-1.5963905,-3.2241015
韶关市,2013-01-17,108.26542,126.231224,28.390732,15.511325,1.2809371,52.490414,281.17563,70.614456,98090.586,-3.010231,-6.852215
韶关市,2013-01-18,62.30479,67.128624,13.836592,10.662776,0.7543972,54.28378,279.23138,57.145782,98165.734,-3.985566,-4.9792795
韶关市,2013-01-19,51.103626,51.762806,8.944897,11.889336,0.63073117,55.569405,282.0639,55.935547,97717.016,-2.675901,-0.2209353
韶关市,2013-01-20,44.159714,45.713493,7.3197923,14.0616865,0.55209935,56.13317,286.3592,79.77938,97515.94,-1.2951038,2.7068532
韶关市,2013-01-21,70.60184,74.607834,14.047542,17.313162,0.65903777,49.019573,287.4917,89.941055,97553.09,-0.48517582,-1.2475233
韶关市,2013-01-22,115.84455,129.04997,26.522156,20.65814,1.0109668,40.272686,283.54547,80.71391,97663.516,-1.8113893,-4.6772175
韶关市,2013-01-23,104.94273,116.26656,21.938267,11.333662,0.9608543,53.912956,283.0939,73.90248,97532.2,-2.188943,-3.065485
韶关市,2013-01-24,113.42799,123.88023,21.06759,13.536926,0.8918705,54.483334,283.80234,78.138565,97452.86,-0.31859308,-3.0418954
韶关市,2013-01-25,75.72712,93.71763,28.918701,10.145854,0.9855617,53.566143,282.3561,70.83329,97520.305,-3.0098853,-4.077205
韶关市,2013-01-26,87.67731,96.76694,19.637814,11.18412,0.81588775,49.979424,283.88132,72.203674,97434.695,-1.6447798,-2.7397282
韶关市,2013-01-27,65.2918,69.14511,16.838144,8.309372,0.6462267,56.306374,283.6735,49.893387,97737.66,-3.8255198,-5.542142
韶关市,2013-01-28,62.41407,67.252464,13.777402,9.683119,0.5501767,62.83504,284.23694,55.067284,97667.875,-2.6941702,-0.82045245
韶关市,2013-01-29,58.998524,60.976814,12.70745,10.773941,0.48768407,73.14101,287.53378,61.93718,97591.78,-0.40247568,0.89436406
韶关市,2013-01-30,50.538864,53.625786,9.790539,10.025124,0.46196815,73.126114,288.58514,71.3256,97651.484,-2.0993235,2.196838
韶关市,2013-01-31,38.141018,40.899776,9.131873,16.253052,0.40335792,58.604347,288.75732,75.93163,97571.72,-0.35551047,4.349389
韶关市,2013-02-01,32.365574,35.524834,9.642018,13.668768,0.35740322,70.02166,290.6526,77.57386,97530.0,0.5518636,1.9830004
韶关市,2013-02-02,60.837578,67.03868,12.614311,11.637239,0.53061503,61.591785,290.32123,78.14913,97616.19,-1.7651426,-3.7746882
韶关市,2013-02-03,84.207985,95.81877,13.55423,15.536486,0.7475411,46.772663,289.43732,88.18317,97404.64,-1.2728342,0.6483983
韶关市,2013-02-04,56.458485,60.489445,9.794089,22.899183,0.53755206,36.115307,291.14975,95.47601,97394.875,0.5323783,2.0054672
韶关市,2013-02-05,34.45395,33.904694,6.9925666,13.414462,0.4180167,47.463432,292.77756,81.732895,97285.125,2.1324563,1.845035
韶关市,2013-02-06,71.985535,82.659744,17.131598,10.454634,0.6709355,47.25347,289.44928,86.81244,97194.06,-2.5442164,-1.4364579
韶关市,2013-02-07,68.67719,79.914,17.90297,17.307001,0.70248514,36.85265,287.46478,91.79689,96993.01,-1.2151027,-0.615004
韶关市,2013-02-08,32.190193,40.21752,13.857438,14.422155,0.5726756,31.442188,276.8649,84.273834,97728.94,-1.8395035,-7.788519
韶关市,2013-02-09,35.11589,41.505817,10.836678,7.9097085,0.4565619,51.49574,277.61575,73.62843,97844.36,-2.0739346,-4.5469575
韶关市,2013-02-10,45.59144,51.219826,9.613788,6.7834682,0.4451986,61.607258,281.9031,71.248055,97525.55,-1.6825264,-1.2953109
韶关市,2013-02-11,54.232967,60.087914,9.537596,7.635889,0.4843532,57.52427,284.06348,73.67924,97478.19,-2.5279627,-1.6564054
韶关市,2013-02-12,72.30075,82.73417,16.863064,10.752403,0.70850384,43.777477,281.83112,78.874725,97738.64,-1.5988908,-5.658688
韶关市,2013-02-13,55.04251,66.043526,14.241814,7.1528444,0.6442447,64.718956,282.58084,73.45757,97514.4,-2.0586157,-2.006529
