city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
黄南藏族自治州,2013-01-01,1.031579,1.1852478,0.33403033,0.5175703,0.13531454,83.81217,263.28726,25.68431,64893.98,11.145254,-1.8278524
黄南藏族自治州,2013-01-02,5.223536,6.2309403,2.2652504,2.0971541,0.16145052,65.21818,264.3846,38.882816,65002.895,3.2732394,-1.0764529
黄南藏族自治州,2013-01-03,9.939547,11.422015,3.08962,2.4550812,0.2024965,61.902935,260.17578,69.0821,65065.473,0.9139887,0.8275237
黄南藏族自治州,2013-01-04,6.1295104,6.989238,1.4558834,1.514841,0.18641682,65.88209,263.89886,53.086536,64755.17,4.7231307,-1.1238648
黄南藏族自治州,2013-01-05,2.998091,3.4050634,0.7639034,1.0855597,0.14834686,63.265656,262.7391,40.022366,64842.98,2.583882,-1.4518822
黄南藏族自治州,2013-01-06,10.226448,11.450442,3.4269738,2.694647,0.22139084,57.71282,259.45844,69.2922,64835.79,-0.2624108,-1.2669351
黄南藏族自治州,2013-01-07,3.8732395,4.3734393,1.0519936,1.3743029,0.163391,70.713196,259.6534,49.735027,64894.27,1.9044412,-0.749493
黄南藏族自治州,2013-01-08,5.089467,5.788151,1.5691842,1.7366447,0.18662058,73.957054,257.25815,60.365696,65008.836,1.4957364,-1.6425506
黄南藏族自治州,2013-01-09,1.2807618,1.4958315,0.32539663,0.77004707,0.14509365,74.34875,259.8106,32.957806,64961.223,4.50424,-0.4740932
黄南藏族自治州,2013-01-10,0.93593585,1.0919721,0.24538767,0.63919944,0.12935159,68.46201,260.48193,23.72067,65041.066,5.693023,-1.9165993
黄南藏族自治州,2013-01-11,0.89180726,1.0364274,0.26296344,0.61800325,0.14745052,76.47419,259.90097,24.0264,65261.625,5.07754,-0.84633714
黄南藏族自治州,2013-01-12,0.6820745,0.7983825,0.18777154,0.57695264,0.13262501,70.34001,260.98703,29.800161,65082.97,7.4926043,-1.8471193
黄南藏族自治州,2013-01-13,0.9133577,1.077733,0.31087685,0.75067157,0.13473292,65.393486,264.51443,24.592588,64961.77,6.0091295,0.4570061
黄南藏族自治州,2013-01-14,3.0918388,3.5455341,1.2813638,1.4861583,0.17086528,60.93411,262.97372,42.892612,65065.56,2.610791,-1.7777184
黄南藏族自治州,2013-01-15,2.1263394,2.5928879,0.6274117,0.966887,0.15378438,65.58741,262.30746,56.504158,65256.637,2.6050515,-0.5004728
黄南藏族自治州,2013-01-16,3.0373359,3.669701,1.2402412,1.4042679,0.15526092,64.53482,262.6796,41.983257,65446.906,1.8408347,-0.74191236
黄南藏族自治州,2013-01-17,1.8852164,2.2219682,0.5399077,0.8999659,0.14163962,63.76128,265.67737,29.407007,65615.86,5.8367867,-0.08962506
黄南藏族自治州,2013-01-18,2.3670745,2.7459595,0.5695852,0.6125514,0.14510436,66.09532,269.79013,22.31385,65590.555,7.9264774,0.6416992
黄南藏族自治州,2013-01-19,5.1357646,5.8450894,1.4783375,0.94958127,0.15431687,74.96798,272.75458,33.02014,64961.58,7.8444204,3.385822
黄南藏族自治州,2013-01-20,11.4676,12.723327,2.9347892,1.6704689,0.21053937,64.21808,264.22977,66.26548,64939.453,1.9518533,-0.91765326
黄南藏族自治州,2013-01-21,8.878779,9.816617,1.8767732,1.5598911,0.20241518,65.41375,262.1372,64.97629,65122.895,1.8449806,-0.37931976
黄南藏族自治州,2013-01-22,2.2857633,2.515547,0.40348506,0.63036585,0.14445452,74.32188,260.67374,39.10358,65386.863,9.119128,-2.345475
黄南藏族自治州,2013-01-23,0.77267945,0.9047991,0.19747658,0.5688488,0.12633379,70.995026,261.72034,32.69697,65300.473,7.5990586,-1.3313954
黄南藏族自治州,2013-01-24,1.1255653,1.368934,0.31519642,0.8055479,0.13698943,74.695305,260.64764,37.416977,65413.652,4.691243,-0.2757196
黄南藏族自治州,2013-01-25,2.2838814,2.706992,0.70878786,1.172907,0.1619236,72.369484,259.97766,45.234173,65300.49,2.859827,-1.2461303
黄南藏族自治州,2013-01-26,1.0682693,1.2518548,0.31379062,0.69768256,0.13632503,76.123405,261.05637,38.87577,65439.566,4.69614,-2.5532765
黄南藏族自治州,2013-01-27,1.3675983,1.5922327,0.3781866,0.78838426,0.14225477,73.27224,262.841,36.107418,65419.902,3.3754895,-0.23959978
黄南藏族自治州,2013-01-28,0.9976108,1.1602544,0.28027168,0.5881848,0.13482271,70.64107,263.00128,29.89935,65325.625,5.991545,-2.378768
黄南藏族自治州,2013-01-29,1.1395756,1.337795,0.34838173,0.7312002,0.1350734,61.841583,265.38928,29.851074,65238.08,5.0309787,-0.441111
黄南藏族自治州,2013-01-30,0.75946456,0.89955914,0.20393439,0.5752848,0.13275991,69.66095,266.08603,25.7948,65244.125,6.8099356,0.8893544
黄南藏族自治州,2013-01-31,0.7254591,0.8598994,0.18347456,0.50384086,0.12361658,66.31819,266.50833,31.705519,65320.547,7.488274,-1.2793744
黄南藏族自治州,2013-02-01,0.96120244,1.1825336,0.3274344,0.71635026,0.12689038,66.03335,268.2279,27.326519,65543.44,4.4150834,-0.6324115
