city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
齐齐哈尔市,2013-01-01,18.40449,20.778633,6.5448937,7.03344,0.35885912,45.24385,241.97687,69.14121,99174.39,3.3154485,-3.5521219
齐齐哈尔市,2013-01-02,11.600919,13.259773,4.104876,5.0870986,0.31139466,49.293537,247.37892,63.098698,99827.06,4.323082,-5.2274075
齐齐哈尔市,2013-01-03,11.255651,12.793174,4.58527,5.1435466,0.2998366,45.68026,251.55283,62.10346,100451.08,5.0971828,-3.4934914
齐齐哈尔市,2013-01-04,22.385195,25.826906,8.606515,9.537386,0.3705052,42.61918,251.55385,66.31701,99673.1,3.3127208,0.9270724
齐齐哈尔市,2013-01-05,11.051965,12.53156,5.1922283,5.2536616,0.2751648,42.779846,252.23592,60.247284,99612.29,5.678684,-4.326468
齐齐哈尔市,2013-01-06,20.081375,22.574217,7.9986367,8.172961,0.3551588,39.781223,246.66096,67.91968,100089.99,2.1706958,-2.4953947
齐齐哈尔市,2013-01-07,25.818022,28.974806,8.084922,9.054409,0.40994057,40.34576,241.88957,68.99992,100283.43,0.88596874,-3.437871
齐齐哈尔市,2013-01-08,21.173378,23.797255,8.730587,8.400203,0.37289786,41.661846,242.2198,65.52016,100226.84,2.2782147,-2.5674582
齐齐哈尔市,2013-01-09,23.577875,26.422417,8.90283,8.488866,0.3882509,39.935413,241.87311,67.71548,100028.43,2.192026,-1.9647744
齐齐哈尔市,2013-01-10,22.392365,25.116032,8.724102,8.587547,0.38606486,41.847248,243.25839,67.0498,100197.32,2.4213693,-1.3358854
齐齐哈尔市,2013-01-11,31.162968,35.46198,12.788356,11.785764,0.44273663,39.455887,241.77654,68.68255,100155.09,0.8258973,-1.5105814
齐齐哈尔市,2013-01-12,27.161825,30.765358,10.400323,10.127416,0.410733,39.75104,241.69034,69.4768,99962.03,1.4314146,-2.165555
齐齐哈尔市,2013-01-13,43.40331,49.124916,16.053585,14.382182,0.5023612,35.888435,242.11322,69.5697,100075.77,-0.038770057,-0.8898518
齐齐哈尔市,2013-01-14,31.427221,34.91851,10.201856,10.467958,0.41703674,37.38814,243.60576,70.461716,100464.53,0.6097791,-3.9027107
齐齐哈尔市,2013-01-15,34.36311,38.547127,10.852712,10.748026,0.44009355,39.10963,243.0867,71.45217,100524.17,0.21272145,-2.219034
齐齐哈尔市,2013-01-16,29.890808,33.036633,9.933602,9.314121,0.41275075,42.1479,245.68883,69.28831,100629.56,1.7865547,-3.1362927
齐齐哈尔市,2013-01-17,24.81035,27.747295,9.124611,9.0155945,0.36263305,38.143574,250.7127,70.59513,100610.55,2.3750308,-0.17737769
齐齐哈尔市,2013-01-18,46.633755,52.971416,12.736705,14.446949,0.508221,29.190395,247.28738,75.40519,100247.08,-1.4997753,-2.2468038
齐齐哈尔市,2013-01-19,28.224062,31.329376,9.380796,9.514363,0.37874186,33.439438,248.69409,73.58703,100557.445,1.3504627,-3.3911812
齐齐哈尔市,2013-01-20,40.26504,44.762657,12.385928,11.510783,0.45907536,35.12464,247.97783,75.646614,100991.234,-0.033215616,-1.2194399
齐齐哈尔市,2013-01-21,45.838512,51.125854,13.129722,12.226291,0.49469563,33.9946,249.36891,75.50913,100708.19,0.74066186,-3.6774006
齐齐哈尔市,2013-01-22,37.693768,42.392353,12.670442,12.758758,0.42932618,35.074135,249.5544,75.73762,100207.32,0.2791909,-0.0003194465
齐齐哈尔市,2013-01-23,53.738388,60.669624,13.501026,16.038069,0.5415446,26.188643,247.50983,76.19735,99305.13,-1.0681643,-3.6965413
齐齐哈尔市,2013-01-24,7.860483,8.824362,3.5258253,4.0411835,0.26154396,46.50052,247.60263,68.37508,98825.24,3.926761,-9.076879
齐齐哈尔市,2013-01-25,5.6907444,6.479141,2.8077588,3.294515,0.2751251,59.416935,249.13068,60.308697,99297.01,4.0654025,-8.575822
齐齐哈尔市,2013-01-26,12.237291,13.908498,5.226811,5.9432235,0.32102412,49.833664,249.2975,63.33519,100068.695,2.3527558,-5.6837845
齐齐哈尔市,2013-01-27,33.529438,38.142544,12.019003,12.171776,0.43725514,39.778076,246.59729,72.50295,99921.31,0.15814567,0.22289178
齐齐哈尔市,2013-01-28,70.91772,80.440125,18.666128,20.894945,0.6588102,26.106401,247.7998,76.35411,99663.92,-1.1609828,0.6942912
齐齐哈尔市,2013-01-29,54.496998,61.43985,14.250564,16.13769,0.5411717,23.19128,250.70035,75.67584,100068.76,-1.0598674,-3.0352385
齐齐哈尔市,2013-01-30,86.51626,96.59175,15.435741,18.952847,0.7281593,21.173143,251.26698,80.03073,100134.58,-1.913789,-1.1198385
齐齐哈尔市,2013-01-31,56.965958,63.26498,10.821418,12.71158,0.5347883,22.530874,253.6632,80.33404,100076.77,-1.1817657,-5.816177
齐齐哈尔市,2013-02-01,21.148012,23.560719,5.5585403,5.992248,0.33954948,41.849266,254.57164,67.531715,99465.016,4.922409,-6.0516286
齐齐哈尔市,2013-02-02,8.968094,10.242627,4.436205,4.6127367,0.27104548,50.6492,252.58028,55.096745,99858.945,6.618769,-2.7988367
齐齐哈尔市,2013-02-03,20.67041,23.7062,8.730006,8.717289,0.33335504,40.21287,249.27208,69.74601,99878.51,2.062864,-2.1927125
齐齐哈尔市,2013-02-04,19.793795,22.344383,8.721481,8.362417,0.32040405,38.848175,249.56819,70.811905,99747.88,3.2759442,-1.117025
